Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",5.35,7.26,5.09,6.83,"71,029,700","267,538,000"
"Jun 26, 2017",5.95,6.22,4.42,5.53,"27,615,900","297,587,000"
"Jun 25, 2017",6.29,6.46,5.66,5.95,"24,890,900","314,543,000"
"Jun 24, 2017",6.87,7.11,6.25,6.30,"33,359,500","343,738,000"
"Jun 23, 2017",6.92,7.43,5.78,6.84,"67,033,300","346,025,000"
"Jun 22, 2017",10.16,10.51,6.90,6.94,"115,249,000","507,921,000"
"Jun 21, 2017",8.04,10.21,7.81,10.15,"88,374,400","401,956,000"
"Jun 20, 2017",11.79,11.79,7.87,8.00,"126,661,000","589,390,000"
"Jun 19, 2017",5.46,11.81,5.46,11.72,"281,341,000","273,011,000"
"Jun 18, 2017",3.79,5.26,3.47,5.26,"61,381,000","189,717,000"
"Jun 17, 2017",2.80,4.18,2.70,3.76,"82,601,000","139,894,000"
"Jun 16, 2017",1.80,2.81,1.72,2.77,"45,782,200","90,202,000"
"Jun 15, 2017",1.74,1.84,1.54,1.78,"9,550,940","86,947,000"
"Jun 14, 2017",1.81,1.94,1.68,1.74,"10,497,200","90,657,000"
"Jun 13, 2017",1.50,1.86,1.50,1.81,"10,456,500","75,221,500"
"Jun 12, 2017",1.67,1.69,1.40,1.51,"7,492,490","83,716,000"
"Jun 11, 2017",1.69,1.73,1.52,1.67,"6,479,410","84,426,000"
"Jun 10, 2017",1.54,2.07,1.53,1.68,"17,295,300","77,129,000"
"Jun 09, 2017",1.36,1.59,1.33,1.55,"9,728,020","67,874,000"
"Jun 08, 2017",1.27,1.36,1.19,1.36,"7,118,290","63,677,000"
"Jun 07, 2017",1.34,1.36,1.27,1.28,"2,994,510","66,929,500"
"Jun 06, 2017",1.28,1.37,1.20,1.34,"5,234,170","63,757,000"
"Jun 05, 2017",1.27,1.35,1.25,1.28,"3,876,920","63,267,500"
"Jun 04, 2017",1.25,1.32,1.22,1.26,"2,572,220","62,425,500"
"Jun 03, 2017",1.36,1.36,1.15,1.26,"4,049,740","68,122,000"
"Jun 02, 2017",1.25,1.40,1.18,1.35,"7,157,890","62,290,500"
"Jun 01, 2017",1.03,1.30,1.01,1.24,"8,061,920","51,383,000"
"May 31, 2017",1.02,1.08,0.966531,1.03,"3,001,020","51,167,000"
"May 30, 2017",0.975403,1.13,0.970573,1.02,"5,393,720","48,770,200"
