Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",2.36,2.45,1.92,2.45,"608,510","79,383,800"
"Jun 26, 2017",2.41,2.49,1.74,2.29,"997,967","81,091,800"
"Jun 25, 2017",2.70,2.78,2.32,2.41,"656,243","90,871,200"
"Jun 24, 2017",2.98,3.03,2.65,2.70,"1,043,750","99,992,300"
"Jun 23, 2017",2.77,3.09,2.65,2.95,"878,484","92,952,100"
"Jun 22, 2017",2.71,2.94,2.65,2.77,"788,086","91,088,600"
"Jun 21, 2017",2.81,3.17,2.55,2.70,"1,428,180","94,415,100"
"Jun 20, 2017",2.83,2.90,2.63,2.65,"938,596","94,939,300"
"Jun 19, 2017",2.87,3.05,2.78,2.81,"1,110,070","96,442,800"
"Jun 18, 2017",3.12,3.21,2.87,2.90,"929,574","104,969,000"
"Jun 17, 2017",3.22,3.33,3.09,3.11,"766,546","108,309,000"
"Jun 16, 2017",4.02,4.16,3.18,3.22,"787,317","135,225,000"
"Jun 15, 2017",3.16,4.09,2.59,4.04,"1,173,940","106,250,000"
"Jun 14, 2017",3.90,3.97,2.88,3.16,"1,610,150","130,939,000"
"Jun 13, 2017",3.73,3.93,3.54,3.90,"1,369,980","125,203,000"
"Jun 12, 2017",4.11,4.36,3.41,3.73,"2,292,920","138,074,000"
"Jun 11, 2017",4.04,4.28,3.57,4.16,"3,049,210","135,820,000"
"Jun 10, 2017",3.31,4.00,3.09,4.00,"2,275,360","111,077,000"
"Jun 09, 2017",3.16,3.35,2.92,3.30,"1,877,340","106,179,000"
"Jun 08, 2017",2.55,3.18,2.52,3.13,"3,743,020","85,550,000"
"Jun 07, 2017",2.40,2.86,2.32,2.57,"1,762,630","80,797,600"
"Jun 06, 2017",2.24,2.59,2.19,2.44,"1,266,720","75,156,300"
"Jun 05, 2017",2.10,2.25,2.07,2.22,"973,493","70,708,300"
"Jun 04, 2017",2.21,2.27,2.02,2.10,"1,065,030","74,328,900"
"Jun 03, 2017",2.15,2.32,2.14,2.22,"963,743","72,258,500"
"Jun 02, 2017",2.09,2.21,2.04,2.16,"759,428","70,199,800"
"Jun 01, 2017",2.09,2.19,1.99,2.09,"630,982","70,176,300"
"May 31, 2017",1.84,2.11,1.73,2.09,"1,365,970","61,958,200"
"May 30, 2017",1.83,2.15,1.73,1.84,"1,345,200","61,396,000"
"May 29, 2017",1.64,1.87,1.64,1.83,"653,050","55,013,700"
"May 28, 2017",1.74,2.02,1.64,1.84,"801,602","58,319,800"
"May 27, 2017",1.97,2.06,1.44,1.72,"713,711","66,361,800"
"May 26, 2017",2.09,2.50,1.72,1.96,"1,150,820","70,263,400"
"May 25, 2017",2.61,2.68,1.97,2.11,"1,535,420","87,800,600"
"May 24, 2017",2.09,2.65,2.09,2.65,"3,619,740","70,258,300"
"May 23, 2017",1.47,2.11,1.47,2.11,"2,436,560","49,452,000"
"May 22, 2017",1.40,1.61,1.20,1.54,"1,358,470","47,058,300"
"May 21, 2017",1.45,1.50,1.33,1.41,"1,152,680","48,804,400"
"May 20, 2017",1.33,1.47,1.30,1.43,"1,272,560","36,818,000"
"May 19, 2017",1.50,1.56,1.29,1.33,"1,655,390",-
"May 18, 2017",1.49,1.56,1.42,1.52,"2,745,280",-
