Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.238709,0.244664,0.188922,0.218900,"7,450,510","238,470,000"
"Jun 26, 2017",0.258341,0.275015,0.212840,0.240987,"7,856,400","258,083,000"
"Jun 25, 2017",0.262506,0.287219,0.250133,0.256594,"7,775,020","262,244,000"
"Jun 24, 2017",0.274257,0.279515,0.261236,0.263147,"4,449,520","273,983,000"
"Jun 23, 2017",0.261379,0.281967,0.241461,0.275835,"5,694,690","261,117,000"
"Jun 22, 2017",0.270453,0.274669,0.249059,0.262028,"2,451,380","270,183,000"
"Jun 21, 2017",0.261909,0.293877,0.255724,0.270153,"7,870,020","261,647,000"
"Jun 20, 2017",0.276142,0.303920,0.248918,0.262164,"13,436,500","275,866,000"
"Jun 19, 2017",0.215406,0.309747,0.212969,0.279734,"21,298,400","215,190,000"
"Jun 18, 2017",0.196775,0.215776,0.196775,0.214873,"4,034,770","196,578,000"
"Jun 17, 2017",0.212771,0.212771,0.194935,0.196342,"4,816,990","212,558,000"
"Jun 16, 2017",0.217618,0.226881,0.207770,0.210514,"5,508,080","217,400,000"
"Jun 15, 2017",0.220083,0.256245,0.173532,0.217062,"13,894,400","219,863,000"
"Jun 14, 2017",0.200886,0.263850,0.200886,0.219239,"11,299,000","200,685,000"
"Jun 13, 2017",0.178105,0.223385,0.177831,0.199867,"9,379,300","177,927,000"
"Jun 12, 2017",0.180522,0.188245,0.159857,0.178410,"4,253,370","180,341,000"
"Jun 11, 2017",0.178574,0.184345,0.167146,0.182277,"2,795,220","178,395,000"
"Jun 10, 2017",0.182421,0.195682,0.174687,0.178669,"4,804,600","182,238,000"
"Jun 09, 2017",0.154165,0.187309,0.154165,0.181808,"5,908,900","154,011,000"
"Jun 08, 2017",0.139613,0.154464,0.132249,0.154464,"2,578,170","139,473,000"
"Jun 07, 2017",0.153826,0.167891,0.140002,0.140002,"2,707,280","153,672,000"
"Jun 06, 2017",0.163385,0.163385,0.138903,0.153429,"2,825,400","163,222,000"
"Jun 05, 2017",0.136542,0.164326,0.133904,0.162378,"2,853,760","136,405,000"
"Jun 04, 2017",0.136503,0.138279,0.130890,0.136406,"1,136,790","136,366,000"
"Jun 03, 2017",0.137406,0.138989,0.122502,0.136713,"2,034,820","137,269,000"
"Jun 02, 2017",0.121972,0.137611,0.121972,0.136704,"2,963,770","121,850,000"
"Jun 01, 2017",0.103112,0.122261,0.103112,0.122261,"1,949,910","103,009,000"
"May 31, 2017",0.094656,0.104388,0.090000,0.102324,"1,468,310","94,561,100"
"May 30, 2017",0.104469,0.108959,0.093680,0.093891,"2,061,030","104,364,000"
