Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",25.16,25.60,21.46,25.60,"3,498,930","276,808,000"
"Jun 26, 2017",27.97,28.39,21.66,25.16,"5,080,110","307,660,000"
"Jun 25, 2017",29.23,31.29,26.69,27.99,"3,650,130","321,495,000"
"Jun 24, 2017",31.25,31.74,28.82,29.42,"2,494,470","343,764,000"
"Jun 23, 2017",30.13,33.52,29.68,31.26,"5,321,540","331,380,000"
"Jun 22, 2017",28.99,31.40,28.50,30.11,"3,704,940","318,911,000"
"Jun 21, 2017",30.08,30.64,28.14,28.97,"3,706,710","330,868,000"
"Jun 20, 2017",32.78,33.35,29.94,30.13,"4,936,620","360,548,000"
"Jun 19, 2017",30.02,32.94,29.94,32.78,"4,385,850","330,264,000"
"Jun 18, 2017",31.12,31.69,29.59,30.02,"2,721,270","342,291,000"
"Jun 17, 2017",28.72,31.21,28.61,31.09,"3,351,620","315,895,000"
"Jun 16, 2017",28.08,30.05,27.37,28.76,"4,101,540","308,894,000"
"Jun 15, 2017",30.65,31.47,24.43,28.15,"6,592,890","337,137,000"
"Jun 14, 2017",33.08,37.20,29.21,30.58,"5,341,830","363,877,000"
"Jun 13, 2017",31.48,33.81,31.19,33.02,"4,655,540","346,312,000"
"Jun 12, 2017",33.72,34.87,27.84,31.46,"6,312,970","370,938,000"
"Jun 11, 2017",33.66,35.02,32.44,33.78,"4,817,660","370,315,000"
"Jun 10, 2017",34.50,34.62,32.24,33.75,"6,795,880","379,448,000"
"Jun 09, 2017",35.73,36.28,33.67,34.18,"4,278,080","392,987,000"
"Jun 08, 2017",34.38,36.66,32.81,35.54,"4,309,520","378,138,000"
"Jun 07, 2017",33.67,38.93,32.44,34.17,"12,084,200","370,421,000"
"Jun 06, 2017",28.66,33.80,28.15,33.41,"6,283,340","315,289,000"
"Jun 05, 2017",29.12,31.85,28.26,28.80,"8,252,820","320,343,000"
"Jun 04, 2017",26.18,28.97,26.00,28.96,"4,559,000","288,020,000"
"Jun 03, 2017",24.87,26.25,24.78,26.22,"4,635,790","273,579,000"
"Jun 02, 2017",23.61,26.31,23.26,24.79,"4,688,710","259,666,000"
"Jun 01, 2017",21.97,25.06,21.93,23.86,"4,479,050","241,717,000"
"May 31, 2017",20.28,22.76,20.18,21.84,"3,648,110","223,030,000"
"May 30, 2017",21.12,24.04,20.31,20.31,"4,205,910","232,364,000"
