Date,Open,High,Low,Close,Volume,Market Cap
"Jun 30, 2017",3.18,3.27,2.80,2.85,3329010,129222000
"Jun 29, 2017",3.49,3.59,3.16,3.16,3625460,142103000
"Jun 28, 2017",3.06,3.51,2.87,3.48,7524550,123970000
"Jun 27, 2017",2.66,3.05,2.30,3.05,4432880,106397000
"Jun 26, 2017",2.86,3.06,2.15,2.48,8236810,-
"Jun 25, 2017",3.40,3.48,2.55,2.86,4202840,-
"Jun 24, 2017",4.06,4.06,3.33,3.40,4176390,-
"Jun 23, 2017",4.16,4.44,3.90,4.04,8023600,-
"Jun 22, 2017",20.01,20.01,3.97,4.19,2399260,-
"Jun 21, 2017",21.41,22.76,17.49,20.01,28089,-
"Jun 20, 2017",23.73,23.73,14.99,21.41,28295,-
"Jun 19, 2017",20.91,23.73,16.99,23.73,51908,-
"Jun 18, 2017",13.74,19.98,13.74,19.98,16871,-
