Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",0.174455,0.174849,0.152339,0.154906,"1,880,280","174,455,000"
"Jun 28, 2017",0.153965,0.175570,0.145584,0.173771,"2,624,600","153,965,000"
"Jun 27, 2017",0.156799,0.160657,0.122676,0.152734,"3,861,500","156,799,000"
"Jun 26, 2017",0.170003,0.176001,0.139237,0.151785,"3,398,570","170,003,000"
"Jun 25, 2017",0.184799,0.188892,0.158606,0.170223,"2,662,640","184,799,000"
"Jun 24, 2017",0.201123,0.203272,0.176831,0.186039,"2,256,800","201,123,000"
"Jun 23, 2017",0.177803,0.204396,0.173222,0.198476,"3,165,000","177,803,000"
"Jun 22, 2017",0.187434,0.187434,0.175794,0.178160,"2,615,650","187,434,000"
"Jun 21, 2017",0.190874,0.196532,0.183393,0.187384,"3,436,530","190,874,000"
"Jun 20, 2017",0.181185,0.197655,0.179581,0.191778,"3,728,710","181,185,000"
"Jun 19, 2017",0.197917,0.202943,0.180147,0.181102,"5,328,250","197,917,000"
"Jun 18, 2017",0.210064,0.212948,0.194808,0.197482,"2,829,350","210,064,000"
"Jun 17, 2017",0.231731,0.231731,0.206255,0.208400,"5,614,210","231,731,000"
"Jun 16, 2017",0.212512,0.246001,0.186373,0.232775,"12,209,000","212,512,000"
"Jun 15, 2017",0.170145,0.218198,0.144954,0.215435,"6,576,040","170,145,000"
"Jun 14, 2017",0.193745,0.197086,0.162635,0.169383,"3,766,080","193,745,000"
"Jun 13, 2017",0.182940,0.201300,0.174497,0.194538,"5,539,180","182,940,000"
"Jun 12, 2017",0.182321,0.212659,0.152264,0.182798,"7,175,260","182,321,000"
"Jun 11, 2017",0.195443,0.205489,0.176550,0.182229,"6,837,190","195,443,000"
"Jun 10, 2017",0.224807,0.232437,0.194228,0.197021,"8,265,660","224,807,000"
"Jun 09, 2017",0.222104,0.239072,0.216599,0.225080,"5,996,870","222,104,000"
"Jun 08, 2017",0.239285,0.256475,0.213869,0.223217,"8,890,730","239,285,000"
"Jun 07, 2017",0.259213,0.280704,0.228324,0.238590,"11,149,700","259,213,000"
"Jun 06, 2017",0.291649,0.306674,0.254038,0.260062,"10,708,800","291,649,000"
"Jun 05, 2017",0.285023,0.329910,0.269752,0.291661,"14,297,400","285,023,000"
"Jun 04, 2017",0.165980,0.352430,0.164857,0.285542,"27,578,300","165,980,000"
"Jun 03, 2017",0.156534,0.185107,0.154692,0.166049,"4,738,010","156,534,000"
"Jun 02, 2017",0.171186,0.171238,0.153540,0.156576,"3,121,920","171,186,000"
"Jun 01, 2017",0.168230,0.175339,0.146197,0.171036,"4,373,940",-
