Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",2478.45,2552.45,2332.99,2552.45,"1,489,790,000","40,677,900,000"
"Jun 26, 2017",2590.57,2615.25,2376.29,2478.45,"1,663,280,000","42,514,000,000"
"Jun 25, 2017",2607.25,2682.26,2552.12,2589.41,"1,161,100,000","42,783,800,000"
"Jun 24, 2017",2738.52,2757.94,2583.19,2608.72,"982,750,000","44,932,900,000"
"Jun 23, 2017",2707.34,2765.17,2706.37,2744.91,"961,319,000","44,415,900,000"
"Jun 22, 2017",2691.03,2723.74,2642.36,2705.41,"1,097,940,000","44,143,700,000"
"Jun 21, 2017",2709.43,2772.01,2660.40,2689.10,"1,626,580,000","44,440,800,000"
"Jun 20, 2017",2591.26,2763.45,2589.82,2721.79,"1,854,190,000","42,498,000,000"
"Jun 19, 2017",2549.03,2662.85,2549.03,2589.60,"1,446,840,000","41,800,600,000"
"Jun 18, 2017",2655.35,2662.10,2516.33,2548.29,"1,178,660,000","43,539,300,000"
"Jun 17, 2017",2514.01,2685.19,2484.96,2655.88,"1,534,510,000","41,217,200,000"
"Jun 16, 2017",2469.57,2539.92,2385.15,2518.56,"1,195,190,000","40,484,100,000"
"Jun 15, 2017",2499.58,2534.71,2212.96,2464.58,"2,026,260,000","40,971,300,000"
"Jun 14, 2017",2716.88,2786.83,2412.94,2506.37,"1,696,560,000","44,528,300,000"
"Jun 13, 2017",2680.91,2789.04,2650.38,2717.02,"1,781,200,000","43,934,100,000"
"Jun 12, 2017",2953.22,2997.26,2518.56,2659.63,"2,569,530,000","48,391,200,000"
"Jun 11, 2017",2942.41,2996.60,2840.53,2958.11,"1,752,400,000","48,208,700,000"
"Jun 10, 2017",2828.14,2950.99,2746.55,2947.71,"2,018,890,000","46,331,400,000"
"Jun 09, 2017",2807.44,2901.71,2795.62,2823.81,"1,348,950,000","45,987,100,000"
"Jun 08, 2017",2720.49,2815.30,2670.95,2805.62,"1,281,170,000","44,557,100,000"
"Jun 07, 2017",2869.38,2869.38,2700.56,2732.16,"1,517,710,000","46,989,800,000"
"Jun 06, 2017",2690.84,2999.91,2690.84,2863.20,"2,089,610,000","44,061,000,000"
"Jun 05, 2017",2512.40,2686.81,2510.22,2686.81,"1,369,310,000","41,133,900,000"
"Jun 04, 2017",2547.79,2585.89,2452.54,2511.81,"1,355,120,000","41,708,200,000"
"Jun 03, 2017",2493.72,2581.91,2423.57,2515.35,"1,514,950,000","40,817,100,000"
"Jun 02, 2017",2404.03,2488.55,2373.32,2488.55,"1,317,030,000","39,344,600,000"
"Jun 01, 2017",2288.33,2448.39,2288.33,2407.88,"1,653,180,000","37,446,200,000"
"May 31, 2017",2187.19,2311.08,2145.57,2286.41,"1,544,830,000","35,786,700,000"
"May 30, 2017",2255.36,2301.96,2124.57,2175.47,"1,443,970,000","36,897,000,000"
