Date,Open,High,Low,Close,Volume,Market Cap
"Jun 30, 2017",51.94,53.10,50.86,51.39,2126610,353252000
"Jun 29, 2017",52.06,52.82,51.04,51.84,2865970,353750000
"Jun 28, 2017",51.31,52.62,49.94,52.11,2985300,348397000
"Jun 27, 2017",49.50,50.77,46.29,50.56,2410340,335744000
"Jun 26, 2017",51.11,52.74,47.31,48.33,2220370,346232000
"Jun 25, 2017",52.76,54.14,50.46,51.16,2464490,357030000
"Jun 24, 2017",55.65,56.40,51.81,52.87,2270790,376295000
"Jun 23, 2017",52.31,56.73,51.25,55.67,2353480,353360000
"Jun 22, 2017",51.25,52.30,50.28,52.30,2264670,345886000
"Jun 21, 2017",52.41,52.67,48.98,51.27,1981900,353405000
"Jun 20, 2017",51.36,52.76,51.08,52.42,1991020,346100000
"Jun 19, 2017",50.96,51.66,50.90,51.38,1827540,343207000
"Jun 18, 2017",51.02,51.62,50.50,50.90,1066710,343305000
"Jun 17, 2017",50.69,51.19,50.27,51.03,1436890,340842000
"Jun 16, 2017",49.16,51.44,46.92,50.94,1359210,330219000
"Jun 15, 2017",48.01,50.28,43.45,49.18,1655390,322219000
"Jun 14, 2017",50.89,53.96,46.35,47.83,1804340,341224000
"Jun 13, 2017",45.91,50.87,45.91,50.87,1609630,307656000
"Jun 12, 2017",53.42,53.42,41.72,45.68,2295830,357687000
"Jun 11, 2017",54.11,57.52,50.63,53.00,1762110,361918000
"Jun 10, 2017",50.04,59.60,42.61,54.04,3783760,326419000
"Jun 09, 2017",41.33,50.40,41.25,49.97,2787430,268196000
"Jun 08, 2017",36.18,41.43,35.42,41.43,2176920,233903000
"Jun 07, 2017",38.00,38.39,35.20,35.93,3101570,245393000
"Jun 06, 2017",32.24,39.78,32.24,37.99,2430580,207988000
"Jun 05, 2017",25.55,32.86,25.55,32.14,2170880,164708000
"Jun 04, 2017",25.53,25.80,24.94,25.55,1719260,164484000
"Jun 03, 2017",24.03,25.66,23.84,25.59,2741120,154747000
"Jun 02, 2017",22.19,24.19,21.99,24.19,1512120,142856000
"Jun 01, 2017",18.93,22.95,18.93,22.18,2466910,121713000
"May 31, 2017",17.00,18.97,17.00,18.90,1228390,109246000
"May 30, 2017",17.22,17.79,16.59,16.92,801777,110582000
"May 29, 2017",15.96,17.51,15.54,17.20,825630,102399000
"May 28, 2017",14.86,16.68,14.71,15.99,405591,95355900
"May 27, 2017",15.31,16.36,13.47,14.63,551952,98179600
"May 26, 2017",15.56,17.57,14.07,15.26,591390,99749800
"May 25, 2017",13.57,23.37,11.98,15.67,6153930,86953600
"May 24, 2017",13.21,14.35,13.12,13.60,1025590,84554600
"May 23, 2017",12.26,13.34,12.22,13.19,662390,78464700
"May 22, 2017",12.60,13.32,11.75,12.28,834180,80620000
"May 21, 2017",12.34,12.93,12.20,12.52,545026,78880200
"May 20, 2017",11.23,12.38,11.23,12.35,653438,71772600
"May 19, 2017",10.73,11.37,10.72,11.22,670821,68513600
"May 18, 2017",10.04,10.87,10.02,10.72,819691,64102400
"May 17, 2017",9.80,10.35,9.61,10.11,783389,62539500
"May 16, 2017",9.20,10.08,8.95,9.81,765059,58670700
"May 15, 2017",8.95,9.26,8.51,9.10,496905,57036400
"May 14, 2017",8.49,8.88,8.15,8.79,397657,54087400
