Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.262872,0.267221,0.220018,0.245319,"76,238,100","682,511,000"
"Jun 26, 2017",0.299263,0.302859,0.228994,0.262872,"108,451,000","776,988,000"
"Jun 25, 2017",0.313018,0.318172,0.296244,0.299584,"57,168,300","812,692,000"
"Jun 24, 2017",0.331931,0.337252,0.312489,0.314287,"53,119,800","861,785,000"
"Jun 23, 2017",0.307737,0.344919,0.304199,0.330783,"117,987,000","798,964,000"
"Jun 22, 2017",0.319993,0.323665,0.305996,0.307943,"44,301,000","830,779,000"
"Jun 21, 2017",0.333981,0.337137,0.310172,0.319381,"71,884,600","867,085,000"
"Jun 20, 2017",0.326206,0.351852,0.324437,0.334546,"108,988,000","846,903,000"
"Jun 19, 2017",0.324401,0.338066,0.321848,0.325901,"73,486,600","842,207,000"
"Jun 18, 2017",0.340462,0.344423,0.322369,0.325842,"57,903,200","883,897,000"
"Jun 17, 2017",0.317747,0.362639,0.316648,0.340724,"135,751,000","824,916,000"
"Jun 16, 2017",0.338324,0.338908,0.314417,0.317811,"88,788,800","878,326,000"
"Jun 15, 2017",0.330582,0.345714,0.274912,0.337111,"197,389,000","858,221,000"
"Jun 14, 2017",0.366063,0.367106,0.319276,0.330564,"125,612,000","950,325,000"
"Jun 13, 2017",0.374712,0.392090,0.354350,0.365409,"150,849,000","972,771,000"
"Jun 12, 2017",0.396948,0.413492,0.332016,0.375152,"317,523,000","1,033,040,000"
"Jun 11, 2017",0.356447,0.392043,0.288861,0.392043,"352,320,000","927,625,000"
"Jun 10, 2017",0.267138,0.467672,0.254823,0.351983,"726,073,000","695,200,000"
"Jun 09, 2017",0.176738,0.285476,0.167248,0.268265,"345,241,000","459,938,000"
"Jun 08, 2017",0.104821,0.177156,0.095568,0.177156,"133,216,000","272,781,000"
"Jun 07, 2017",0.116158,0.120210,0.105324,0.105324,"20,041,600","302,281,000"
"Jun 06, 2017",0.109312,0.119985,0.101073,0.115772,"32,658,700","284,463,000"
"Jun 05, 2017",0.109698,0.122962,0.106997,0.109340,"38,522,500","285,464,000"
"Jun 04, 2017",0.097089,0.112370,0.094859,0.108851,"37,002,000","252,651,000"
"Jun 03, 2017",0.090344,0.100059,0.083783,0.097184,"22,652,200","235,096,000"
"Jun 02, 2017",0.077195,0.091161,0.077195,0.090561,"24,481,300","200,875,000"
"Jun 01, 2017",0.065041,0.077817,0.065041,0.077113,"15,459,200","169,247,000"
"May 31, 2017",0.064452,0.065840,0.060336,0.065332,"7,652,850","167,711,000"
"May 30, 2017",0.065848,0.071906,0.062611,0.064255,"12,222,200","171,339,000"
