Date,Open,High,Low,Close,Volume,Market Cap
"Jun 30, 2017",0.017226,0.018196,0.016041,0.017027,1395110,30948900
"Jun 29, 2017",0.018654,0.018680,0.017019,0.017151,968241,33504400
"Jun 28, 2017",0.018338,0.018985,0.017026,0.018619,1689980,32927500
"Jun 27, 2017",0.018733,0.019103,0.015274,0.018153,4177270,33624400
"Jun 26, 2017",0.016953,0.018733,0.013845,0.018733,3098010,30420300
"Jun 25, 2017",0.020871,0.020914,0.016385,0.017051,3868440,37438200
"Jun 24, 2017",0.024828,0.026027,0.019952,0.020950,9708660,44522000
"Jun 23, 2017",0.017015,0.026417,0.017014,0.024455,22452500,30501500
"Jun 22, 2017",0.014819,0.018216,0.014542,0.017091,5761630,26555400
"Jun 21, 2017",0.014636,0.015477,0.014092,0.014795,1220970,26218900
"Jun 20, 2017",0.015043,0.015185,0.014021,0.014513,1129990,26938900
"Jun 19, 2017",0.014456,0.015457,0.014372,0.015027,1342540,25878400
"Jun 18, 2017",0.015034,0.015201,0.014410,0.014480,735644,26903400
"Jun 17, 2017",0.015445,0.015460,0.014604,0.015055,776539,27629800
"Jun 16, 2017",0.014103,0.015584,0.013452,0.015403,905045,25220100
"Jun 15, 2017",0.014096,0.015167,0.011849,0.014047,1499560,25199900
"Jun 14, 2017",0.015402,0.016693,0.013841,0.014106,1395760,27525500
"Jun 13, 2017",0.013431,0.016612,0.013431,0.015343,1545500,23994300
"Jun 12, 2017",0.015913,0.016820,0.012599,0.013583,1297790,28419000
"Jun 11, 2017",0.016784,0.017084,0.015655,0.016009,1196640,29964400
"Jun 10, 2017",0.018198,0.018628,0.016380,0.016750,1779250,32476600
"Jun 09, 2017",0.017823,0.018618,0.017229,0.018063,1580300,31797700
"Jun 08, 2017",0.016295,0.018094,0.016041,0.017838,1176810,29063400
"Jun 07, 2017",0.017834,0.018886,0.015783,0.016145,2345940,31796600
"Jun 06, 2017",0.016600,0.018141,0.014444,0.018004,2644420,29587200
"Jun 05, 2017",0.016305,0.017968,0.015665,0.016459,3479570,29051500
"Jun 04, 2017",0.014152,0.018893,0.013910,0.016236,6790370,25206800
"Jun 03, 2017",0.012966,0.014618,0.011966,0.014234,2631830,23085500
"Jun 02, 2017",0.011175,0.014171,0.010881,0.012999,4242500,19890700
"Jun 01, 2017",0.008804,0.013798,0.008723,0.011168,5005670,15664000
"May 31, 2017",0.008501,0.009299,0.008334,0.008858,518743,15120300
"May 30, 2017",0.009436,0.009771,0.008338,0.008449,733724,16777100
"May 29, 2017",0.008492,0.010340,0.008098,0.009395,870703,15092000
"May 28, 2017",0.008370,0.009415,0.007715,0.008490,483064,14870500
"May 27, 2017",0.009072,0.009504,0.005910,0.008339,816633,16112800
"May 26, 2017",0.009979,0.011523,0.008788,0.009146,767765,17716500
"May 25, 2017",0.011372,0.011797,0.009496,0.009985,1297920,20181700
"May 24, 2017",0.012646,0.013198,0.011004,0.011169,1613600,22434100
"May 23, 2017",0.010955,0.012989,0.010803,0.012478,1677200,19427000
