Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.002371,0.002406,0.001824,0.002261,"2,587,810","434,077,000"
"Jun 26, 2017",0.002499,0.002715,0.002061,0.002371,"2,803,190","457,530,000"
"Jun 25, 2017",0.002676,0.002786,0.002457,0.002515,"1,665,450","489,775,000"
"Jun 24, 2017",0.002806,0.003006,0.002664,0.002717,"2,642,040","513,634,000"
"Jun 23, 2017",0.002565,0.002935,0.002522,0.002807,"2,088,740","469,434,000"
"Jun 22, 2017",0.002532,0.002779,0.002468,0.002563,"2,459,520","463,482,000"
"Jun 21, 2017",0.002806,0.002846,0.002430,0.002536,"2,646,230","513,573,000"
"Jun 20, 2017",0.002719,0.002888,0.002425,0.002824,"3,077,670","497,736,000"
"Jun 19, 2017",0.002638,0.003082,0.002372,0.002634,"4,734,370","482,909,000"
"Jun 18, 2017",0.003107,0.003107,0.002626,0.002626,"3,957,140","568,652,000"
"Jun 17, 2017",0.002648,0.003211,0.002648,0.003107,"8,668,140","484,727,000"
"Jun 16, 2017",0.002328,0.002677,0.002266,0.002648,"3,600,420","426,035,000"
"Jun 15, 2017",0.002492,0.002492,0.002061,0.002343,"2,212,280","456,136,000"
"Jun 14, 2017",0.003197,0.003262,0.002314,0.002494,"3,160,670","585,041,000"
"Jun 13, 2017",0.002903,0.003303,0.002852,0.003198,"2,890,230","531,231,000"
"Jun 12, 2017",0.003444,0.003481,0.002743,0.002935,"2,294,970","630,192,000"
"Jun 11, 2017",0.003554,0.003627,0.003324,0.003400,"2,610,570","650,456,000"
"Jun 10, 2017",0.003621,0.003787,0.002757,0.003582,"4,231,220","662,627,000"
"Jun 09, 2017",0.003564,0.003679,0.002737,0.002785,"1,632,920","652,109,000"
"Jun 08, 2017",0.003419,0.003696,0.003246,0.003570,"3,629,790","625,656,000"
"Jun 07, 2017",0.002848,0.003723,0.002760,0.003397,"4,709,230","521,077,000"
"Jun 06, 2017",0.002806,0.003555,0.002710,0.002884,"1,921,530","513,505,000"
"Jun 05, 2017",0.002531,0.002830,0.002518,0.002799,"2,159,690","463,063,000"
"Jun 04, 2017",0.002638,0.002791,0.002396,0.002515,"2,116,070","482,771,000"
"Jun 03, 2017",0.003728,0.003774,0.002321,0.002682,"2,304,060","682,077,000"
"Jun 02, 2017",0.001968,0.003967,0.001966,0.003683,"23,590,900","360,045,000"
"Jun 01, 2017",0.002186,0.002653,0.001941,0.001983,"1,123,380","399,992,000"
"May 31, 2017",0.002204,0.002298,0.002087,0.002177,"4,469,060","403,212,000"
"May 30, 2017",0.002429,0.002737,0.002175,0.002179,"5,346,570","444,433,000"
