Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",162.89,176.02,153.94,176.02,"48,931,600","1,203,160,000"
"Jun 26, 2017",172.96,175.91,149.22,162.89,"40,405,300","1,277,190,000"
"Jun 25, 2017",182.35,183.43,169.30,172.88,"36,111,800","1,346,200,000"
"Jun 24, 2017",189.31,190.52,178.61,182.62,"35,863,100","1,397,190,000"
"Jun 23, 2017",177.03,193.47,177.03,189.26,"42,975,000","1,306,270,000"
"Jun 22, 2017",179.29,183.33,175.72,177.06,"37,412,700","1,322,590,000"
"Jun 21, 2017",187.77,188.09,175.04,178.81,"40,445,100","1,384,740,000"
"Jun 20, 2017",201.37,203.71,180.61,187.91,"58,960,400","1,484,670,000"
"Jun 19, 2017",193.21,208.42,192.88,201.26,"98,763,400","1,424,100,000"
"Jun 18, 2017",178.52,193.93,176.12,193.53,"77,003,000","1,315,450,000"
"Jun 17, 2017",166.21,183.85,166.16,178.13,"58,241,000","1,224,440,000"
"Jun 16, 2017",163.63,167.65,158.43,166.25,"35,834,400","1,205,110,000"
"Jun 15, 2017",163.12,166.05,143.32,163.35,"48,167,500","1,201,030,000"
"Jun 14, 2017",183.65,191.58,156.18,163.21,"53,986,500","1,351,820,000"
"Jun 13, 2017",171.27,183.97,171.27,183.97,"51,568,400","1,260,370,000"
"Jun 12, 2017",187.10,197.17,162.31,170.78,"79,698,800","1,376,490,000"
"Jun 11, 2017",151.99,200.12,151.99,188.27,"155,786,000","1,117,860,000"
"Jun 10, 2017",149.13,152.48,147.84,152.00,"32,894,500","1,096,550,000"
"Jun 09, 2017",144.94,149.69,144.94,148.93,"28,944,700","1,065,470,000"
"Jun 08, 2017",140.82,146.10,139.47,145.03,"29,049,200","1,034,920,000"
"Jun 07, 2017",145.25,153.76,138.17,140.36,"44,240,500","1,067,130,000"
"Jun 06, 2017",145.43,147.96,134.27,145.19,"66,883,600","1,068,210,000"
"Jun 05, 2017",143.41,145.86,142.00,144.92,"40,209,200","1,053,050,000"
"Jun 04, 2017",143.88,143.89,140.43,143.35,"28,248,800","1,055,520,000"
"Jun 03, 2017",145.28,148.42,142.80,144.29,"39,144,000","1,065,460,000"
"Jun 02, 2017",137.08,145.88,136.33,145.29,"39,172,500","1,005,050,000"
"Jun 01, 2017",136.47,147.94,131.64,136.08,"46,692,500","1,000,300,000"
"May 31, 2017",121.85,141.84,117.98,135.97,"59,781,000","892,886,000"
"May 30, 2017",117.17,127.00,115.40,121.13,"42,919,400","858,404,000"
