Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",35.26,36.26,29.13,36.26,"2,134,180","183,242,000"
"Jun 26, 2017",38.66,40.86,29.57,35.26,"3,233,030","200,625,000"
"Jun 25, 2017",43.14,43.44,35.90,38.81,"2,068,440","223,596,000"
"Jun 24, 2017",46.17,48.53,41.35,43.29,"2,074,380","238,976,000"
"Jun 23, 2017",42.82,47.34,42.44,45.55,"3,936,480","221,303,000"
"Jun 22, 2017",36.87,44.80,36.74,43.12,"5,629,680","190,323,000"
"Jun 21, 2017",35.68,38.74,34.61,37.04,"2,080,240","183,928,000"
"Jun 20, 2017",40.18,40.61,34.39,35.71,"3,106,890","206,818,000"
"Jun 19, 2017",42.08,42.08,38.76,40.05,"5,853,420","216,323,000"
"Jun 18, 2017",32.03,45.72,31.79,41.95,"11,185,200","164,444,000"
"Jun 17, 2017",32.51,32.51,30.88,31.83,"1,336,480","166,673,000"
"Jun 16, 2017",30.16,32.95,28.52,32.57,"1,267,190","154,382,000"
"Jun 15, 2017",31.06,31.71,25.57,30.18,"1,402,140","158,782,000"
"Jun 14, 2017",36.74,37.57,30.21,31.22,"1,413,710","187,546,000"
"Jun 13, 2017",33.42,37.54,33.04,36.87,"2,086,310","170,407,000"
"Jun 12, 2017",40.86,43.04,32.07,33.73,"3,761,090","208,041,000"
"Jun 11, 2017",41.05,43.99,36.87,41.05,"5,497,050","208,689,000"
"Jun 10, 2017",42.44,45.04,37.41,41.08,"5,631,520","215,444,000"
"Jun 09, 2017",34.61,42.12,34.15,42.12,"4,390,150","175,431,000"
"Jun 08, 2017",32.77,35.74,31.86,34.66,"2,388,670","165,901,000"
"Jun 07, 2017",34.61,38.93,32.22,32.62,"3,270,310","174,967,000"
"Jun 06, 2017",35.03,36.29,30.97,34.58,"2,657,680","176,868,000"
"Jun 05, 2017",32.14,35.39,30.22,35.05,"2,868,100","162,002,000"
"Jun 04, 2017",35.26,35.30,28.87,32.10,"3,468,980","177,458,000"
"Jun 03, 2017",30.69,37.90,29.44,35.21,"6,865,010","154,295,000"
"Jun 02, 2017",25.00,31.29,24.79,30.70,"3,739,400","125,482,000"
"Jun 01, 2017",21.98,26.38,21.71,24.95,"2,886,770","110,146,000"
"May 31, 2017",20.38,22.45,19.98,21.80,"995,100","101,976,000"
"May 30, 2017",20.86,22.95,19.97,20.30,"1,323,570","104,238,000"
