Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",84.47,87.93,70.74,86.73,"644,318","168,941,000"
"Jun 26, 2017",89.01,90.51,73.05,84.47,"858,397","178,029,000"
"Jun 25, 2017",91.86,93.83,87.53,88.29,"601,080","183,728,000"
"Jun 24, 2017",95.20,98.05,87.49,92.21,"590,792","190,395,000"
"Jun 23, 2017",97.76,101.33,92.42,95.21,"749,132","195,516,000"
"Jun 22, 2017",93.37,107.32,85.73,97.76,"1,417,520","186,736,000"
"Jun 21, 2017",100.00,101.60,85.34,93.34,"766,120","199,994,000"
"Jun 20, 2017",100.51,109.70,100.01,100.02,"792,599","201,020,000"
"Jun 19, 2017",89.16,113.86,86.63,100.67,"2,997,570","178,327,000"
"Jun 18, 2017",90.74,92.99,87.77,87.98,"486,653","181,488,000"
"Jun 17, 2017",91.35,93.59,88.61,90.83,"722,249","182,708,000"
"Jun 16, 2017",90.19,93.54,86.21,91.34,"1,123,700","180,373,000"
"Jun 15, 2017",93.70,93.70,80.85,90.59,"1,559,240","187,394,000"
"Jun 14, 2017",97.59,99.96,90.58,93.76,"1,141,220","195,182,000"
"Jun 13, 2017",93.07,101.03,91.75,97.83,"1,384,240","186,144,000"
"Jun 12, 2017",102.01,105.30,86.66,93.49,"1,332,240","204,012,000"
"Jun 11, 2017",101.91,111.95,96.46,101.88,"1,974,470","203,828,000"
"Jun 10, 2017",89.50,107.59,86.46,104.35,"2,894,410","179,001,000"
"Jun 09, 2017",78.27,90.92,78.27,89.50,"1,308,040","156,544,000"
"Jun 08, 2017",89.51,91.05,78.40,87.75,"1,508,710","179,023,000"
"Jun 07, 2017",88.88,95.25,86.31,89.14,"1,398,440","177,761,000"
"Jun 06, 2017",80.97,90.17,80.34,88.82,"1,424,400","161,934,000"
"Jun 05, 2017",77.76,84.89,77.07,80.99,"903,634","155,524,000"
"Jun 04, 2017",79.34,83.02,76.91,77.75,"628,217","158,686,000"
"Jun 03, 2017",81.46,84.41,75.43,79.39,"918,470","162,915,000"
"Jun 02, 2017",81.29,85.98,78.62,82.52,"1,292,750","162,585,000"
"Jun 01, 2017",78.92,82.83,78.12,80.19,"935,979","157,837,000"
"May 31, 2017",78.69,82.66,74.34,78.82,"1,021,760","157,384,000"
"May 30, 2017",75.30,84.42,75.22,78.25,"1,032,770","150,591,000"
