Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.002750,0.002766,0.002245,0.002623,"16,548,800","302,422,000"
"Jun 26, 2017",0.002958,0.003041,0.002449,0.002750,"19,984,800","325,221,000"
"Jun 25, 2017",0.003129,0.003436,0.002873,0.002961,"25,808,000","344,008,000"
"Jun 24, 2017",0.003139,0.003294,0.003121,0.003135,"12,055,500","345,058,000"
"Jun 23, 2017",0.003101,0.003188,0.003044,0.003143,"9,479,750","340,788,000"
"Jun 22, 2017",0.003126,0.003141,0.003046,0.003104,"9,515,860","343,493,000"
"Jun 21, 2017",0.003219,0.003292,0.003095,0.003125,"14,635,800","353,662,000"
"Jun 20, 2017",0.003154,0.003287,0.003151,0.003218,"15,050,400","346,509,000"
"Jun 19, 2017",0.003219,0.003253,0.003141,0.003141,"12,364,900","353,665,000"
"Jun 18, 2017",0.003335,0.003336,0.003171,0.003230,"9,348,420","366,286,000"
"Jun 17, 2017",0.003135,0.003384,0.003135,0.003322,"16,275,900","344,327,000"
"Jun 16, 2017",0.003043,0.003207,0.002947,0.003163,"13,983,500","334,129,000"
"Jun 15, 2017",0.003100,0.003110,0.002764,0.003043,"15,751,600","340,402,000"
"Jun 14, 2017",0.003305,0.003379,0.003011,0.003092,"14,116,100","362,873,000"
"Jun 13, 2017",0.003250,0.003432,0.003250,0.003313,"15,386,000","356,729,000"
"Jun 12, 2017",0.003603,0.003603,0.003166,0.003253,"20,308,300","395,498,000"
"Jun 11, 2017",0.003307,0.003795,0.003276,0.003601,"40,179,500","362,883,000"
"Jun 10, 2017",0.003430,0.003483,0.003292,0.003313,"22,219,500","376,324,000"
"Jun 09, 2017",0.003576,0.003624,0.003418,0.003453,"25,259,700","392,350,000"
"Jun 08, 2017",0.003279,0.003591,0.003095,0.003574,"30,213,200","359,746,000"
"Jun 07, 2017",0.003764,0.003815,0.003302,0.003302,"29,591,900","412,874,000"
"Jun 06, 2017",0.003859,0.004036,0.003549,0.003741,"44,359,200","423,202,000"
"Jun 05, 2017",0.003191,0.003901,0.003169,0.003873,"53,883,800","349,963,000"
"Jun 04, 2017",0.003279,0.003496,0.003071,0.003179,"47,092,000","359,497,000"
"Jun 03, 2017",0.003022,0.003375,0.002814,0.003251,"40,595,200","331,309,000"
"Jun 02, 2017",0.002878,0.003101,0.002858,0.003026,"34,663,300","315,459,000"
"Jun 01, 2017",0.002665,0.002903,0.002655,0.002867,"23,980,700","292,109,000"
"May 31, 2017",0.002639,0.002739,0.002392,0.002657,"19,840,600","289,240,000"
"May 30, 2017",0.002734,0.002994,0.002570,0.002623,"22,734,100","299,563,000"
