Date,Open,High,Low,Close,Volume,Market Cap
"Jun 30, 2017",0.833317,0.853711,0.734340,0.801204,6619,4274100
"Jun 29, 2017",0.828648,0.856720,0.695475,0.831662,4852,4250150
"Jun 28, 2017",0.580736,0.855798,0.563053,0.855798,9708,2978600
"Jun 27, 2017",0.560365,0.604808,0.527626,0.576630,251,2874120
"Jun 26, 2017",0.377832,0.705145,0.368409,0.560365,2274,1937900
"Jun 25, 2017",0.513061,0.516355,0.370548,0.378029,283,2631500
"Jun 24, 2017",0.581957,0.584902,0.350841,0.514240,3293,2984870
"Jun 23, 2017",0.569030,0.646199,0.560927,0.582024,1771,2918560
"Jun 22, 2017",0.575899,0.733053,0.518295,0.569030,3495,2953790
"Jun 21, 2017",0.573404,0.575927,0.427931,0.575899,3914,2941000
"Jun 20, 2017",0.701470,0.701470,0.427693,0.573404,3998,3597850
"Jun 19, 2017",0.487365,0.701470,0.427352,0.701470,11483,2499700
"Jun 18, 2017",0.448653,0.509512,0.403826,0.487352,2197,2301150
"Jun 17, 2017",0.491141,0.527843,0.339521,0.448706,2758,2519070
"Jun 16, 2017",0.366412,16.50,0.255671,0.491141,18089,1879330
"Jun 15, 2017",0.380647,0.387923,0.307543,0.366683,1957,1952340
"Jun 14, 2017",0.365710,0.401213,0.303548,0.380664,3003,1875730
"Jun 13, 2017",0.263754,0.367803,0.259587,0.365924,1525,1352800
"Jun 12, 2017",0.327962,0.356374,0.251410,0.264670,317,1682120
"Jun 11, 2017",0.275211,0.364410,0.272730,0.328428,1396,1411560
"Jun 10, 2017",0.304897,0.314673,0.268371,0.275370,1166,1563820
"Jun 09, 2017",0.310719,0.374608,0.268199,0.304439,1749,1593680
"Jun 08, 2017",0.306468,0.415767,0.273790,0.311211,2743,1571880
"Jun 07, 2017",0.407063,0.420767,0.299512,0.304935,640,2087830
"Jun 06, 2017",0.266542,0.417393,0.266542,0.406960,1044,1367100
"Jun 05, 2017",0.177560,0.393323,0.177560,0.265737,6055,910708
"Jun 04, 2017",0.154714,0.347700,0.146169,0.177529,20950,793530
"Jun 03, 2017",0.150053,0.160404,0.142798,0.155143,245,769624
"Jun 02, 2017",0.163542,0.166593,0.145291,0.150491,302,838809
"Jun 01, 2017",0.140501,0.177018,0.140501,0.164078,291,720632
"May 31, 2017",0.164439,0.170686,0.132365,0.140331,232,843410
"May 30, 2017",0.140407,0.178132,0.102913,0.163813,619,720149
"May 29, 2017",0.147290,0.148444,0.132599,0.140244,223,755452
"May 28, 2017",0.140364,0.153922,0.139630,0.147592,196,719929
"May 27, 2017",0.150687,0.158410,0.129529,0.139497,58,772876
"May 26, 2017",0.142243,0.170804,0.136192,0.151310,186,729566
"May 25, 2017",0.130941,0.183353,0.124134,0.142583,249,671598
"May 24, 2017",0.157960,0.181334,0.095746,0.131037,2853,810179
"May 23, 2017",0.151088,0.168581,0.140107,0.157149,453,774932
"May 22, 2017",0.128647,0.156871,0.127833,0.151897,259,659832
"May 21, 2017",0.130457,0.135097,0.123637,0.128325,596,669116
"May 20, 2017",0.131397,0.134491,0.125540,0.129381,204,780165
"May 19, 2017",0.121525,0.132098,0.121208,0.131474,113,721550
"May 18, 2017",0.123943,0.130077,0.112912,0.121896,108,735907
"May 17, 2017",0.105783,0.128336,0.104782,0.123895,825,628083
"May 16, 2017",0.106353,0.106916,0.099901,0.106086,173,631467
"May 15, 2017",0.122312,0.124617,0.090147,0.106522,161,726223
"May 14, 2017",0.120400,0.124231,0.116499,0.122725,117,714871
"May 13, 2017",0.104663,0.121406,0.099310,0.120610,153,621433
"May 12, 2017",0.120349,0.121602,0.103433,0.104890,316,714568
"May 11, 2017",0.126112,0.127644,0.110429,0.119374,240,748786
"May 10, 2017",0.127017,0.129333,0.124511,0.125585,264,754159
"May 09, 2017",0.115646,0.127177,0.110229,0.126933,122,686644
"May 08, 2017",0.132105,0.132307,0.113361,0.115610,295,784369
"May 07, 2017",0.114617,0.132110,0.111910,0.132091,196,680534
"May 06, 2017",0.109730,0.114753,0.102138,0.114520,502,651518
"May 05, 2017",0.085272,0.111317,0.085272,0.109833,177,506300
"May 04, 2017",0.103276,0.122277,0.084282,0.085105,879,613198
"May 03, 2017",0.098771,0.111942,0.098260,0.103210,162,586452
"May 02, 2017",0.108783,0.124751,0.096074,0.098660,147,645895
"May 01, 2017",0.113952,0.116150,0.095341,0.108513,306,676586
"Apr 30, 2017",0.112833,0.145798,0.105681,0.114102,172,669942
"Apr 29, 2017",0.135128,0.136471,0.112736,0.112736,262,802318
"Apr 28, 2017",0.145939,0.149755,0.125890,0.135509,124,866508
"Apr 27, 2017",0.159162,0.161948,0.133918,0.145920,427,945019
"Apr 26, 2017",0.154691,0.159689,0.154691,0.159017,156,918472
"Apr 25, 2017",0.153710,0.155704,0.152692,0.154506,112,912648
"Apr 24, 2017",0.152682,0.166967,0.145507,0.153920,175,906544
"Apr 23, 2017",0.135958,0.171981,0.134473,0.152325,1408,807246
"Apr 22, 2017",0.158761,0.186962,0.135457,0.135943,480,942638
"Apr 21, 2017",0.144391,0.183850,0.143680,0.158637,248,857316
"Apr 20, 2017",0.145847,0.150441,0.134050,0.144351,1072,865961
"Apr 19, 2017",0.154056,0.157121,0.137887,0.145752,297,914702
"Apr 18, 2017",0.173182,0.180182,0.153954,0.154000,458,1028260
"Apr 17, 2017",0.172987,0.294481,0.164293,0.172243,46,1027100
"Apr 16, 2017",0.172128,0.174013,0.159379,0.172941,318,1022000
"Apr 15, 2017",0.156525,1.16,0.156377,0.172115,789,929362
"Apr 14, 2017",0.152569,0.158249,0.151096,0.156557,232,905873
"Apr 13, 2017",0.164525,0.207923,0.151854,0.152464,245,976861
"Apr 12, 2017",0.187618,0.198385,0.158084,0.164561,143,1113980
"Apr 11, 2017",0.163959,0.188162,0.154875,0.187888,209,973501
"Apr 10, 2017",0.165610,0.182407,0.150345,0.163980,380,983304
"Apr 09, 2017",0.179859,0.180475,0.159066,0.165700,457,1067910
"Apr 08, 2017",0.165297,0.179764,0.152404,0.179764,1388,981445
"Apr 07, 2017",0.170021,0.180385,0.162757,0.165896,949,1009490
"Apr 06, 2017",0.176885,0.188324,0.170560,0.170560,143,1050250
"Apr 05, 2017",0.191347,0.191377,0.167718,0.176723,404,1136120
"Apr 04, 2017",0.191438,0.211012,0.172579,0.191197,405,1136660
"Apr 03, 2017",0.163164,0.219390,0.163164,0.191149,1383,968781
"Apr 02, 2017",0.187687,0.203399,0.160323,0.163222,820,1114380
"Apr 01, 2017",0.172077,0.345744,0.149352,0.187815,2675,1021700
"Mar 31, 2017",0.184354,0.196581,0.128611,0.172090,980,1094600
"Mar 30, 2017",0.176597,0.186509,0.152357,0.184316,322,1048540
"Mar 29, 2017",0.212836,0.212836,0.111572,0.172606,393,1263710
"Mar 28, 2017",0.218231,0.238140,0.073452,0.213007,1943,1295740
"Mar 27, 2017",0.211669,0.235896,0.194474,0.218473,303,1256780
"Mar 26, 2017",0.260131,0.260131,0.183809,0.210566,196,1544520
"Mar 25, 2017",0.204624,0.261650,0.176692,0.258405,653,1214950
"Mar 24, 2017",0.177007,0.251936,0.169407,0.204837,1652,1050970
"Mar 23, 2017",0.212130,0.214428,0.176447,0.178023,1347,1259510
"Mar 22, 2017",0.226494,0.234879,0.208545,0.212075,287,1344800
"Mar 21, 2017",0.233376,0.258559,0.168789,0.227163,1024,1385660
"Mar 20, 2017",0.237171,0.247678,0.227388,0.233169,4338,1408190
"Mar 19, 2017",0.247371,0.282078,0.216636,0.237259,8353,1468760
"Mar 18, 2017",0.296310,0.319465,0.241026,0.245166,5257,1759330
"Mar 17, 2017",0.280630,0.336418,0.254833,0.321198,8717,1666230
"Mar 16, 2017",0.295799,0.318489,0.273655,0.282451,3646,1756300
"Mar 15, 2017",0.332870,0.371348,0.299683,0.304130,6704,1976400
"Mar 14, 2017",0.270561,0.385357,0.267241,0.332809,6680,1606450
"Mar 13, 2017",0.252647,0.299128,0.248570,0.270722,5552,1500080
"Mar 12, 2017",0.238625,0.269748,0.232957,0.252565,8412,1416830
"Mar 11, 2017",0.221898,0.251691,0.214052,0.238464,11505,1317510
"Mar 10, 2017",0.215798,0.289415,0.208759,0.221978,12984,1281290
"Mar 09, 2017",0.226251,0.259267,0.188919,0.215634,8201,1343360
"Mar 08, 2017",0.215409,0.250645,0.164439,0.228058,30079,1278980
"Mar 07, 2017",0.312548,0.326883,0.215464,0.215464,17315,1855740
"Mar 06, 2017",0.346851,0.469864,0.243225,0.311920,47871,2059420
"Mar 05, 2017",0.268498,0.409601,0.268010,0.346756,18240,1594200
"Mar 04, 2017",0.279705,0.341879,0.265642,0.268683,8045,1660740
"Mar 03, 2017",0.369235,0.435394,0.240541,0.279171,20938,2192320
"Mar 02, 2017",0.368302,0.476707,0.353019,0.369323,45347,2186780
"Mar 01, 2017",0.296663,0.367652,0.266045,0.367652,31670,1761430
"Feb 28, 2017",0.234564,0.305737,0.232611,0.296625,10330,1392720
"Feb 27, 2017",0.227549,0.236864,0.206452,0.234415,14591,1351060
"Feb 26, 2017",0.205909,0.239686,0.197173,0.227827,13922,1222580
"Feb 25, 2017",0.228305,0.236754,0.196565,0.205826,17988,1355550
"Feb 24, 2017",0.216148,0.240084,0.198176,0.230320,9829,1283370
"Feb 23, 2017",0.198860,0.255935,0.184914,0.221709,11375,1180720
"Feb 22, 2017",0.196518,0.200908,0.191366,0.199096,2022,1166820
"Feb 21, 2017",0.181207,0.200701,0.180872,0.196606,2102,1075910
"Feb 20, 2017",0.163182,0.189160,0.161460,0.181325,7357,968887
"Feb 19, 2017",0.162725,0.187729,0.158629,0.163011,8629,966174
"Feb 18, 2017",0.203198,0.215068,0.159842,0.162466,17453,1206480
"Feb 17, 2017",0.172512,0.216502,0.149745,0.202656,19484,1024280
"Feb 16, 2017",0.191745,0.221108,0.132256,0.172734,23790,1138480
"Feb 15, 2017",0.196714,0.259903,0.165640,0.191712,43839,1167980
"Feb 14, 2017",0.150029,0.267742,0.141552,0.203935,61432,890792
"Feb 13, 2017",0.129728,0.150758,0.122916,0.149864,11061,770255
"Feb 12, 2017",0.139116,0.144499,0.121730,0.137589,14661,825996
"Feb 11, 2017",0.123338,0.146615,0.118515,0.139245,5297,732315
"Feb 10, 2017",0.126902,0.132540,0.108897,0.123310,2093,753476
"Feb 09, 2017",0.121023,0.133249,0.108212,0.126743,3787,718570
"Feb 08, 2017",0.139418,0.146711,0.118608,0.120842,342,827790
"Feb 07, 2017",0.138929,0.149894,0.113492,0.139492,16816,824886
"Feb 06, 2017",0.149633,0.151627,0.131481,0.138664,6645,888441
"Feb 05, 2017",0.146437,0.152148,0.135733,0.149479,11097,869465
"Feb 04, 2017",0.143385,0.146704,0.126884,0.146350,3415,851343
"Feb 03, 2017",0.119420,0.143187,0.107173,0.143187,14920,709052
"Feb 02, 2017",0.123631,0.127290,0.113978,0.119460,3732,734055
"Feb 01, 2017",0.120870,0.123643,0.085914,0.123643,5978,717661
"Jan 31, 2017",0.069819,0.121169,0.069819,0.120898,13453,414550
"Jan 30, 2017",0.081943,0.082658,0.068070,0.069846,1091,486532
"Jan 29, 2017",0.062668,0.082802,0.060009,0.081834,1907,372090
"Jan 28, 2017",0.060445,0.064819,0.055556,0.064797,269,358888
"Jan 27, 2017",0.070392,0.070767,0.055509,0.060446,720,417953
"Jan 26, 2017",0.062483,0.070413,0.056927,0.070390,970,370992
"Jan 25, 2017",0.068337,0.077149,0.056921,0.063641,3670,405748
"Jan 24, 2017",0.056342,0.066479,0.055713,0.066038,2340,334526
"Jan 23, 2017",0.059560,0.060588,0.054108,0.057018,334,353637
"Jan 22, 2017",0.073464,0.074544,0.058300,0.059492,750,436192
"Jan 21, 2017",0.061753,0.074138,0.053207,0.073466,3165,366654
"Jan 20, 2017",0.068949,0.073847,0.061751,0.061754,1737,409382
"Jan 19, 2017",0.065155,0.072224,0.064239,0.068977,848,386856
"Jan 18, 2017",0.066515,0.082947,0.062838,0.064887,1378,394928
"Jan 17, 2017",0.061185,0.084140,0.061185,0.066471,3063,363285
"Jan 16, 2017",0.057019,0.064323,0.054137,0.061170,517,338550
"Jan 15, 2017",0.053510,0.060583,0.049543,0.057021,902,317716
"Jan 14, 2017",0.050592,0.061814,0.045707,0.053530,2970,300391
"Jan 13, 2017",0.055602,0.055914,0.047434,0.050522,506,330134
"Jan 12, 2017",0.063331,0.063331,0.046786,0.055636,3530,376028
"Jan 11, 2017",0.071261,0.075578,0.060646,0.063423,985,423110
"Jan 10, 2017",0.075292,0.079329,0.069629,0.071254,1870,447045
"Jan 09, 2017",0.076980,0.078429,0.073522,0.075332,738,457068
"Jan 08, 2017",0.073888,0.080132,0.070457,0.076872,694,438707
"Jan 07, 2017",0.070167,0.079411,0.061769,0.073887,1292,416611
"Jan 06, 2017",0.079181,0.081130,0.068197,0.070067,594,470134
"Jan 05, 2017",0.089805,0.093359,0.069561,0.078965,355,533215
"Jan 04, 2017",0.086407,0.093146,0.081940,0.089713,1331,513039
"Jan 03, 2017",0.082987,0.092922,0.080312,0.086427,3781,492734
"Jan 02, 2017",0.077754,0.087086,0.077544,0.082613,1231,461662
"Jan 01, 2017",0.079577,0.081534,0.077164,0.077619,2236,472483
"Dec 31, 2016",0.075477,0.079565,0.072544,0.079565,603,448144
"Dec 30, 2016",0.076126,0.081013,0.072921,0.075467,571,451994
"Dec 29, 2016",0.081437,0.083308,0.074376,0.076133,1966,483531
"Dec 28, 2016",0.069776,0.081426,0.069776,0.081426,3968,414293
"Dec 27, 2016",0.071139,0.076584,0.054575,0.069735,8529,422386
"Dec 26, 2016",0.067900,0.082255,0.064329,0.071094,2663,403154
"Dec 25, 2016",0.069005,0.072415,0.065133,0.067931,596,409717
"Dec 24, 2016",0.076111,0.076206,0.065487,0.068982,1119,451906
"Dec 23, 2016",0.069055,0.076286,0.065664,0.076068,1107,410009
"Dec 22, 2016",0.071610,0.075803,0.062491,0.069080,2717,425182
"Dec 21, 2016",0.075983,0.075983,0.069964,0.071610,3701,451149
"Dec 20, 2016",0.069688,0.080315,0.067977,0.076006,1569,413772
"Dec 19, 2016",0.098039,0.183545,0.069683,0.069766,11754,582105
"Dec 18, 2016",0.073259,0.102084,0.060991,0.098004,11017,434973
"Dec 17, 2016",0.052932,0.093123,0.052932,0.073257,21102,314282
"Dec 16, 2016",0.043875,0.071036,0.043174,0.052932,6735,260506
"Dec 15, 2016",0.042593,0.057816,0.041729,0.043886,951,252893
"Dec 14, 2016",0.042217,0.044353,0.041742,0.042578,563,250660
"Dec 13, 2016",0.043963,0.045206,0.042082,0.042272,2581,261031
"Dec 12, 2016",0.048567,0.049195,0.041256,0.043969,513,288364
"Dec 11, 2016",0.045337,0.053342,0.037496,0.048564,1196,269189
"Dec 10, 2016",0.056429,0.056429,0.039838,0.046184,1101,335045
"Dec 09, 2016",0.038238,0.083456,0.036331,0.056548,3458,227039
"Dec 08, 2016",0.045163,0.054932,0.041486,0.054198,1233,268153
"Dec 07, 2016",0.043312,0.045314,0.040991,0.045164,1230,257161
"Dec 06, 2016",0.040099,0.047382,0.039386,0.043311,1591,238085
"Dec 05, 2016",0.040768,0.040768,0.039075,0.039823,440,242060
"Dec 04, 2016",0.036025,0.040750,0.035855,0.040750,1323,213895
"Dec 03, 2016",0.037589,0.039392,0.035453,0.036023,820,223186
"Dec 02, 2016",0.039053,0.040328,0.035953,0.037535,272,231876
"Dec 01, 2016",0.039665,0.040090,0.035104,0.039119,1625,235508
"Nov 30, 2016",0.039592,0.040079,0.037853,0.039665,369,235074
"Nov 29, 2016",0.039935,0.040063,0.037088,0.039597,1193,237116
"Nov 28, 2016",0.040290,0.040955,0.037801,0.039933,1409,239219
"Nov 27, 2016",0.042318,0.043616,0.038302,0.040287,2265,251261
"Nov 26, 2016",0.045715,0.045900,0.041187,0.042331,419,271434
"Nov 25, 2016",0.044396,0.045754,0.041647,0.045735,506,263599
"Nov 24, 2016",0.045283,0.046542,0.041459,0.044388,8111,268866
"Nov 23, 2016",0.044392,0.045901,0.041336,0.045036,673,263575
"Nov 22, 2016",0.042321,0.049827,0.038019,0.045007,762,251278
"Nov 21, 2016",0.034557,0.056840,0.034557,0.042488,3110,205182
"Nov 20, 2016",0.033983,0.043628,0.033983,0.034556,289,201772
"Nov 19, 2016",0.029179,0.043013,0.028786,0.033731,1614,173248
"Nov 18, 2016",0.030784,0.031618,0.028574,0.029186,469,182778
"Nov 17, 2016",0.033208,0.033947,0.030336,0.030799,390,197171
"Nov 16, 2016",0.034834,0.035406,0.029979,0.033234,497,206829
"Nov 15, 2016",0.036424,0.036979,0.030885,0.034559,510,216269
"Nov 14, 2016",0.037367,0.041568,0.029997,0.036402,1945,221865
"Nov 13, 2016",0.035366,0.049318,0.031081,0.037370,4263,209982
"Nov 12, 2016",0.033694,0.039943,0.030806,0.035366,1077,200056
"Nov 11, 2016",0.028650,0.067998,0.025236,0.033694,15583,170107
"Nov 10, 2016",0.020359,0.034626,0.018834,0.028647,1885,120878
"Nov 09, 2016",0.026636,0.030459,0.017594,0.020916,3472,158153
"Nov 08, 2016",0.027461,0.035151,0.026272,0.026645,1512,163052
"Nov 07, 2016",0.017324,0.041180,0.017130,0.027452,6142,102860
"Nov 06, 2016",0.020445,0.021337,0.016821,0.017330,885,121394
"Nov 05, 2016",0.019579,0.020948,0.015634,0.020449,258,116249
"Nov 04, 2016",0.015394,0.021867,0.014613,0.019582,969,91401
"Nov 03, 2016",0.018447,0.018553,0.013459,0.015387,155,109530
"Nov 02, 2016",0.015976,0.019095,0.011002,0.018406,586,94854
"Nov 01, 2016",0.018483,0.019045,0.015555,0.015971,175,109742
"Oct 31, 2016",0.018348,0.019460,0.017108,0.018484,179,108942
"Oct 30, 2016",0.019757,0.020079,0.015381,0.018348,254,117308
"Oct 29, 2016",0.020305,0.020688,0.015595,0.019763,431,120558
"Oct 28, 2016",0.023441,0.023504,0.019215,0.020301,1031,139180
"Oct 27, 2016",0.019127,0.023428,0.016955,0.023428,343,113565
"Oct 26, 2016",0.017048,0.019536,0.017048,0.019132,130,101222
