Date,Open,High,Low,Close,Volume,Market Cap
"Jun 30, 2017",3.91,4.18,3.43,3.93,93552,11975700
"Jun 29, 2017",4.23,4.59,3.88,3.90,73028,12916300
"Jun 28, 2017",4.18,4.38,4.09,4.23,71752,12741400
"Jun 27, 2017",4.31,4.35,3.82,4.15,117134,13105000
"Jun 26, 2017",4.98,5.07,4.02,4.21,113339,15106300
"Jun 25, 2017",4.43,5.39,3.59,4.99,126535,13409700
"Jun 24, 2017",4.92,4.92,3.95,4.44,106713,14820600
"Jun 23, 2017",5.00,5.40,3.58,4.92,148333,15024800
"Jun 22, 2017",5.09,5.13,3.72,5.00,129991,15227000
"Jun 21, 2017",4.06,6.08,4.02,5.08,61476,12106300
"Jun 20, 2017",4.38,5.03,4.01,4.06,46450,13004100
"Jun 19, 2017",4.09,6.12,3.93,4.38,91273,12090800
"Jun 18, 2017",4.74,6.18,3.87,4.08,123992,13948900
"Jun 17, 2017",4.95,6.45,4.67,4.74,78955,14524600
"Jun 16, 2017",5.54,5.54,4.87,4.93,85935,16172500
"Jun 15, 2017",4.13,5.56,4.03,5.54,56217,12012700
"Jun 14, 2017",4.82,4.95,4.00,4.13,110321,13957900
"Jun 13, 2017",4.04,4.93,3.84,4.82,122097,11637200
"Jun 12, 2017",3.39,5.01,3.26,4.04,58774,9715310
"Jun 11, 2017",4.43,4.68,3.16,3.39,56092,12626400
"Jun 10, 2017",1.75,5.30,1.75,4.43,202397,4939320
"Jun 09, 2017",4.31,4.38,3.64,3.75,15,12158100
"Jun 08, 2017",4.03,4.45,3.97,4.31,106819,11379000
"Jun 07, 2017",4.22,4.31,3.88,4.02,65861,11905300
"Jun 06, 2017",4.40,4.58,3.87,4.22,63325,12416200
"Jun 05, 2017",3.30,4.40,3.17,4.40,145225,9279330
"Jun 04, 2017",3.93,3.94,3.13,3.30,3046,11014400
"Jun 03, 2017",4.72,4.76,3.86,3.93,95276,13186000
"Jun 02, 2017",4.54,4.72,4.43,4.72,132363,12629300
"Jun 01, 2017",4.19,4.69,4.03,4.54,103966,11607700
"May 31, 2017",4.22,4.64,4.03,4.19,97020,11641300
"May 30, 2017",4.33,4.78,4.16,4.21,48760,11867800
"May 29, 2017",4.18,4.76,4.06,4.32,42413,11404900
"May 28, 2017",4.14,4.72,3.61,4.19,42096,11267100
"May 27, 2017",4.30,4.43,3.33,4.12,23670,11650900
"May 26, 2017",4.30,5.14,3.73,4.29,18206,11595500
"May 25, 2017",4.40,5.01,4.22,4.33,14819,11807400
"May 24, 2017",4.56,4.70,4.15,4.41,12155,12162300
"May 23, 2017",4.27,4.59,3.90,4.56,11586,11330200
"May 22, 2017",3.92,4.56,3.91,4.28,12528,-
"May 21, 2017",3.78,4.19,3.76,3.91,4725,-
"May 20, 2017",3.80,4.08,3.66,3.79,7177,-
"May 19, 2017",3.72,4.28,3.51,3.80,6342,-
"May 18, 2017",3.71,4.05,2.95,3.72,1858,-
"May 17, 2017",3.67,4.10,3.36,3.71,4876,-
"May 16, 2017",3.67,3.76,2.99,3.68,8009,-
"May 15, 2017",3.95,3.95,3.57,3.68,3882,-
"May 14, 2017",4.05,4.09,3.88,3.94,2996,-
"May 13, 2017",3.92,4.04,3.73,4.04,2768,-
"May 12, 2017",4.06,4.08,3.70,3.92,4803,-
"May 11, 2017",4.55,4.70,3.63,4.06,4399,-
"May 10, 2017",4.06,4.12,3.66,3.70,486,-
"May 09, 2017",4.67,4.89,3.95,4.06,5711,-
"May 08, 2017",4.48,4.67,4.46,4.67,1263,-
"May 07, 2017",4.37,4.48,4.37,4.48,549,-
"May 06, 2017",4.29,4.37,4.16,4.37,1788,-
"May 05, 2017",4.32,4.53,4.22,4.29,3519,-
"May 04, 2017",4.27,4.51,4.17,4.31,1476,-
"May 03, 2017",4.13,4.34,4.08,4.27,2425,-
"May 02, 2017",4.07,4.31,4.06,4.12,2671,-
"May 01, 2017",3.82,4.11,3.37,4.07,1682,-
"Apr 30, 2017",3.90,3.90,3.73,3.82,146,-
"Apr 29, 2017",3.95,3.98,3.88,3.90,503,-
"Apr 28, 2017",3.93,3.98,3.74,3.94,1035,-
"Apr 27, 2017",3.68,3.94,3.68,3.93,486,-
"Apr 26, 2017",3.80,3.83,3.47,3.68,115,-
"Apr 25, 2017",3.19,3.80,3.19,3.80,695,-
"Apr 24, 2017",3.08,3.19,3.08,3.19,24,-
"Apr 23, 2017",3.08,3.12,3.05,3.08,1,-
"Apr 22, 2017",3.59,5.41,3.05,3.08,9,-
"Apr 21, 2017",3.20,3.59,3.19,3.59,12,-
"Apr 20, 2017",4.86,4.87,2.67,3.20,329,-
"Apr 19, 2017",5.09,5.11,2.66,4.86,2143,-
"Apr 18, 2017",5.07,5.11,5.07,5.09,24,-
"Apr 12, 2017",1.43,1.44,1.43,1.43,2,-
"Apr 11, 2017",1.43,1.44,1.43,1.44,2,-
