Date,Open,High,Low,Close,Volume,Market Cap
"Jun 30, 2017",0.023236,0.026713,0.018817,0.020515,398180,20591900
"Jun 29, 2017",0.023812,0.025780,0.022994,0.023172,378230,21102900
"Jun 28, 2017",0.026789,0.026789,0.023210,0.023929,393728,23740400
"Jun 27, 2017",0.025237,0.026849,0.021882,0.026770,362902,22365400
"Jun 26, 2017",0.025821,0.026997,0.023918,0.024973,386611,22882800
"Jun 25, 2017",0.027489,0.028662,0.025320,0.025822,397562,24360700
"Jun 24, 2017",0.030212,0.030308,0.024777,0.027496,365191,26774400
"Jun 23, 2017",0.029603,0.031869,0.025443,0.030176,387263,26234700
"Jun 22, 2017",0.027713,0.029498,0.027389,0.029498,452406,24551400
"Jun 21, 2017",0.028330,0.030590,0.027051,0.027751,404807,25090100
"Jun 20, 2017",0.030599,0.033092,0.025904,0.028303,427074,27090400
"Jun 19, 2017",0.030090,0.039425,0.027545,0.030529,465552,26630900
"Jun 18, 2017",0.030330,0.031812,0.027459,0.029932,441435,26380200
"Jun 17, 2017",0.028384,0.032214,0.025627,0.030336,446513,24679900
"Jun 16, 2017",0.031285,0.032235,0.026903,0.028473,548782,27194300
"Jun 15, 2017",0.029752,0.037789,0.026791,0.030762,499057,25852800
"Jun 14, 2017",0.031636,0.034898,0.026409,0.029735,445951,27481600
"Jun 13, 2017",0.031603,0.033594,0.027671,0.031723,407863,27444400
"Jun 12, 2017",0.034444,0.035086,0.029150,0.031440,407584,29901500
"Jun 11, 2017",0.032417,0.035846,0.027837,0.034492,487739,28133800
"Jun 10, 2017",0.032403,0.036521,0.029954,0.032415,488315,28112900
"Jun 09, 2017",0.031186,0.034251,0.030037,0.032332,520951,27048000
"Jun 08, 2017",0.032518,0.035283,0.025763,0.031124,449211,28195400
"Jun 07, 2017",0.032912,0.035331,0.028263,0.032290,456305,28527800
"Jun 06, 2017",0.035212,0.035212,0.024698,0.032753,492127,23470300
"Jun 05, 2017",0.031922,0.037931,0.026618,0.035402,579963,21269400
"Jun 04, 2017",0.027603,0.036693,0.020638,0.031872,486513,18242700
"Jun 03, 2017",0.028297,0.032204,0.024281,0.028056,456318,18694000
"Jun 02, 2017",0.029795,0.031862,0.025557,0.028065,486084,19676200
"Jun 01, 2017",0.026621,0.034448,0.023938,0.029788,344291,17573500
"May 31, 2017",0.027490,0.028886,0.019952,0.026613,298730,18140300
"May 30, 2017",0.027127,0.028477,0.026525,0.027154,287329,12455500
"May 29, 2017",0.022866,0.028258,0.020546,0.027149,312358,5920210
"May 28, 2017",0.024460,0.030318,0.021159,0.022381,317947,6327050
"May 27, 2017",0.023678,0.025979,0.021633,0.024477,341292,6118990
"May 26, 2017",0.026752,0.027614,0.022773,0.023576,301149,6891620
"May 25, 2017",0.025823,0.027749,0.022420,0.026834,335361,6646030
"May 24, 2017",0.026284,0.027196,0.023300,0.024923,210901,6758700
"May 23, 2017",0.027117,0.028534,0.025100,0.026159,236219,6939060
"May 22, 2017",0.030006,0.031295,0.026003,0.027086,182456,7701350
"May 21, 2017",0.032905,0.033788,0.029355,0.029918,187595,8404970
"May 20, 2017",0.032495,0.034224,0.031169,0.032908,201950,8292770
"May 19, 2017",0.032410,0.034518,0.031427,0.032517,219030,8263680
"May 18, 2017",0.030533,0.033172,0.029678,0.031229,226050,7777870
"May 17, 2017",0.032628,0.033716,0.030324,0.030528,224574,6672790
"May 16, 2017",0.033833,0.036824,0.032389,0.032858,231986,5219650
"May 15, 2017",0.036007,0.036371,0.032890,0.033927,221189,5546950
"May 14, 2017",0.034287,0.036504,0.033503,0.035991,250072,5274270
"May 13, 2017",0.038341,0.039228,0.033283,0.035417,228571,5889340
"May 12, 2017",0.032882,0.040237,0.030721,0.037936,266488,3385420
"May 11, 2017",0.032289,0.034281,0.031752,0.032664,263824,2831720
"May 10, 2017",0.037179,0.037781,0.032239,0.032368,247373,3233740
"May 09, 2017",0.038018,0.040321,0.036196,0.037341,289378,3249280
"May 08, 2017",0.040038,0.041072,0.037225,0.037550,342352,3413110
"May 07, 2017",0.043369,0.043807,0.038992,0.040279,275017,3687570
"May 06, 2017",0.044497,0.045816,0.041542,0.043376,269283,3773760
"May 05, 2017",0.043367,0.046978,0.043241,0.044206,284980,3668360
"May 04, 2017",0.042099,0.048954,0.041655,0.043261,260552,3545160
