Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",1.57,1.62,1.35,1.59,"1,864,200","63,217,700"
"Jun 26, 2017",1.84,1.84,1.44,1.57,"2,431,780","73,977,700"
"Jun 25, 2017",1.88,1.95,1.80,1.80,"1,262,330","75,801,400"
"Jun 24, 2017",2.03,2.24,1.80,1.88,"3,193,880","81,628,200"
"Jun 23, 2017",1.92,2.07,1.74,2.03,"2,193,780","77,372,000"
"Jun 22, 2017",1.89,2.01,1.76,1.92,"1,760,550","76,069,500"
"Jun 21, 2017",1.71,2.05,1.61,1.88,"3,161,210","68,691,900"
"Jun 20, 2017",1.64,1.73,1.61,1.70,"1,889,230","65,904,300"
"Jun 19, 2017",1.64,1.74,1.61,1.63,"2,066,560","66,106,200"
"Jun 18, 2017",1.77,1.79,1.57,1.63,"1,908,150","71,399,800"
"Jun 17, 2017",1.63,1.88,1.54,1.83,"3,556,080","65,575,900"
"Jun 16, 2017",1.22,1.60,1.12,1.59,"2,776,590","48,909,200"
"Jun 15, 2017",1.16,1.22,1.09,1.22,"1,153,240","46,533,000"
"Jun 14, 2017",1.22,1.34,1.13,1.16,"1,072,960","49,187,000"
"Jun 13, 2017",1.16,1.30,1.15,1.22,"1,213,530","46,653,200"
"Jun 12, 2017",1.30,1.36,1.11,1.17,"1,903,130","52,460,900"
"Jun 11, 2017",1.13,1.45,1.05,1.31,"2,356,730","45,335,600"
"Jun 10, 2017",1.11,1.16,1.07,1.13,"1,521,010","44,621,700"
"Jun 09, 2017",1.03,1.19,1.02,1.10,"1,263,840","41,531,400"
"Jun 08, 2017",1.03,1.04,0.936558,1.04,"1,139,370","41,501,300"
"Jun 07, 2017",1.07,1.08,1.02,1.03,"880,911","42,808,400"
"Jun 06, 2017",1.11,1.13,0.974824,1.06,"1,040,620","44,466,100"
"Jun 05, 2017",0.992070,1.12,0.990790,1.10,"985,586","39,860,100"
"Jun 04, 2017",0.954325,0.994378,0.845245,0.991626,"708,251","38,337,000"
"Jun 03, 2017",0.894900,0.962143,0.829098,0.956409,"858,587","35,940,300"
"Jun 02, 2017",0.898215,0.928295,0.832405,0.888123,"952,578","36,069,600"
"Jun 01, 2017",0.826010,0.916291,0.812136,0.898333,"826,118","33,168,100"
"May 31, 2017",0.766976,0.875823,0.701278,0.827817,"824,452","30,785,500"
"May 30, 2017",0.863629,0.922868,0.755744,0.764661,"822,787","34,663,700"
