Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",19.68,20.24,16.56,19.14,"304,733,000","1,830,180,000"
"Jun 26, 2017",21.53,22.47,17.70,19.58,"269,996,000","2,001,190,000"
"Jun 25, 2017",20.14,23.86,19.45,21.42,"441,712,000","1,871,250,000"
"Jun 24, 2017",21.36,21.38,20.12,20.19,"64,584,600","1,984,090,000"
"Jun 23, 2017",20.80,21.56,20.61,21.34,"77,701,100","1,931,450,000"
"Jun 22, 2017",20.76,21.05,20.28,20.79,"89,949,500","1,927,380,000"
"Jun 21, 2017",21.69,21.91,19.84,20.70,"166,313,000","2,013,030,000"
"Jun 20, 2017",23.02,23.04,21.42,21.68,"161,373,000","2,135,600,000"
"Jun 19, 2017",22.05,23.66,21.97,22.95,"270,192,000","2,044,860,000"
"Jun 18, 2017",23.03,24.62,21.73,22.07,"489,569,000","2,134,890,000"
"Jun 17, 2017",18.38,24.00,18.33,23.27,"415,397,000","1,703,170,000"
"Jun 16, 2017",18.33,18.56,17.59,18.40,"89,917,100","1,697,750,000"
"Jun 15, 2017",18.86,18.93,16.10,18.36,"178,225,000","1,746,400,000"
"Jun 14, 2017",20.76,21.06,18.12,18.84,"126,599,000","1,921,790,000"
"Jun 13, 2017",20.26,21.02,19.80,20.74,"153,774,000","1,874,700,000"
"Jun 12, 2017",21.57,22.94,18.02,20.33,"315,523,000","1,995,200,000"
"Jun 11, 2017",19.50,22.15,18.16,21.57,"415,109,000","1,803,650,000"
"Jun 10, 2017",17.45,19.66,17.43,19.66,"195,638,000","1,612,890,000"
"Jun 09, 2017",17.54,17.66,17.33,17.45,"57,805,600","1,620,430,000"
"Jun 08, 2017",17.53,17.78,17.17,17.54,"52,434,000","1,619,690,000"
"Jun 07, 2017",17.50,18.38,17.01,17.51,"133,332,000","1,615,920,000"
"Jun 06, 2017",17.35,17.83,16.78,17.49,"94,322,300","1,601,600,000"
"Jun 05, 2017",17.43,17.43,16.90,17.31,"65,380,500","1,607,200,000"
"Jun 04, 2017",16.36,17.55,16.09,17.48,"105,612,000","1,508,760,000"
"Jun 03, 2017",17.39,17.53,16.14,16.26,"94,317,500","1,603,910,000"
"Jun 02, 2017",16.84,17.51,16.84,17.38,"74,579,100","1,552,150,000"
"Jun 01, 2017",17.62,17.94,16.63,16.83,"129,554,000","1,624,040,000"
"May 31, 2017",18.74,18.74,16.68,17.68,"169,218,000","1,726,710,000"
"May 30, 2017",17.13,18.86,16.88,18.54,"151,989,000","1,577,830,000"
