Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",4.37,4.82,3.98,4.45,"58,567","30,578,000"
"Jun 28, 2017",3.65,5.05,0.154762,4.38,"141,262","25,579,200"
"Jun 27, 2017",2.56,22.94,2.44,3.63,"68,065","17,948,600"
"Jun 26, 2017",3.63,3.80,2.38,2.38,"28,519","25,408,000"
"Jun 25, 2017",34.10,34.10,3.08,3.63,"32,040","238,780,000"
"Jun 24, 2017",4.13,48.74,3.87,4.30,"100,171","28,922,400"
"Jun 23, 2017",3.75,4.23,3.26,4.13,"192,660","26,273,100"
"Jun 22, 2017",3.50,4.84,2.17,3.79,"90,702","24,534,900"
"Jun 21, 2017",3.77,4.50,2.83,3.48,"3,334","26,398,800"
"Jun 20, 2017",3.94,4.01,3.29,3.77,"50,622","27,556,200"
"Jun 19, 2017",4.26,16.11,3.06,3.75,"269,437","29,845,300"
"Jun 18, 2017",2.78,6.70,0.367518,4.83,"388,053","19,466,300"
"Jun 17, 2017",2.12,30.89,2.02,2.78,"90,494","14,839,900"
"Jun 16, 2017",2.16,2.22,1.84,2.12,"14,000","15,156,500"
"Jun 15, 2017",2.40,6.13,1.73,2.16,"46,848","16,775,400"
"Jun 14, 2017",2.01,19.25,1.74,2.40,"36,892","14,054,400"
"Jun 13, 2017",2.46,3.89,1.68,2.01,"28,209","17,240,500"
"Jun 12, 2017",2.07,2.44,1.47,2.44,"14,507","14,498,400"
"Jun 10, 2017",1.55,3.13,0.002514,0.002514,"31,863","10,851,300"
"Jun 09, 2017",2.07,2.08,1.54,1.55,"25,274","14,461,600"
"Jun 08, 2017",1.38,1.80,1.32,1.74,"23,746","9,632,200"
"Jun 07, 2017",1.32,1.59,1.18,1.37,"13,593","9,232,550"
"Jun 06, 2017",1.67,1.85,1.28,1.32,"37,630","11,698,200"
"Jun 05, 2017",1.22,1.72,1.22,1.67,"134,653","8,549,400"
"Jun 04, 2017",1.53,1.66,1.15,1.22,"48,084","10,734,800"
"Jun 03, 2017",1.54,1.79,1.32,1.53,"13,960","10,817,400"
"Jun 02, 2017",1.82,2.18,1.10,1.54,"58,706","12,736,700"
"Jun 01, 2017",1.63,1.95,1.63,1.82,"10,230","11,416,300"
"May 31, 2017",1.88,1.91,1.44,1.64,"38,753","13,137,800"
"May 30, 2017",1.73,3.86,0.325154,1.88,"27,837","12,122,400"
"May 29, 2017",4.91,5.91,1.51,1.73,"68,603","34,404,800"
"May 28, 2017",1.54,5.34,1.39,1.86,"62,135","10,787,800"
"May 27, 2017",1.92,2.00,1.28,1.53,"31,169","13,466,200"
"May 26, 2017",2.18,2.44,1.45,1.93,"42,040","15,247,700"
"May 25, 2017",2.76,2.97,1.86,2.19,"41,307","19,290,000"
"May 24, 2017",2.22,2.87,1.93,2.75,"58,024","15,517,300"
"May 23, 2017",2.16,2.48,1.60,2.22,"60,506","15,132,700"
"May 22, 2017",2.06,4.08,1.17,2.16,"32,143","14,441,200"
"May 21, 2017",1.67,2.06,1.56,2.06,"27,022","11,689,300"
"May 20, 2017",1.74,6.90,1.67,1.67,"18,774","12,180,800"
"May 19, 2017",1.77,6.22,1.62,2.03,"94,693","12,396,500"
"May 18, 2017",1.18,8.78,0.731354,1.77,"206,949","8,280,120"
"May 17, 2017",0.804970,1.55,0.777073,1.18,"33,962",-
