Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",25.35,26.19,21.22,26.15,"5,141,850","221,878,000"
"Jun 26, 2017",27.69,29.53,21.71,25.35,"8,962,600","242,371,000"
"Jun 25, 2017",31.29,31.54,24.58,28.03,"7,089,170","273,854,000"
"Jun 24, 2017",33.31,34.58,30.58,31.09,"3,149,050","291,536,000"
"Jun 23, 2017",31.38,36.32,31.20,33.31,"7,239,310","274,717,000"
"Jun 22, 2017",29.71,32.27,28.05,32.25,"5,892,960","260,026,000"
"Jun 21, 2017",32.71,34.20,28.10,29.46,"7,937,990","286,348,000"
"Jun 20, 2017",33.56,36.22,31.09,32.65,"9,158,100","293,796,000"
"Jun 19, 2017",31.42,36.35,31.37,33.45,"17,409,300","275,005,000"
"Jun 18, 2017",31.81,31.81,29.25,31.38,"6,077,040","278,410,000"
"Jun 17, 2017",27.81,33.15,27.55,31.85,"12,702,600","243,459,000"
"Jun 16, 2017",26.61,28.00,24.69,28.00,"4,836,350","232,935,000"
"Jun 15, 2017",26.87,27.49,20.67,26.98,"7,891,690","235,224,000"
"Jun 14, 2017",30.98,33.57,25.56,27.02,"11,141,600","271,174,000"
"Jun 13, 2017",24.96,32.53,24.96,30.46,"16,705,400","218,494,000"
"Jun 12, 2017",27.88,29.98,23.23,25.17,"7,083,680","244,021,000"
"Jun 11, 2017",24.62,30.60,24.62,27.52,"9,682,100","215,493,000"
"Jun 10, 2017",32.15,32.15,24.65,24.72,"11,449,100","281,410,000"
"Jun 09, 2017",27.87,31.70,27.19,31.70,"11,330,500","243,953,000"
"Jun 08, 2017",27.73,30.06,25.89,27.72,"14,435,300","242,704,000"
"Jun 07, 2017",31.94,37.07,26.55,27.33,"40,988,800","279,559,000"
"Jun 06, 2017",24.55,34.79,20.66,32.54,"72,220,400","214,914,000"
"Jun 05, 2017",17.38,25.87,17.38,24.44,"31,647,000","152,100,000"
"Jun 04, 2017",15.77,17.66,15.00,17.56,"4,783,920","138,067,000"
"Jun 03, 2017",14.62,15.97,14.32,15.87,"3,661,030","128,006,000"
"Jun 02, 2017",12.89,14.83,12.81,14.65,"2,337,610","112,837,000"
"Jun 01, 2017",12.35,13.55,12.35,12.90,"1,360,750","108,120,000"
"May 31, 2017",11.61,12.35,11.15,12.33,"1,631,020","101,603,000"
"May 30, 2017",12.84,13.58,11.48,11.54,"1,864,840","112,387,000"
