Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",2.76,2.84,2.71,2.78,"81,927","12,373,700"
"Jun 28, 2017",2.82,2.86,2.70,2.75,"71,037","12,479,100"
"Jun 27, 2017",2.64,2.80,2.49,2.80,"101,830","11,541,400"
"Jun 26, 2017",2.61,2.66,2.46,2.54,"88,566","11,336,400"
"Jun 25, 2017",2.63,2.72,2.53,2.61,"49,439","11,405,100"
"Jun 24, 2017",2.76,2.79,2.59,2.65,"81,344","11,924,700"
"Jun 23, 2017",2.65,2.87,2.63,2.76,"138,797","11,288,600"
"Jun 22, 2017",2.67,2.78,2.56,2.65,"137,732","11,258,600"
"Jun 21, 2017",2.51,2.78,2.51,2.72,"95,668","10,583,500"
"Jun 20, 2017",2.49,2.59,2.45,2.55,"135,520","9,513,660"
"Jun 19, 2017",2.40,2.50,2.20,2.49,"90,899","9,108,530"
"Jun 18, 2017",2.44,2.57,2.37,2.43,"57,364","9,227,830"
"Jun 17, 2017",2.56,2.59,2.42,2.46,"91,362","9,642,840"
"Jun 16, 2017",2.37,2.64,2.28,2.56,"90,770","8,788,660"
"Jun 15, 2017",2.40,2.49,1.95,2.37,"76,376","8,882,530"
"Jun 14, 2017",2.39,2.50,2.23,2.40,"73,524","8,241,810"
"Jun 13, 2017",2.24,2.43,2.24,2.39,"88,240","7,679,080"
"Jun 12, 2017",2.52,2.54,2.15,2.32,"153,797","8,526,910"
"Jun 11, 2017",2.43,2.54,2.39,2.54,"39,957","8,145,030"
"Jun 10, 2017",2.43,2.52,2.37,2.43,"89,663","8,078,600"
"Jun 09, 2017",2.36,2.46,2.34,2.42,"112,046","7,797,140"
"Jun 08, 2017",2.24,2.38,2.19,2.38,"164,212","7,327,160"
"Jun 07, 2017",2.36,2.38,2.19,2.22,"133,916","7,652,740"
"Jun 06, 2017",2.25,2.47,2.21,2.37,"292,753","7,262,180"
"Jun 05, 2017",2.12,2.25,2.12,2.25,"103,684","6,680,750"
"Jun 04, 2017",2.10,2.13,1.82,2.12,"47,017","6,550,150"
"Jun 03, 2017",1.99,2.13,1.94,2.11,"55,871","6,347,950"
"Jun 02, 2017",1.77,2.02,1.74,2.01,"126,396","5,491,920"
"Jun 01, 2017",1.82,1.91,1.68,1.75,"60,791","5,590,700"
"May 31, 2017",1.74,1.88,1.68,1.83,"78,153","5,299,440"
"May 30, 2017",1.82,1.85,1.69,1.70,"41,954","5,521,900"
"May 29, 2017",1.70,1.85,1.65,1.82,"33,694","5,136,590"
"May 28, 2017",1.62,1.79,1.60,1.70,"19,046","4,885,840"
"May 27, 2017",1.66,1.71,1.42,1.61,"38,698","4,997,060"
"May 26, 2017",1.53,1.74,1.53,1.65,"22,358","4,608,640"
"May 25, 2017",1.68,1.85,1.50,1.54,"48,599","5,039,980"
"May 24, 2017",1.64,1.72,1.62,1.68,"25,815","4,069,460"
"May 23, 2017",1.53,1.67,1.53,1.64,"32,372","3,775,650"
"May 22, 2017",1.60,1.68,1.47,1.54,"55,921","3,927,140"
"May 21, 2017",1.64,1.66,1.55,1.60,"40,663","4,020,590"
"May 20, 2017",1.55,1.64,1.54,1.64,"40,034","3,758,000"
"May 19, 2017",1.46,1.57,1.46,1.55,"54,889","3,532,890"
"May 18, 2017",1.41,1.47,1.39,1.46,"36,602","3,390,680"
"May 17, 2017",1.39,1.43,1.37,1.41,"41,292","3,314,830"
"May 16, 2017",1.38,1.40,1.34,1.39,"45,700","3,284,080"
"May 15, 2017",1.37,1.40,1.32,1.38,"46,356","3,253,740"
"May 14, 2017",1.40,1.42,1.34,1.37,"58,946","3,297,420"
"May 13, 2017",1.32,1.40,1.25,1.39,"40,132","3,091,190"
"May 12, 2017",1.36,1.37,1.29,1.32,"42,204","3,184,960"
"May 11, 2017",1.35,1.41,1.33,1.36,"51,161","3,135,480"
"May 10, 2017",1.34,1.37,1.30,1.35,"35,957","3,096,620"
"May 09, 2017",1.36,1.42,1.29,1.33,"39,204","3,160,040"
"May 08, 2017",1.26,1.36,1.26,1.36,"36,305","2,907,680"
"May 07, 2017",1.26,1.27,1.22,1.26,"35,343","2,889,600"
"May 06, 2017",1.24,1.26,1.23,1.26,"18,904","2,835,510"
"May 05, 2017",1.21,1.29,1.21,1.24,"11,724","2,724,840"
"May 04, 2017",1.17,1.26,1.17,1.20,"28,026","2,625,500"
"May 03, 2017",1.15,1.17,1.13,1.17,"38,317","2,555,110"
"May 02, 2017",1.13,1.16,1.11,1.15,"35,491","2,477,280"
"May 01, 2017",1.11,1.16,1.11,1.13,"23,252","2,462,410"
"Apr 30, 2017",1.08,1.12,1.07,1.11,"60,601","2,309,050"
"Apr 29, 2017",1.05,1.09,1.05,1.08,"76,524","2,206,270"
"Apr 28, 2017",1.03,1.05,1.02,1.05,"55,235","2,147,730"
"Apr 27, 2017",0.993752,1.04,0.991970,1.03,"41,051","2,040,650"
"Apr 26, 2017",0.968482,1.01,0.968436,0.993132,"49,503","1,960,500"
"Apr 25, 2017",0.942814,0.969686,0.942814,0.968100,"29,876",-
"Apr 24, 2017",0.898670,0.950616,0.898670,0.942588,"37,419",-
"Apr 23, 2017",0.914602,0.914602,0.893697,0.896909,"17,008",-
"Apr 22, 2017",0.907300,0.917518,0.896467,0.914446,"19,880",-
"Apr 21, 2017",0.913066,0.918316,0.893790,0.907213,"18,561",-
"Apr 20, 2017",0.901746,0.919613,0.897345,0.912813,"38,943",-
"Apr 19, 2017",0.901776,0.917574,0.894254,0.901267,"48,917",-
"Apr 18, 2017",0.899124,0.912478,0.888335,0.901434,"36,769",-
"Apr 17, 2017",0.892088,0.905730,0.886070,0.899229,"26,100",-
"Apr 16, 2017",0.886962,0.902226,0.886856,0.891854,"12,530",-
"Apr 15, 2017",0.889798,0.904949,0.883684,0.886894,"26,985",-
"Apr 14, 2017",0.884149,0.900126,0.875881,0.889946,"21,988",-
"Apr 13, 2017",0.895721,0.916476,0.869730,0.883356,"55,269",-
"Apr 12, 2017",0.899114,0.910404,0.887956,0.895236,"41,566",-
"Apr 11, 2017",0.905925,0.911650,0.887632,0.899263,"50,356",-
"Apr 10, 2017",0.893420,0.910610,0.891252,0.905673,"41,390",-
"Apr 09, 2017",0.870662,0.911077,0.868042,0.893848,"63,885",-
"Apr 08, 2017",0.868406,0.889920,0.860949,0.870203,"27,179",-
"Apr 07, 2017",0.882154,0.884295,0.868889,0.871553,"29,392",-
"Apr 06, 2017",0.851878,0.892466,0.851878,0.884952,"26,235",-
"Apr 05, 2017",0.850605,0.855342,0.835222,0.851099,"34,010",-
