Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",3.60,3.79,3.06,3.79,"3,016,230","227,948,000"
"Jun 26, 2017",4.12,4.17,3.10,3.60,"4,050,330","260,526,000"
"Jun 25, 2017",4.22,4.41,4.04,4.12,"3,050,440","266,742,000"
"Jun 24, 2017",4.70,4.77,4.21,4.23,"4,228,940","297,474,000"
"Jun 23, 2017",4.40,5.03,4.22,4.70,"15,203,800","278,617,000"
"Jun 22, 2017",4.08,4.38,3.96,4.37,"3,880,650","258,216,000"
"Jun 21, 2017",3.83,4.29,3.82,4.10,"5,096,190","242,014,000"
"Jun 20, 2017",3.93,4.18,3.81,3.83,"6,915,510","248,640,000"
"Jun 19, 2017",3.56,3.97,3.49,3.93,"3,786,900","224,938,000"
"Jun 18, 2017",3.52,3.65,3.48,3.55,"2,767,420","222,624,000"
"Jun 17, 2017",3.61,3.97,3.52,3.52,"3,522,090","228,361,000"
"Jun 16, 2017",3.39,3.78,3.15,3.58,"2,772,020","214,441,000"
"Jun 15, 2017",3.51,3.65,2.90,3.37,"3,515,610","221,834,000"
"Jun 14, 2017",4.19,4.32,3.39,3.51,"3,154,280","264,391,000"
"Jun 13, 2017",3.86,4.20,3.84,4.20,"2,668,240","244,002,000"
"Jun 12, 2017",4.37,4.77,3.72,3.86,"3,289,320","276,130,000"
"Jun 11, 2017",4.21,4.63,3.94,4.38,"5,462,530","265,989,000"
"Jun 10, 2017",4.49,4.95,4.19,4.24,"4,620,580","283,182,000"
"Jun 09, 2017",4.65,4.72,4.43,4.48,"3,165,130","293,517,000"
"Jun 08, 2017",4.37,4.87,4.20,4.63,"3,281,920","275,794,000"
"Jun 07, 2017",4.47,5.11,4.35,4.36,"5,846,340","282,023,000"
"Jun 06, 2017",4.53,4.75,4.13,4.52,"4,563,350","285,501,000"
"Jun 05, 2017",4.79,4.80,4.42,4.51,"4,635,640","302,161,000"
"Jun 04, 2017",4.20,5.04,3.88,4.79,"12,517,100","264,772,000"
"Jun 03, 2017",2.90,4.14,2.86,4.14,"7,313,060","182,550,000"
"Jun 02, 2017",2.67,2.89,2.58,2.88,"2,141,100","168,192,000"
"Jun 01, 2017",2.47,2.69,2.47,2.67,"1,881,090","155,803,000"
"May 31, 2017",2.50,2.68,2.38,2.51,"2,534,290","157,670,000"
"May 30, 2017",2.64,2.95,2.45,2.49,"2,131,500","166,263,000"
