Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",192.69,200.65,168.43,200.46,"1,059,020","212,843,000"
"Jun 26, 2017",205.33,208.49,172.77,185.36,"2,401,130","226,810,000"
"Jun 25, 2017",216.46,217.50,198.95,203.82,"1,987,100","239,096,000"
"Jun 24, 2017",229.16,231.56,212.62,216.89,"893,780","253,127,000"
"Jun 23, 2017",216.69,234.28,214.97,229.24,"941,532","239,357,000"
"Jun 22, 2017",222.65,226.05,212.18,216.19,"1,406,290","245,934,000"
"Jun 21, 2017",233.25,234.95,217.49,222.04,"2,174,910","257,650,000"
"Jun 20, 2017",241.90,243.91,221.69,233.16,"2,548,470","267,203,000"
"Jun 19, 2017",239.36,245.97,237.94,241.94,"2,274,500","264,399,000"
"Jun 18, 2017",244.55,247.44,238.06,240.46,"835,268","270,126,000"
"Jun 17, 2017",243.33,245.24,238.47,244.45,"960,521","268,782,000"
"Jun 16, 2017",235.56,251.60,228.81,243.41,"1,706,190","260,202,000"
"Jun 15, 2017",245.30,248.84,198.31,235.52,"1,818,040","270,958,000"
"Jun 14, 2017",270.28,275.94,233.85,245.45,"1,756,630","298,552,000"
"Jun 13, 2017",267.61,274.06,259.27,270.42,"3,634,110","295,600,000"
"Jun 12, 2017",269.99,276.81,237.93,262.82,"4,611,240","298,225,000"
"Jun 11, 2017",259.24,273.43,254.46,270.17,"1,722,230","286,357,000"
"Jun 10, 2017",258.07,264.99,249.27,259.32,"2,586,810","285,057,000"
"Jun 09, 2017",258.86,264.01,257.09,258.23,"1,039,800","285,934,000"
"Jun 08, 2017",250.88,261.86,246.19,259.28,"1,108,080","277,124,000"
"Jun 07, 2017",265.82,269.75,244.40,250.05,"1,863,430","293,620,000"
"Jun 06, 2017",260.20,270.67,249.59,267.44,"3,759,020","287,414,000"
"Jun 05, 2017",263.54,271.17,258.19,259.37,"2,900,230","291,098,000"
"Jun 04, 2017",258.68,266.32,257.45,263.66,"1,764,410","285,736,000"
"Jun 03, 2017",253.15,264.12,250.73,259.77,"1,844,740","279,626,000"
"Jun 02, 2017",249.92,254.45,245.91,253.37,"1,704,490","276,061,000"
"Jun 01, 2017",258.94,266.41,239.91,250.67,"2,793,310","286,026,000"
"May 31, 2017",254.19,260.85,238.80,258.49,"3,223,960","280,776,000"
"May 30, 2017",223.82,255.73,223.82,255.73,"2,948,800","247,225,000"
"May 29, 2017",210.05,226.94,203.74,224.76,"1,427,840","232,021,000"
"May 28, 2017",191.19,221.68,191.19,209.28,"1,655,050","211,182,000"
"May 27, 2017",204.34,215.28,137.26,190.47,"2,116,920","225,713,000"
"May 26, 2017",220.86,254.95,192.54,203.66,"2,538,650","243,964,000"
"May 25, 2017",264.47,285.59,220.43,223.20,"3,733,870","292,131,000"
"May 24, 2017",230.86,284.36,229.00,264.30,"4,987,370","255,003,000"
"May 23, 2017",221.27,239.38,203.25,230.29,"3,339,550","244,416,000"
"May 22, 2017",211.88,243.33,196.80,223.00,"6,796,350","234,043,000"
"May 21, 2017",179.09,217.20,178.23,215.99,"4,641,290","197,820,000"
"May 20, 2017",168.12,180.55,156.88,178.84,"2,776,440","185,701,000"
"May 19, 2017",136.95,179.22,135.02,166.40,"5,786,480","151,276,000"
"May 18, 2017",121.86,137.26,121.10,136.71,"1,741,360","134,603,000"
"May 17, 2017",120.27,124.28,116.29,121.55,"1,145,960","132,848,000"
"May 16, 2017",120.02,125.75,119.31,120.22,"1,782,330","132,570,000"
"May 15, 2017",111.81,122.39,109.17,120.13,"2,149,280","123,510,000"
"May 14, 2017",111.66,116.39,110.09,112.35,"686,450","123,339,000"
"May 13, 2017",106.19,111.98,101.70,111.04,"596,459","117,301,000"
"May 12, 2017",109.98,114.88,105.82,106.35,"966,219","121,482,000"
"May 11, 2017",109.64,116.59,106.36,109.51,"1,502,340","121,109,000"
"May 10, 2017",99.82,111.20,99.33,108.47,"1,340,590","110,261,000"
"May 09, 2017",117.81,123.55,97.06,99.81,"2,728,910","130,135,000"
"May 08, 2017",104.61,124.65,100.36,117.84,"4,710,080","115,553,000"
"May 07, 2017",114.93,116.73,103.86,105.10,"3,392,570","126,953,000"
"May 06, 2017",86.70,115.14,86.70,114.74,"7,706,590","95,764,700"
"May 05, 2017",88.58,90.61,81.40,86.77,"4,400,090","97,841,900"
"May 04, 2017",78.64,89.43,78.35,88.68,"6,149,800","86,866,900"
"May 03, 2017",90.12,93.96,74.66,78.41,"8,826,750","99,543,900"
"May 02, 2017",78.00,108.05,75.12,89.79,"24,464,700","86,153,900"
"May 01, 2017",51.64,77.74,51.64,74.84,"13,582,400",-
