Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.505481,0.549714,0.413047,0.549714,"8,712,950","421,082,000"
"Jun 26, 2017",0.563087,0.573774,0.411492,0.473199,"8,133,930","466,941,000"
"Jun 25, 2017",0.628188,0.628188,0.524541,0.564485,"7,739,500","520,927,000"
"Jun 24, 2017",0.656211,0.681588,0.618656,0.625240,"8,565,970","544,164,000"
"Jun 23, 2017",0.592255,0.657140,0.584814,0.655915,"9,106,430","491,129,000"
"Jun 22, 2017",0.605525,0.621699,0.575411,0.591251,"7,841,440","502,133,000"
"Jun 21, 2017",0.648616,0.656288,0.577934,0.604908,"9,992,720","537,866,000"
"Jun 20, 2017",0.723414,0.723414,0.632903,0.648595,"16,152,900","599,892,000"
"Jun 19, 2017",0.582188,0.739118,0.582188,0.725816,"38,089,200","482,781,000"
"Jun 18, 2017",0.621649,0.637639,0.558312,0.579051,"11,788,800","515,504,000"
"Jun 17, 2017",0.545215,0.623625,0.541663,0.616756,"10,760,500","452,121,000"
"Jun 16, 2017",0.512322,0.574783,0.482906,0.544276,"8,574,290","424,844,000"
"Jun 15, 2017",0.508788,0.512017,0.430102,0.512017,"8,001,350","421,913,000"
"Jun 14, 2017",0.577531,0.597618,0.477056,0.508575,"10,921,000","478,919,000"
"Jun 13, 2017",0.502221,0.629647,0.498608,0.577867,"20,196,600","416,468,000"
"Jun 12, 2017",0.574107,0.577581,0.464647,0.505115,"10,409,600","476,079,000"
"Jun 11, 2017",0.591156,0.595756,0.563248,0.575122,"11,202,500","490,217,000"
"Jun 10, 2017",0.537000,0.615203,0.537000,0.583557,"22,298,400","445,308,000"
"Jun 09, 2017",0.536435,0.545844,0.525224,0.534433,"8,258,340","444,840,000"
"Jun 08, 2017",0.526510,0.551937,0.509753,0.533354,"8,760,040","436,609,000"
"Jun 07, 2017",0.526458,0.568851,0.506249,0.523858,"12,558,300","436,566,000"
"Jun 06, 2017",0.520003,0.526878,0.484368,0.525862,"9,191,710","431,214,000"
"Jun 05, 2017",0.479918,0.544546,0.475158,0.521121,"12,889,500","395,871,000"
"Jun 04, 2017",0.459001,0.492121,0.455637,0.479907,"8,017,040","378,617,000"
"Jun 03, 2017",0.482994,0.515330,0.451655,0.462097,"15,913,900","398,408,000"
"Jun 02, 2017",0.463420,0.484566,0.451279,0.484566,"9,466,900","382,262,000"
"Jun 01, 2017",0.441885,0.508038,0.433484,0.460203,"12,048,300","364,499,000"
"May 31, 2017",0.418978,0.454745,0.385278,0.437993,"11,263,500","345,603,000"
"May 30, 2017",0.466088,0.486438,0.418146,0.424143,"17,838,100","384,463,000"
