Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.159872,0.183594,0.139449,0.182674,"553,409","23,894,700"
"Jun 26, 2017",0.166409,0.175151,0.134094,0.150875,"512,467","24,871,700"
"Jun 25, 2017",0.178993,0.184289,0.160416,0.166436,"574,879","26,752,500"
"Jun 24, 2017",0.182885,0.198481,0.173799,0.179391,"670,974","27,334,300"
"Jun 23, 2017",0.189307,0.200769,0.179974,0.182311,"663,353","28,294,000"
"Jun 22, 2017",0.186237,0.192470,0.184794,0.188727,"557,190","27,835,300"
"Jun 21, 2017",0.181077,0.198372,0.177732,0.188580,"831,599","27,064,000"
"Jun 20, 2017",0.189397,0.190611,0.176393,0.182765,"494,962","28,307,500"
"Jun 19, 2017",0.195003,0.197612,0.180987,0.188941,"649,607","28,864,100"
"Jun 18, 2017",0.197112,0.208459,0.193944,0.195050,"422,567","29,042,700"
"Jun 17, 2017",0.201965,0.211546,0.186659,0.197192,"612,385","29,383,000"
"Jun 16, 2017",0.183749,0.222514,0.174533,0.202808,"808,237","26,732,800"
"Jun 15, 2017",0.182839,0.189256,0.161476,0.183810,"548,490","26,507,100"
"Jun 14, 2017",0.212365,0.215448,0.172355,0.182856,"489,283","30,603,600"
"Jun 13, 2017",0.190796,0.216436,0.184412,0.212566,"650,169","27,038,900"
"Jun 12, 2017",0.216333,0.233627,0.179791,0.194016,"628,395","30,657,900"
"Jun 11, 2017",0.228978,0.232178,0.209567,0.216492,"666,503","31,906,300"
"Jun 10, 2017",0.224210,0.235452,0.208798,0.235452,"710,953","30,754,400"
"Jun 09, 2017",0.212204,0.231660,0.207671,0.221807,"669,524","27,707,100"
"Jun 08, 2017",0.191015,0.237991,0.188255,0.213108,"1,560,950","24,940,800"
"Jun 07, 2017",0.172477,0.206108,0.165807,0.189071,"980,383","22,398,500"
"Jun 06, 2017",0.170015,0.176848,0.155292,0.174238,"587,073","21,928,700"
"Jun 05, 2017",0.160161,0.175707,0.152169,0.170643,"599,470","20,212,000"
"Jun 04, 2017",0.169541,0.175023,0.148898,0.160524,"573,100","21,395,800"
"Jun 03, 2017",0.153751,0.176361,0.151852,0.170044,"775,602","19,116,600"
"Jun 02, 2017",0.120576,0.164764,0.118505,0.156664,"881,820","14,898,600"
"Jun 01, 2017",0.118425,0.131002,0.107929,0.120497,"606,866","14,551,100"
"May 31, 2017",0.126307,0.135164,0.114835,0.118452,"458,625","15,439,500"
"May 30, 2017",0.137725,0.137725,0.123119,0.125852,"464,299","16,764,800"
"May 29, 2017",0.138603,0.157517,0.122430,0.137496,"491,936","16,792,600"
"May 28, 2017",0.139527,0.150625,0.128631,0.140013,"419,714","16,817,100"
"May 27, 2017",0.174688,0.182266,0.113706,0.135265,"544,003","21,055,000"
"May 26, 2017",0.173975,0.216634,0.162593,0.174517,"463,408","20,142,300"
"May 25, 2017",0.205449,0.236022,0.181528,0.181528,"1,282,940","23,786,200"
"May 24, 2017",0.171023,0.207068,0.171023,0.205568,"1,949,040","19,800,500"
"May 23, 2017",0.129459,0.182798,0.125191,0.168389,"1,409,210","14,721,100"
"May 22, 2017",0.121887,0.146454,0.095609,0.129355,"1,110,070","13,770,200"
"May 21, 2017",0.139544,0.142708,0.109185,0.121590,"717,221","15,246,800"
"May 20, 2017",0.141994,0.149738,0.105556,0.140287,"1,380,700","15,181,800"
"May 19, 2017",0.070284,0.153831,0.068036,0.138718,"1,860,830","7,341,520"
"May 18, 2017",0.048460,0.071739,0.045114,0.068540,"550,933","5,018,870"
"May 17, 2017",0.050726,0.051852,0.042039,0.048413,"358,577","5,138,410"
"May 16, 2017",0.052543,0.057000,0.045371,0.051074,"395,335","5,271,280"
"May 15, 2017",0.064151,0.065783,0.048085,0.053699,"395,388",-
"May 14, 2017",0.065007,0.066980,0.057215,0.064123,"336,930",-
"May 13, 2017",0.063247,0.065574,0.059740,0.064907,"184,772",-
"May 12, 2017",0.070289,0.072253,0.061099,0.063611,"300,408",-
"May 11, 2017",0.071905,0.072916,0.070209,0.070696,"420,384",-
