Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",3.72,4.27,2.97,4.22,"4,487,480","323,945,000"
"Jun 26, 2017",4.07,4.22,2.89,3.69,"5,594,370","353,719,000"
"Jun 25, 2017",4.42,4.57,3.51,4.05,"3,424,090","384,150,000"
"Jun 24, 2017",4.72,5.06,4.19,4.42,"2,784,730","410,409,000"
"Jun 23, 2017",5.08,5.08,3.96,4.72,"7,769,340","442,178,000"
"Jun 22, 2017",4.74,5.54,4.31,5.07,"9,782,710","412,424,000"
"Jun 21, 2017",4.00,5.28,3.73,4.73,"11,621,400","347,775,000"
"Jun 20, 2017",2.94,4.25,2.84,3.99,"9,077,820","256,066,000"
"Jun 19, 2017",2.32,3.04,2.32,2.89,"4,110,240","201,721,000"
"Jun 18, 2017",2.31,2.39,2.20,2.32,"1,370,940","200,808,000"
"Jun 17, 2017",1.99,2.48,1.96,2.33,"2,402,670","173,548,000"
"Jun 16, 2017",1.89,1.99,1.80,1.99,"1,033,390","164,641,000"
"Jun 15, 2017",1.94,1.94,1.52,1.89,"1,802,820","169,085,000"
"Jun 14, 2017",2.01,2.07,1.84,1.95,"1,520,510","174,751,000"
"Jun 13, 2017",1.87,2.03,1.82,2.01,"1,635,370","162,285,000"
"Jun 12, 2017",1.88,2.03,1.64,1.86,"2,059,300","163,984,000"
"Jun 11, 2017",2.00,2.02,1.84,1.90,"1,751,140","173,684,000"
"Jun 10, 2017",2.01,2.07,1.95,2.00,"1,480,380","174,933,000"
"Jun 09, 2017",1.91,2.02,1.89,2.01,"1,637,000","166,180,000"
"Jun 08, 2017",1.84,2.01,1.73,1.91,"2,720,760","160,300,000"
"Jun 07, 2017",1.45,1.92,1.43,1.83,"4,420,280","125,948,000"
"Jun 06, 2017",1.37,1.49,1.24,1.45,"1,573,910","119,173,000"
"Jun 05, 2017",1.25,1.36,1.25,1.35,"812,864","109,082,000"
"Jun 04, 2017",1.28,1.29,1.23,1.25,"748,216","111,696,000"
"Jun 03, 2017",1.24,1.30,1.21,1.29,"658,541","107,576,000"
"Jun 02, 2017",1.20,1.31,1.18,1.23,"807,120","104,106,000"
"Jun 01, 2017",1.15,1.22,1.14,1.19,"845,221","99,909,900"
"May 31, 2017",1.06,1.16,0.975928,1.16,"1,122,510","92,157,400"
"May 30, 2017",1.14,1.18,1.03,1.06,"1,102,090","99,365,300"
