Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",0.375767,0.459387,0.361568,0.417798,"5,324,020","1,044,460,000"
"Jun 28, 2017",0.399874,0.399874,0.357338,0.379136,"4,704,400","1,111,460,000"
"Jun 27, 2017",0.411989,0.420035,0.353549,0.392269,"4,411,090","1,145,140,000"
"Jun 26, 2017",0.470192,0.473662,0.351156,0.402438,"9,101,080","1,306,910,000"
"Jun 25, 2017",0.514185,0.525564,0.454951,0.470941,"5,012,890","1,429,190,000"
"Jun 24, 2017",0.482769,0.635612,0.482769,0.512910,"19,215,500","1,341,870,000"
"Jun 23, 2017",0.417769,0.480910,0.408405,0.480910,"3,768,560","1,161,200,000"
"Jun 22, 2017",0.413371,0.427283,0.407261,0.417742,"2,343,320","1,148,980,000"
"Jun 21, 2017",0.419439,0.437340,0.405037,0.413547,"3,999,810","1,165,840,000"
"Jun 20, 2017",0.414299,0.422032,0.398649,0.418494,"3,755,470","1,151,560,000"
"Jun 19, 2017",0.405456,0.420990,0.388231,0.412183,"3,543,640","1,126,980,000"
"Jun 18, 2017",0.420597,0.426069,0.393790,0.405862,"2,514,450","1,169,060,000"
"Jun 17, 2017",0.426762,0.444205,0.414139,0.419906,"3,100,660","1,186,200,000"
"Jun 16, 2017",0.353285,0.448249,0.309852,0.410757,"6,920,690","981,966,000"
"Jun 15, 2017",0.528284,0.543165,0.300365,0.363661,"10,300,400","1,468,380,000"
"Jun 14, 2017",0.592347,0.606196,0.495745,0.528916,"14,194,900","1,646,450,000"
"Jun 13, 2017",0.638503,0.652862,0.533910,0.590255,"25,425,600","1,774,740,000"
