Date,Open,High,Low,Close,Volume,Market Cap
"Jun 30, 2017",1.81,1.83,1.65,1.69,376099,182565000
"Jun 29, 2017",1.82,1.87,1.75,1.80,293245,183449000
"Jun 28, 2017",1.89,1.90,1.72,1.83,434552,190432000
"Jun 27, 2017",1.80,1.93,1.53,1.86,509578,181888000
"Jun 26, 2017",1.96,2.04,1.53,1.73,925396,197837000
"Jun 25, 2017",2.03,2.14,1.86,1.96,375926,204472000
"Jun 24, 2017",2.07,2.42,1.97,2.03,912400,209023000
"Jun 23, 2017",1.84,2.20,1.78,2.10,548472,186056000
"Jun 22, 2017",1.89,1.98,1.72,1.84,519277,191156000
"Jun 21, 2017",2.11,2.11,1.64,1.88,1240600,212535000
"Jun 20, 2017",2.32,2.35,1.99,2.11,1359440,234125000
"Jun 19, 2017",2.24,2.47,2.06,2.36,1895990,226314000
"Jun 18, 2017",1.97,2.55,1.95,2.17,3523800,198785000
"Jun 17, 2017",1.81,1.97,1.75,1.97,904905,182776000
"Jun 16, 2017",1.54,1.91,1.41,1.83,1460240,155355000
"Jun 15, 2017",1.44,1.53,1.27,1.53,705816,145075000
"Jun 14, 2017",1.55,1.65,1.33,1.41,417526,156293000
"Jun 13, 2017",1.43,1.56,1.38,1.55,412117,143995000
"Jun 12, 2017",1.59,1.76,1.37,1.43,565986,160086000
"Jun 11, 2017",1.58,1.81,1.52,1.59,828566,159935000
"Jun 10, 2017",1.37,1.91,1.35,1.61,1478960,138358000
"Jun 09, 2017",1.24,1.41,1.13,1.37,719658,125218000
"Jun 08, 2017",1.16,1.26,1.13,1.18,695610,117575000
"Jun 07, 2017",1.15,1.27,1.14,1.16,370056,115798000
"Jun 06, 2017",1.19,1.29,1.09,1.15,696464,120569000
"Jun 05, 2017",1.04,1.24,0.992352,1.19,519550,104622000
"Jun 04, 2017",1.23,1.24,0.900570,1.03,1153300,124188000
"Jun 03, 2017",0.934859,1.45,0.867835,1.20,1975440,94369800
"Jun 02, 2017",0.555521,0.935616,0.530132,0.892194,1351200,56077400
"Jun 01, 2017",0.501217,0.571434,0.492305,0.555246,232006,50595600
"May 31, 2017",0.456968,0.511330,0.443496,0.500773,140155,46128900
"May 30, 2017",0.469705,0.504660,0.446728,0.455183,138488,47414600
"May 29, 2017",0.478737,0.499472,0.430921,0.468275,172427,48326400
"May 28, 2017",0.423657,0.510240,0.414099,0.479706,125850,42766300
"May 27, 2017",0.481484,0.481484,0.384719,0.414225,291254,48603600
"May 26, 2017",0.460185,0.609750,0.431394,0.479890,239495,46453600
"May 25, 2017",0.503327,0.598164,0.442136,0.455751,365085,50808600
"May 24, 2017",0.495591,0.560970,0.478372,0.504276,372441,50027700
"May 23, 2017",0.516574,0.528795,0.453475,0.491337,475830,52145800
"May 22, 2017",0.564340,0.564902,0.461571,0.517656,314621,56967600
"May 21, 2017",0.470425,0.562488,0.403514,0.562488,486724,47487300
"May 20, 2017",0.436000,0.480821,0.435156,0.470533,238164,44012200
"May 19, 2017",0.386537,0.466948,0.385112,0.436474,429831,39019200
"May 18, 2017",0.348536,0.402696,0.338949,0.386295,274271,35183100
"May 17, 2017",0.312792,0.364563,0.287152,0.348723,234827,31574900
"May 16, 2017",0.274259,0.334322,0.272288,0.312876,297337,27685200
"May 15, 2017",0.285475,0.285912,0.257967,0.280109,82693,28817400
"May 14, 2017",0.269423,0.285586,0.264382,0.285307,45997,27197000
"May 13, 2017",0.254116,0.270112,0.237867,0.268564,49446,25651900
"May 12, 2017",0.265165,0.291215,0.241206,0.254643,79073,26767200
"May 11, 2017",0.261038,0.300892,0.227058,0.264902,144130,26349700
"May 10, 2017",0.260717,0.278201,0.241834,0.260571,113614,26316100
"May 09, 2017",0.283319,0.286586,0.237848,0.260544,153941,28596400
"May 08, 2017",0.300209,0.315712,0.260624,0.283230,225335,30299900
"May 07, 2017",0.295219,0.304831,0.286499,0.300170,140867,29795000
"May 06, 2017",0.298602,0.298941,0.280917,0.291869,122483,30135200
"May 05, 2017",0.305109,0.337557,0.288491,0.298341,233769,30790600
"May 04, 2017",0.252586,0.334389,0.235905,0.304475,366583,25489000
"May 03, 2017",0.234495,0.253201,0.234083,0.253099,189202,23662400
"May 02, 2017",0.216552,0.244472,0.210997,0.234268,196936,21850900
"May 01, 2017",0.194031,0.241241,0.190720,0.216639,283520,19577700
"Apr 30, 2017",0.191686,0.198334,0.175862,0.191746,100295,19340200
"Apr 29, 2017",0.163027,0.191674,0.163027,0.191674,165148,16448000
"Apr 28, 2017",0.163423,0.168988,0.154649,0.162859,76688,16487300
"Apr 27, 2017",0.157820,0.170686,0.153510,0.163421,121186,15921300
"Apr 26, 2017",0.161917,0.166200,0.154330,0.157722,71085,16334000
"Apr 25, 2017",0.165097,0.170630,0.159010,0.159364,68233,16654100
"Apr 24, 2017",0.164504,0.170653,0.156879,0.164733,53727,16593500
"Apr 23, 2017",0.166640,0.176402,0.161686,0.164174,46064,16808300
"Apr 22, 2017",0.166103,0.177048,0.162865,0.166617,60892,16753400
"Apr 21, 2017",0.169125,0.172502,0.165075,0.166083,31434,17057500
"Apr 20, 2017",0.180514,0.180605,0.167012,0.169079,64815,18205400
"Apr 19, 2017",0.181808,0.185045,0.173883,0.180418,121540,18335100
"Apr 18, 2017",0.175175,0.185996,0.168342,0.181739,109674,17665500
"Apr 17, 2017",0.162440,0.184378,0.159169,0.175150,184867,16380600
"Apr 16, 2017",0.152126,0.172174,0.138951,0.160822,122866,15339900
