Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.581586,0.611615,0.563954,0.610580,"246,301","49,791,900"
"Jun 26, 2017",0.503276,0.581586,0.503276,0.581586,"155,115","43,070,900"
"Jun 25, 2017",0.559738,0.560595,0.497982,0.507613,"67,602","47,885,000"
"Jun 24, 2017",0.580375,0.587564,0.554985,0.557415,"95,095","49,633,200"
"Jun 23, 2017",0.567089,0.588901,0.555282,0.582289,"119,334","48,480,200"
"Jun 22, 2017",0.525676,0.562458,0.518593,0.556248,"214,908","44,923,400"
"Jun 21, 2017",0.547737,0.572350,0.528447,0.534759,"175,994","46,781,500"
"Jun 20, 2017",0.574235,0.574235,0.538555,0.555461,"162,801","49,027,900"
"Jun 19, 2017",0.581057,0.590169,0.559571,0.570418,"147,155","49,485,300"
"Jun 18, 2017",0.594655,0.603836,0.569503,0.580496,"131,698","50,639,300"
"Jun 17, 2017",0.596514,0.608497,0.587575,0.593449,"157,584","50,790,800"
"Jun 16, 2017",0.615188,0.620247,0.589471,0.597662,"158,411","52,376,600"
"Jun 15, 2017",0.590406,0.625529,0.583358,0.619607,"209,588","50,252,100"
"Jun 14, 2017",0.541477,0.644630,0.538095,0.590596,"309,085","46,087,500"
"Jun 13, 2017",0.534022,0.565271,0.534022,0.542223,"231,258",-
"Jun 12, 2017",0.573984,0.586079,0.529609,0.537494,"203,968",-
"Jun 11, 2017",0.594275,0.613258,0.553292,0.569410,"258,477",-
"Jun 10, 2017",0.629640,0.637285,0.582657,0.598678,"211,581",-
"Jun 09, 2017",0.618264,0.662462,0.611254,0.625499,"214,598",-
"Jun 08, 2017",0.592812,0.634346,0.592430,0.617929,"277,037",-
"Jun 07, 2017",0.611251,0.661538,0.588558,0.588558,"301,013",-
"Jun 06, 2017",0.605549,0.636786,0.583745,0.610226,"228,626",-
"Jun 05, 2017",0.585091,0.596589,0.566286,0.596589,"345,346",-
"Jun 04, 2017",0.614309,0.636787,0.555280,0.585968,"302,012",-
"Jun 03, 2017",0.499436,0.628332,0.498079,0.615012,"318,432",-
"Jun 02, 2017",0.460254,0.505596,0.460254,0.505596,"284,255",-
"Jun 01, 2017",0.437770,0.463980,0.437055,0.459281,"206,109",-
"May 31, 2017",0.443876,0.452611,0.433064,0.438980,"139,913",-
"May 30, 2017",0.453888,0.462074,0.439999,0.443562,"196,522",-
