Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",2.80,2.80,2.15,2.74,"8,630,910","304,949,000"
"Jun 26, 2017",3.02,3.10,2.33,2.80,"9,997,920","328,042,000"
"Jun 25, 2017",3.26,3.32,2.80,3.04,"8,092,880","354,212,000"
"Jun 24, 2017",3.35,3.50,3.20,3.26,"6,670,220","364,369,000"
"Jun 23, 2017",3.16,3.38,3.07,3.36,"6,877,380","343,786,000"
"Jun 22, 2017",3.12,3.25,3.04,3.14,"6,135,490","338,699,000"
"Jun 21, 2017",3.26,3.35,3.04,3.12,"7,510,400","353,766,000"
"Jun 20, 2017",3.14,3.56,3.11,3.28,"14,951,100","341,021,000"
"Jun 19, 2017",3.14,3.32,3.08,3.16,"10,300,700","340,570,000"
"Jun 18, 2017",3.08,3.28,2.97,3.13,"9,517,270","333,469,000"
"Jun 17, 2017",3.09,3.21,2.97,3.08,"9,943,670","335,214,000"
"Jun 16, 2017",3.06,3.25,3.00,3.11,"6,221,340","331,747,000"
"Jun 15, 2017",3.35,3.35,2.44,3.09,"11,800,200","362,704,000"
"Jun 14, 2017",3.66,3.75,3.00,3.35,"10,046,400","396,643,000"
"Jun 13, 2017",3.28,3.84,3.16,3.66,"14,573,900","355,386,000"
"Jun 12, 2017",3.91,3.92,2.96,3.29,"16,403,700","422,959,000"
"Jun 11, 2017",3.75,4.06,3.04,3.91,"24,804,300","405,173,000"
"Jun 10, 2017",3.82,4.50,3.53,3.58,"49,281,100","413,384,000"
"Jun 09, 2017",3.18,3.87,2.93,3.81,"34,396,000","343,130,000"
"Jun 08, 2017",2.29,3.19,2.21,3.12,"26,882,100","247,738,000"
"Jun 07, 2017",2.07,3.26,2.07,2.26,"61,086,200","223,650,000"
"Jun 06, 2017",1.78,2.23,1.67,2.09,"20,178,400","191,823,000"
"Jun 05, 2017",1.41,1.84,1.41,1.82,"8,074,300","151,999,000"
"Jun 04, 2017",1.34,1.43,1.30,1.41,"2,664,770","144,816,000"
"Jun 03, 2017",1.37,1.42,1.29,1.35,"3,071,640","147,958,000"
"Jun 02, 2017",1.36,1.43,1.25,1.39,"2,964,900","146,641,000"
"Jun 01, 2017",1.20,1.36,1.18,1.36,"2,393,340","129,299,000"
"May 31, 2017",1.10,1.21,1.09,1.20,"2,314,240","118,519,000"
"May 30, 2017",1.05,1.32,1.02,1.10,"4,453,960","112,837,000"
