Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",41.13,41.39,36.20,40.54,"565,265,000","2,127,600,000"
"Jun 26, 2017",44.04,44.35,37.55,41.13,"538,072,000","2,277,350,000"
"Jun 25, 2017",44.49,46.22,43.05,43.92,"354,372,000","2,300,180,000"
"Jun 24, 2017",47.25,47.44,44.01,44.49,"321,214,000","2,442,000,000"
"Jun 23, 2017",47.75,48.42,47.27,47.34,"284,270,000","2,467,280,000"
"Jun 22, 2017",47.72,48.85,45.87,47.71,"445,323,000","2,465,100,000"
"Jun 21, 2017",47.30,49.73,44.22,47.79,"640,054,000","2,442,610,000"
"Jun 20, 2017",50.41,51.47,45.75,47.22,"612,935,000","2,602,590,000"
"Jun 19, 2017",46.16,53.55,44.99,50.32,"1,342,360,000","2,382,490,000"
"Jun 18, 2017",47.44,47.44,42.43,46.04,"1,016,220,000","2,447,790,000"
"Jun 17, 2017",36.18,49.30,36.18,47.65,"1,730,780,000","1,866,370,000"
"Jun 16, 2017",30.28,35.70,29.55,35.70,"515,973,000","1,561,380,000"
"Jun 15, 2017",30.22,30.37,27.31,30.22,"314,502,000","1,557,670,000"
"Jun 14, 2017",30.74,32.06,29.32,30.22,"278,323,000","1,584,220,000"
"Jun 13, 2017",29.49,30.64,29.33,30.64,"150,455,000","1,519,410,000"
"Jun 12, 2017",33.23,33.23,27.80,29.50,"372,663,000","1,711,460,000"
"Jun 11, 2017",30.50,33.56,30.16,33.22,"406,218,000","1,570,430,000"
"Jun 10, 2017",29.68,30.59,29.66,30.44,"202,679,000","1,528,070,000"
"Jun 09, 2017",30.19,30.59,29.62,29.68,"176,841,000","1,553,630,000"
"Jun 08, 2017",28.38,30.34,27.88,30.21,"229,005,000","1,460,360,000"
"Jun 07, 2017",30.57,30.68,28.37,28.39,"264,597,000","1,572,550,000"
"Jun 06, 2017",30.84,31.33,29.26,30.55,"321,099,000","1,586,150,000"
"Jun 05, 2017",28.09,30.99,28.09,30.84,"366,901,000","1,444,260,000"
"Jun 04, 2017",27.65,27.94,26.95,27.94,"204,435,000","1,421,270,000"
"Jun 03, 2017",29.04,29.17,26.63,27.66,"290,556,000","1,492,070,000"
"Jun 02, 2017",28.90,29.89,27.74,28.94,"332,251,000","1,484,470,000"
"Jun 01, 2017",25.34,29.62,25.30,28.80,"420,473,000","1,301,540,000"
"May 31, 2017",24.29,25.57,23.18,25.30,"298,675,000","1,247,240,000"
"May 30, 2017",25.32,26.13,24.03,24.14,"216,944,000","1,299,460,000"
