Date,Open,High,Low,Close,Volume,Market Cap
"Jun 30, 2017",0.067034,0.068805,0.064095,0.065827,624742,14095300
"Jun 29, 2017",0.072143,0.074952,0.064039,0.066895,1100590,15160700
"Jun 28, 2017",0.067367,0.073736,0.060246,0.072057,1774160,14156300
"Jun 27, 2017",0.072057,0.072948,0.054105,0.067002,2294430,15136800
"Jun 26, 2017",0.070790,0.091740,0.062655,0.072673,4346160,14863300
"Jun 25, 2017",0.071758,0.078393,0.066282,0.069520,2402220,15062900
"Jun 24, 2017",0.090552,0.093441,0.071716,0.071716,4465890,19006300
"Jun 23, 2017",0.118498,0.119862,0.081478,0.090641,9007730,24859800
"Jun 22, 2017",0.059887,0.125615,0.059851,0.119933,16921500,12561800
"Jun 21, 2017",0.031820,0.066164,0.031820,0.059814,6849340,6672360
"Jun 20, 2017",0.038020,0.039454,0.032125,0.032976,918114,7968280
"Jun 19, 2017",0.028195,0.038572,0.027752,0.036810,1511580,5908400
"Jun 18, 2017",0.032215,0.032215,0.027737,0.028424,379787,6749810
"Jun 17, 2017",0.028050,0.032475,0.028050,0.032021,579462,5873310
"Jun 16, 2017",0.030135,0.031097,0.027252,0.028085,515394,6309320
"Jun 15, 2017",0.029048,0.031770,0.025426,0.030174,986947,6080560
"Jun 14, 2017",0.032258,0.039937,0.027939,0.029618,2286820,6748290
"Jun 13, 2017",0.023201,0.034640,0.022876,0.032245,2074550,4853300
"Jun 12, 2017",0.022467,0.026778,0.021971,0.023190,585824,4698710
"Jun 11, 2017",0.022841,0.023258,0.021769,0.022423,237560,4773880
"Jun 10, 2017",0.024902,0.025188,0.022813,0.023035,274764,5204240
"Jun 09, 2017",0.023837,0.025709,0.022761,0.025178,283758,4980780
"Jun 08, 2017",0.022277,0.024451,0.020647,0.023985,590388,4651650
"Jun 07, 2017",0.027876,0.028244,0.021871,0.022400,779419,5820390
"Jun 06, 2017",0.023097,0.028568,0.021463,0.028432,1256780,4821820
"Jun 05, 2017",0.019727,0.024966,0.019482,0.023455,510940,4115340
"Jun 04, 2017",0.019379,0.019922,0.018798,0.019780,153475,4042470
"Jun 03, 2017",0.020923,0.021417,0.018407,0.019369,246181,4363860
"Jun 02, 2017",0.017762,0.021549,0.017762,0.020565,416498,3702260
"Jun 01, 2017",0.017199,0.018264,0.017039,0.017759,101967,3584480
"May 31, 2017",0.016541,0.017612,0.015975,0.016936,94167,3446590
"May 30, 2017",0.017036,0.018162,0.016507,0.016522,93786,3547970
"May 29, 2017",0.016477,0.017622,0.016080,0.017021,65368,3430860
"May 28, 2017",0.018078,0.019618,0.016144,0.016502,210209,3763350
"May 27, 2017",0.016929,0.018177,0.014432,0.017919,311315,3522740
"May 26, 2017",0.017937,0.021605,0.016139,0.016143,359112,3731280
"May 25, 2017",0.030746,0.031133,0.016733,0.017705,863368,6394800
"May 24, 2017",0.027154,0.030881,0.024093,0.030881,1523630,5645430
"May 23, 2017",0.020690,0.027539,0.019914,0.027349,738261,4300050
"May 22, 2017",0.018894,0.022150,0.018212,0.020575,492470,3926130
"May 21, 2017",0.017708,0.019453,0.016964,0.019054,310787,3678220
"May 20, 2017",0.018382,0.018610,0.017096,0.017709,81374,3816950
"May 19, 2017",0.016948,0.018729,0.016478,0.018301,105272,3518810
"May 18, 2017",0.015888,0.017467,0.015635,0.016940,158444,3297740
"May 17, 2017",0.015641,0.016339,0.014681,0.016079,95809,3244690
"May 16, 2017",0.015545,0.016333,0.013940,0.015614,117435,3224660
"May 15, 2017",0.017821,0.018060,0.014854,0.015479,214267,3695560
"May 14, 2017",0.017972,0.019102,0.017661,0.017827,54885,3724720
"May 13, 2017",0.019572,0.020860,0.017737,0.017967,144788,4055940
"May 12, 2017",0.021827,0.021872,0.018921,0.019612,3256,4522260
"May 11, 2017",0.021668,0.023683,0.021066,0.021805,4974,4486620
"May 10, 2017",0.024639,0.024709,0.021267,0.021630,7607,5101290
"May 09, 2017",0.022184,0.028862,0.021286,0.024622,10046,4592090
"May 08, 2017",0.017311,0.045894,0.015465,0.022177,37771,3581090
"May 07, 2017",0.016788,0.017613,0.015159,0.017309,8553,3472590
"May 06, 2017",0.017273,0.018160,0.014274,0.016781,4612,3571910
"May 05, 2017",0.016562,0.017475,0.012416,0.017258,7701,3422900
"May 04, 2017",0.014897,0.016793,0.014658,0.016528,7352,3078390
"May 03, 2017",0.018260,0.020166,0.014077,0.014891,22290,3772340
"May 02, 2017",0.017700,0.029986,0.013576,0.018262,126801,3654440
"May 01, 2017",0.016668,0.018560,0.014290,0.017707,7703,3441040
"Apr 30, 2017",0.017247,0.018546,0.016354,0.016663,3575,3559750
"Apr 29, 2017",0.016716,0.017580,0.015047,0.017246,3688,3448070
"Apr 28, 2017",0.014777,0.016841,0.013316,0.016699,3367,3047770
"Apr 27, 2017",0.016412,0.016526,0.013485,0.014777,4417,3384210
"Apr 26, 2017",0.013478,0.016423,0.011470,0.016399,4311,2777300
"Apr 25, 2017",0.014277,0.022101,0.012868,0.013473,14124,2941820
"Apr 24, 2017",0.015365,0.015409,0.012498,0.014273,3056,3165340
"Apr 23, 2017",0.012667,0.016146,0.012356,0.015335,5026,2607740
"Apr 22, 2017",0.013238,0.013336,0.012431,0.012662,2577,2725100
"Apr 21, 2017",0.013487,0.015787,0.012697,0.013197,3194,2776100
"Apr 20, 2017",0.012365,0.015595,0.011701,0.013484,5531,2543190
"Apr 19, 2017",0.010860,0.013705,0.010755,0.012356,5168,2233210
"Apr 18, 2017",0.013518,0.013530,0.010053,0.010836,7943,2779510
"Apr 17, 2017",0.015027,0.024670,0.011567,0.013331,26126,3087970
"Apr 16, 2017",0.012468,0.015830,0.012439,0.015023,8997,2561230
