Date,Open,High,Low,Close,Volume,Market Cap
"Jun 30, 2017",0.033246,0.035391,0.032467,0.034190,1100010,23191400
"Jun 29, 2017",0.033971,0.038970,0.031330,0.033463,3920520,23697000
"Jun 28, 2017",0.027006,0.034406,0.025319,0.034098,2377960,18838200
"Jun 27, 2017",0.029670,0.031580,0.022111,0.027075,1983820,20695900
"Jun 26, 2017",0.032197,0.038348,0.025820,0.031361,3057470,23278300
"Jun 25, 2017",0.032915,0.037725,0.030723,0.032141,2681960,23798500
"Jun 24, 2017",0.050309,0.053343,0.033018,0.033018,6931950,36375100
"Jun 23, 2017",0.026332,0.053372,0.026332,0.051336,17414500,19038700
"Jun 22, 2017",0.023420,0.027428,0.021975,0.026629,2143570,16934800
"Jun 21, 2017",0.019188,0.024730,0.018736,0.023286,1951410,13875600
"Jun 20, 2017",0.023451,0.025655,0.019057,0.019190,1717960,16958000
"Jun 19, 2017",0.017339,0.023017,0.015872,0.021993,1421970,12539200
"Jun 18, 2017",0.017612,0.017622,0.017017,0.017328,281320,12735900
"Jun 17, 2017",0.017277,0.018495,0.017177,0.017612,695155,12498000
"Jun 16, 2017",0.016975,0.017552,0.016576,0.017189,443196,12281900
"Jun 15, 2017",0.017607,0.017950,0.015456,0.016976,387266,12744000
"Jun 14, 2017",0.017837,0.018952,0.017536,0.017602,730532,12913300
"Jun 13, 2017",0.017629,0.018367,0.017269,0.017879,445241,12762500
"Jun 12, 2017",0.017144,0.019089,0.016825,0.017628,963620,12411600
"Jun 11, 2017",0.017020,0.017209,0.016361,0.016990,451260,12322200
"Jun 10, 2017",0.018127,0.018318,0.016990,0.017063,592290,13123900
"Jun 09, 2017",0.018563,0.019114,0.017984,0.018130,534844,13439300
"Jun 08, 2017",0.019131,0.019131,0.017362,0.018328,1034600,13851100
"Jun 07, 2017",0.021649,0.021810,0.019146,0.019577,920639,15673700
"Jun 06, 2017",0.021906,0.023221,0.021312,0.021640,782104,15860900
"Jun 05, 2017",0.025235,0.025365,0.020582,0.021855,2614360,18271100
"Jun 04, 2017",0.016451,0.025832,0.016124,0.025254,5285960,11911300
"Jun 03, 2017",0.018355,0.018543,0.015194,0.016495,855600,13290400
"Jun 02, 2017",0.014567,0.018507,0.013038,0.018507,787394,10547800
"Jun 01, 2017",0.009059,0.014369,0.008900,0.014153,578558,6560030
