Date,Open,High,Low,Close,Volume,Market Cap
"Jun 30, 2017",0.377090,0.379236,0.365618,0.370622,478924,61180400
"Jun 29, 2017",0.380930,0.382446,0.356320,0.376720,726309,61829300
"Jun 28, 2017",0.341842,0.383313,0.338542,0.381240,1353970,55472700
"Jun 27, 2017",0.345341,0.346711,0.281405,0.338763,1179480,56039900
"Jun 26, 2017",0.368866,0.376746,0.312318,0.339279,1489130,60300000
"Jun 25, 2017",0.398903,0.400229,0.356279,0.368944,994958,65210400
"Jun 24, 2017",0.396489,0.407430,0.392696,0.396072,631857,64815700
"Jun 23, 2017",0.380263,0.398154,0.380244,0.395289,622202,62087100
"Jun 22, 2017",0.392986,0.397604,0.380054,0.380054,853466,64158400
"Jun 21, 2017",0.415297,0.418019,0.386169,0.392247,1334180,67699500
"Jun 20, 2017",0.405296,0.420831,0.401562,0.415024,1094620,66029300
"Jun 19, 2017",0.396301,0.414717,0.394748,0.405347,899770,64560900
"Jun 18, 2017",0.404423,0.407785,0.391270,0.396499,476122,65078100
"Jun 17, 2017",0.396877,0.405067,0.390709,0.404594,546017,63863800
"Jun 16, 2017",0.381477,0.397083,0.372806,0.397029,717008,61385800
"Jun 15, 2017",0.389329,0.400254,0.349492,0.380913,1640960,62591700
"Jun 14, 2017",0.383054,0.407795,0.380641,0.389896,1425370,61521600
"Jun 13, 2017",0.370519,0.389834,0.358603,0.383133,1343500,54468600
"Jun 12, 2017",0.391638,0.399091,0.321421,0.377156,1894870,57592700
"Jun 11, 2017",0.390352,0.403811,0.381299,0.391778,807497,57400500
"Jun 10, 2017",0.373426,0.394891,0.373426,0.390578,801438,55056900
"Jun 09, 2017",0.352552,0.382727,0.350948,0.373236,1046980,51436700
"Jun 08, 2017",0.339993,0.353195,0.338127,0.352874,730355,48824600
"Jun 07, 2017",0.329452,0.348153,0.325155,0.339141,688792,47205400
"Jun 06, 2017",0.305007,0.329605,0.305007,0.329339,720362,41898200
"Jun 05, 2017",0.292102,0.306355,0.291325,0.304566,391379,40148500
"Jun 04, 2017",0.287971,0.292770,0.285784,0.292091,221764,39569800
"Jun 03, 2017",0.277634,0.288324,0.273315,0.288324,296293,38187900
"Jun 02, 2017",0.259570,0.277651,0.258262,0.277651,515506,35736500
"Jun 01, 2017",0.241023,0.259442,0.241023,0.259442,633637,33196600
"May 31, 2017",0.242623,0.244846,0.240091,0.240965,245421,33418100
"May 30, 2017",0.244002,0.246685,0.239716,0.242417,325595,33630900
"May 29, 2017",0.242378,0.251576,0.238429,0.244055,537795,33423500
"May 28, 2017",0.240896,0.255012,0.239898,0.242730,25920,33217900
"May 27, 2017",0.241991,0.248149,0.234236,0.240304,444383,35785800
"May 26, 2017",0.221819,0.253588,0.221819,0.241696,473301,32802700
"May 25, 2017",0.222898,0.238990,0.219346,0.222738,403503,32962400
"May 24, 2017",0.203989,0.224190,0.203176,0.222798,312994,30100100
"May 23, 2017",0.198574,0.204579,0.198574,0.203990,176794,29313800
"May 22, 2017",0.199781,0.205742,0.196737,0.198746,263828,29464000
"May 21, 2017",0.198678,0.202803,0.196563,0.199300,67438,29301300
"May 20, 2017",0.192746,0.198985,0.192712,0.198727,89779,28426400
"May 19, 2017",0.193767,0.195243,0.189227,0.192714,175250,28578800
"May 18, 2017",0.177745,0.195156,0.175080,0.193928,205245,26178400
"May 17, 2017",0.171297,0.177868,0.169954,0.177792,50653,25230700
"May 16, 2017",0.170193,0.171300,0.169112,0.171261,87607,25068100
"May 15, 2017",0.170493,0.170656,0.165807,0.170167,104747,25112300
"May 14, 2017",0.168090,0.170992,0.167747,0.170479,51456,24758400
"May 13, 2017",0.167570,0.168555,0.165203,0.167978,57259,27402900
"May 12, 2017",0.167242,0.170021,0.165928,0.167540,75436,22992700
"May 11, 2017",0.157657,0.170165,0.156198,0.167218,171699,21404600
"May 10, 2017",0.152060,0.157939,0.152040,0.157513,75322,20644800
"May 09, 2017",0.154294,0.155204,0.152043,0.152043,80034,20949000
"May 08, 2017",0.147472,0.154318,0.147472,0.154318,66465,20022700
"May 07, 2017",0.146315,0.147471,0.146315,0.147471,48189,19859500
"May 06, 2017",0.146376,0.147304,0.145921,0.146315,74993,19867800
"May 05, 2017",0.143409,0.148549,0.143409,0.146344,74157,19279200
"May 04, 2017",0.138015,0.144237,0.137383,0.143328,62739,18552700
"May 03, 2017",0.137176,0.138478,0.134384,0.138134,88632,18385100
"May 02, 2017",0.121266,0.158570,0.119688,0.137083,261596,16258800
"May 01, 2017",0.134967,0.134970,0.120697,0.121280,196099,18095800
"Apr 30, 2017",0.134712,0.136252,0.134357,0.134967,40604,18055200
"Apr 29, 2017",0.134600,0.134761,0.134551,0.134712,58246,18041000
"Apr 28, 2017",0.142466,0.142566,0.134632,0.134632,108761,19093100
"Apr 27, 2017",0.145190,0.148945,0.136146,0.142436,210494,19497200
"Apr 26, 2017",0.146421,0.167941,0.114961,0.145094,244875,19653700
"Apr 25, 2017",0.154716,0.167696,0.120520,0.146479,282666,20781800
"Apr 24, 2017",0.147386,0.167495,0.143531,0.154551,160348,19519400
"Apr 23, 2017",0.129729,0.147353,0.126944,0.147353,239166,16996800
"Apr 22, 2017",0.113530,0.129729,0.113400,0.129729,114944,14750400
"Apr 21, 2017",0.103903,0.119645,0.103861,0.113404,159920,13250200
"Apr 20, 2017",0.097909,0.105991,0.084316,0.103954,137412,12490000
"Apr 19, 2017",0.081726,0.124222,0.081112,0.097833,202267,9875940
"Apr 18, 2017",0.070580,0.082022,0.070167,0.081698,67853,6267170
"Apr 17, 2017",0.065305,0.070621,0.065287,0.070598,32850,5735020
"Apr 16, 2017",0.064307,0.065308,0.064193,0.065308,17815,6186060
"Apr 15, 2017",0.063504,0.064305,0.063025,0.064305,34742,6109280
"Apr 14, 2017",0.058064,0.063686,0.058059,0.063506,8242,5556700
"Apr 13, 2017",0.055365,0.058215,0.055365,0.058070,57297,5234560
"Apr 12, 2017",0.052706,0.055571,0.052704,0.055309,70003,1581160
"Apr 11, 2017",0.051914,0.052708,0.051910,0.052708,20622,1557430
"Apr 10, 2017",0.051650,0.051965,0.051650,0.051920,4926,1549490
"Apr 09, 2017",0.051313,0.051638,0.051313,0.051638,6839,1539380
"Apr 08, 2017",0.051327,0.051528,0.051166,0.051313,9592,1539820
"Apr 07, 2017",0.051083,0.051634,0.050990,0.051360,15184,1532480
"Apr 06, 2017",0.049954,0.051099,0.049954,0.051099,19740,1498630
"Apr 05, 2017",0.050500,0.050516,0.049700,0.049905,9653,1514990
"Apr 04, 2017",0.050300,0.050483,0.050234,0.050473,6636,1509000
"Apr 03, 2017",0.050019,0.050287,0.049753,0.050287,7368,1500580
"Apr 02, 2017",0.050092,0.050092,0.049962,0.049962,1577,1502770
"Apr 01, 2017",0.050137,0.050153,0.049826,0.050093,4344,1504100
"Mar 31, 2017",0.049886,0.050272,0.049863,0.050160,6007,1496570
"Mar 30, 2017",0.050362,0.050397,0.049911,0.049911,3725,1510860
"Mar 29, 2017",0.050359,0.050602,0.050230,0.050357,5276,1510760
"Mar 28, 2017",0.050501,0.050931,0.050433,0.050433,4298,1515020
"Mar 27, 2017",0.050600,0.051038,0.050505,0.050505,6022,1518000
"Mar 26, 2017",0.050421,0.050543,0.050344,0.050543,3883,1512620
"Mar 25, 2017",0.050707,0.050707,0.050416,0.050419,8169,1521210
"Mar 24, 2017",0.050430,0.050879,0.050327,0.050715,22339,1512910
"Mar 23, 2017",0.049105,0.050470,0.049102,0.050443,25429,1473160
"Mar 22, 2017",0.048811,0.049839,0.048707,0.049106,19997,1464330
"Mar 21, 2017",0.048414,0.048939,0.048403,0.048814,21197,1452410
"Mar 20, 2017",0.048696,0.048755,0.048405,0.048415,6781,1460890
"Mar 19, 2017",0.048804,0.048804,0.048688,0.048697,4511,1464110
"Mar 18, 2017",0.048686,0.048804,0.048628,0.048804,8981,1460590
"Mar 17, 2017",0.048927,0.048975,0.048350,0.048697,14793,1467800
"Mar 16, 2017",0.048070,0.048936,0.048070,0.048936,14978,1442110
"Mar 15, 2017",0.047853,0.048152,0.047805,0.048069,13982,1435600
"Mar 14, 2017",0.047964,0.047964,0.047672,0.047863,1366,1438910
"Mar 13, 2017",0.047560,0.048069,0.047560,0.047989,6466,1426800
"Mar 12, 2017",0.047621,0.047622,0.047202,0.047559,1715,1428630
"Mar 11, 2017",0.047753,0.047753,0.047466,0.047620,9147,1432590
"Mar 10, 2017",0.046434,0.047753,0.046434,0.047753,13331,1393030
"Mar 09, 2017",0.045949,0.046957,0.045942,0.046430,22640,1378480
"Mar 08, 2017",0.047135,0.047135,0.045954,0.045954,27313,1414050
"Mar 07, 2017",0.047248,0.047248,0.047020,0.047156,5723,1417440
"Mar 06, 2017",0.047200,0.047289,0.047060,0.047250,7748,1416010
"Mar 05, 2017",0.047051,0.047373,0.047024,0.047202,7496,1411540
"Mar 04, 2017",0.047103,0.047211,0.047049,0.047051,5146,1413100
"Mar 03, 2017",0.047364,0.047364,0.046963,0.047090,6311,1420930
"Mar 02, 2017",0.047520,0.047520,0.047366,0.047366,2539,1425610
"Mar 01, 2017",0.047451,0.047530,0.046815,0.047520,6771,1423520
"Feb 28, 2017",0.047316,0.047452,0.047193,0.047452,4126,1419480
"Feb 27, 2017",0.047420,0.047494,0.046998,0.047355,13623,1422600
"Feb 26, 2017",0.047527,0.047531,0.046747,0.047420,8414,1425820
"Feb 25, 2017",0.047516,0.047525,0.047416,0.047525,2050,1425480
"Feb 24, 2017",0.047426,0.047599,0.047416,0.047535,3311,1422790
"Feb 23, 2017",0.047628,0.047628,0.047428,0.047428,7933,1428840
"Feb 22, 2017",0.047512,0.047647,0.047414,0.047628,3604,1425350
"Feb 21, 2017",0.048156,0.048156,0.047526,0.047526,3164,1444670
"Feb 20, 2017",0.047844,0.048160,0.047844,0.048160,8340,1435330
"Feb 19, 2017",0.047787,0.048521,0.047787,0.047843,12092,1433600
"Feb 18, 2017",0.046515,0.047787,0.046308,0.047787,12188,1395460
"Feb 17, 2017",0.048644,0.049072,0.046522,0.046522,33887,1459320
"Feb 16, 2017",0.048804,0.048804,0.048207,0.048596,10112,1464130
"Feb 15, 2017",0.048917,0.048922,0.048371,0.048804,3965,1467500
"Feb 14, 2017",0.048984,0.048986,0.048460,0.048882,4805,1469530
"Feb 13, 2017",0.049128,0.049128,0.048815,0.048993,8947,1473840
"Feb 12, 2017",0.049135,0.049214,0.049088,0.049132,13645,1474040
"Feb 11, 2017",0.049309,0.049309,0.048943,0.049138,4789,1479260
"Feb 10, 2017",0.051363,0.051400,0.048024,0.049307,90189,1540890
"Feb 09, 2017",0.051688,0.052207,0.051258,0.051371,30885,1550640
"Feb 08, 2017",0.051575,0.051761,0.051066,0.051702,12924,1547260
"Feb 07, 2017",0.051530,0.051711,0.050974,0.051581,22814,1545920
"Feb 06, 2017",0.050849,0.051472,0.050849,0.051434,17913,1525480
"Feb 05, 2017",0.050777,0.051135,0.050750,0.050812,10190,1523320
"Feb 04, 2017",0.051122,0.051212,0.050760,0.050775,8908,1533670
"Feb 03, 2017",0.051205,0.051205,0.050656,0.051143,19475,1536150
"Feb 02, 2017",0.050835,0.051576,0.050450,0.051284,32547,1525050
"Feb 01, 2017",0.051074,0.051075,0.050718,0.050834,3403,1532230
"Jan 31, 2017",0.050908,0.051373,0.050611,0.051072,7498,1527250
"Jan 30, 2017",0.050575,0.050905,0.050557,0.050905,3431,1517250
"Jan 29, 2017",0.050849,0.050870,0.050506,0.050543,5203,1525470
"Jan 28, 2017",0.050068,0.050849,0.050060,0.050849,28392,1502050
"Jan 27, 2017",0.049722,0.050070,0.049274,0.050068,6907,1491660
"Jan 26, 2017",0.045894,0.050313,0.045894,0.049694,40748,1376830
"Jan 25, 2017",0.050306,0.050306,0.045004,0.045855,77136,1509170
"Jan 24, 2017",0.050020,0.050459,0.050020,0.050323,1727,1500600
"Jan 23, 2017",0.050331,0.050432,0.050020,0.050020,5078,1509930
"Jan 22, 2017",0.050313,0.050331,0.050313,0.050331,1059,1509380
"Jan 21, 2017",0.050022,0.050312,0.050022,0.050312,7419,1500670
"Jan 20, 2017",0.049796,0.049993,0.049796,0.049984,1539,1493890
"Jan 19, 2017",0.050036,0.050036,0.049765,0.049765,2811,1501080
"Jan 18, 2017",0.050022,0.050147,0.049786,0.050043,2949,1500670
"Jan 17, 2017",0.049673,0.050020,0.049602,0.050020,3279,1490190
"Jan 16, 2017",0.049799,0.049799,0.049680,0.049680,843,1493970
"Jan 15, 2017",0.049902,0.049908,0.049886,0.049891,4576,1497060
"Jan 14, 2017",0.049937,0.049941,0.049503,0.049895,4501,1498110
"Jan 13, 2017",0.040190,0.049935,0.040188,0.049935,3562,1205690
"Jan 12, 2017",0.048587,0.049577,0.040161,0.040194,7404,1457610
"Jan 11, 2017",0.048802,0.048869,0.048392,0.048576,10863,1464060
"Jan 10, 2017",0.049201,0.049316,0.048797,0.048802,1829,1476030
"Jan 09, 2017",0.048393,0.049163,0.048155,0.049163,5131,1451780
"Jan 08, 2017",0.048517,0.048517,0.048391,0.048391,2345,1455520
"Jan 07, 2017",0.051194,0.051194,0.044384,0.048517,2361,1535820
"Jan 06, 2017",0.049896,0.051196,0.049131,0.051196,30549,1496860
"Jan 05, 2017",0.049333,0.049890,0.048300,0.049890,25877,1480000
"Jan 04, 2017",0.048875,0.049486,0.048676,0.049305,30199,1466240
"Jan 03, 2017",0.048905,0.049404,0.048878,0.048878,7402,1467140
"Jan 02, 2017",0.050619,0.050633,0.048445,0.048926,19110,1518560
"Jan 01, 2017",0.049859,0.050585,0.049825,0.050584,16089,1495760
"Dec 31, 2016",0.049924,0.049924,0.049859,0.049859,9627,1497730
"Dec 30, 2016",0.049379,0.050074,0.049332,0.049966,11537,1481370
"Dec 29, 2016",0.048452,0.049365,0.048452,0.049365,7970,1453540
"Dec 28, 2016",0.048893,0.050729,0.048399,0.048416,12592,1466800
"Dec 27, 2016",0.048360,0.048886,0.048359,0.048886,9093,1450810
"Dec 26, 2016",0.047331,0.048361,0.047331,0.048361,3578,1419930
"Dec 25, 2016",0.048131,0.048131,0.047205,0.047326,1203,1443920
"Dec 24, 2016",0.048302,0.048504,0.047208,0.048131,742,1449070
"Dec 23, 2016",0.049197,0.049336,0.048298,0.048306,1959,1475900
"Dec 22, 2016",0.049992,0.050165,0.048959,0.049246,1502,1499750
"Dec 21, 2016",0.048160,0.050847,0.048135,0.050001,12697,1444800
"Dec 20, 2016",0.048450,0.048450,0.047790,0.048160,2451,1453500
"Dec 19, 2016",0.048062,0.048453,0.048057,0.048450,2453,1441870
"Dec 18, 2016",0.052369,0.052370,0.047902,0.048065,60,1571060
"Dec 17, 2016",0.047988,0.052482,0.047986,0.052369,142,1439630
"Dec 16, 2016",0.048197,0.048981,0.047226,0.048034,11528,1445910
"Dec 15, 2016",0.056806,0.056806,0.048076,0.048244,737,1704160
"Dec 14, 2016",0.048343,0.057512,0.048343,0.057497,12883,1450280
"Dec 13, 2016",0.047572,0.048454,0.047260,0.048415,633687,1427150
"Dec 12, 2016",0.047211,0.047665,0.047189,0.047500,265630,1416330
"Dec 11, 2016",0.046898,0.047224,0.046598,0.047224,124986,1406940
"Dec 10, 2016",0.046651,0.046898,0.046634,0.046898,193695,1399540
"Dec 09, 2016",0.046471,0.046671,0.046450,0.046566,44900,1394120
"Dec 08, 2016",0.046940,0.046940,0.046596,0.046737,2215,1408200
"Dec 07, 2016",0.046908,0.046940,0.046900,0.046940,24862,1407240
"Dec 06, 2016",0.046814,0.046936,0.046814,0.046913,38981,1404420
"Dec 05, 2016",0.046680,0.046690,0.046680,0.046682,6628,1400400
"Dec 04, 2016",0.046746,0.046780,0.046745,0.046780,2140,1402370
"Dec 03, 2016",0.046722,0.046746,0.046722,0.046746,7115,1401660
"Dec 02, 2016",0.045728,0.046729,0.045728,0.046729,7131,1371860
"Dec 01, 2016",0.045725,0.045727,0.045720,0.045727,50987,1371760
"Nov 30, 2016",0.046563,0.046563,0.045725,0.045725,53045,1396890
"Nov 29, 2016",0.046151,0.046480,0.046087,0.046480,557,-
"Nov 28, 2016",0.046510,0.046510,0.046156,0.046156,62,-
"Nov 27, 2016",0.046432,0.046510,0.046178,0.046510,6,-
"Nov 26, 2016",0.045271,0.046432,0.045271,0.046432,4421,-
"Nov 25, 2016",0.045639,0.045687,0.045270,0.045271,104415,-
"Nov 24, 2016",0.046683,0.046709,0.045300,0.045652,149585,-
"Nov 23, 2016",0.046733,0.046734,0.046547,0.046686,47841,-
