Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.450023,0.470916,0.398577,0.470916,"2,215,940","203,659,000"
"Jun 26, 2017",0.478233,0.497354,0.417287,0.450023,"3,889,540","216,425,000"
"Jun 25, 2017",0.512312,0.522065,0.466190,0.479441,"1,767,340","231,848,000"
"Jun 24, 2017",0.549942,0.561505,0.502932,0.513763,"2,718,670","248,878,000"
"Jun 23, 2017",0.504724,0.578695,0.500806,0.549876,"3,626,720","228,414,000"
"Jun 22, 2017",0.468891,0.508240,0.468862,0.503863,"3,440,170","212,198,000"
"Jun 21, 2017",0.507636,0.508343,0.461122,0.469362,"3,244,380","229,732,000"
"Jun 20, 2017",0.545280,0.546874,0.484963,0.505876,"5,903,810","246,768,000"
"Jun 19, 2017",0.488092,0.559823,0.478949,0.548838,"5,385,830","220,887,000"
"Jun 18, 2017",0.491784,0.494244,0.473033,0.488564,"1,740,710","222,558,000"
"Jun 17, 2017",0.476146,0.495110,0.465744,0.491698,"2,072,100","215,481,000"
"Jun 16, 2017",0.453685,0.505597,0.435721,0.476100,"3,644,170","205,316,000"
"Jun 15, 2017",0.476471,0.476471,0.388491,0.454436,"1,784,540","215,628,000"
"Jun 14, 2017",0.522394,0.542909,0.454598,0.473617,"2,469,760","236,411,000"
"Jun 13, 2017",0.477674,0.545999,0.477584,0.523014,"2,794,560","216,173,000"
"Jun 12, 2017",0.547829,0.555776,0.448470,0.481689,"2,298,420","247,921,000"
"Jun 11, 2017",0.536206,0.560214,0.517259,0.551325,"2,760,710","242,661,000"
"Jun 10, 2017",0.562329,0.582058,0.517802,0.534034,"4,463,740","254,483,000"
"Jun 09, 2017",0.545021,0.584342,0.540698,0.559973,"4,553,500","246,651,000"
"Jun 08, 2017",0.523231,0.588145,0.495991,0.544584,"12,095,000","236,789,000"
"Jun 07, 2017",0.516167,0.671010,0.515654,0.519614,"17,674,900","233,593,000"
"Jun 06, 2017",0.508276,0.549731,0.431356,0.513914,"14,781,500","230,022,000"
"Jun 05, 2017",0.410938,0.507742,0.410938,0.507742,"6,554,910","185,971,000"
"Jun 04, 2017",0.423232,0.437898,0.405003,0.408932,"4,051,010","191,535,000"
"Jun 03, 2017",0.395969,0.432160,0.391855,0.426742,"2,671,870","179,197,000"
"Jun 02, 2017",0.398703,0.406169,0.383746,0.396518,"3,191,020","180,434,000"
"Jun 01, 2017",0.393309,0.422170,0.393309,0.398787,"1,629,420","177,993,000"
"May 31, 2017",0.351712,0.415461,0.351712,0.393840,"2,581,360","159,168,000"
"May 30, 2017",0.370544,0.384302,0.343124,0.350799,"1,637,700","167,691,000"
