Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",4.85,4.97,4.43,4.43,"75,687","94,854,600"
"Jun 28, 2017",4.79,4.92,4.38,4.85,"62,812","88,854,300"
"Jun 27, 2017",4.71,4.76,4.22,4.76,"101,195","82,178,400"
"Jun 26, 2017",4.73,4.90,4.49,4.60,"137,495","78,280,000"
"Jun 25, 2017",5.01,5.01,4.47,4.74,"132,201","77,778,200"
"Jun 24, 2017",5.23,5.45,4.40,5.02,"121,115","75,924,300"
"Jun 23, 2017",4.87,5.45,4.84,5.23,"155,795","65,780,000"
"Jun 22, 2017",4.91,4.97,4.11,4.87,"162,808","61,350,300"
"Jun 21, 2017",4.88,5.24,3.97,4.91,"150,548","56,040,800"
"Jun 20, 2017",4.73,5.96,3.73,4.88,"749,091","49,598,200"
"Jun 19, 2017",4.87,4.87,3.70,4.73,"143,720","46,124,800"
"Jun 18, 2017",4.56,4.94,3.83,4.87,"59,625","38,620,000"
"Jun 17, 2017",4.46,4.77,3.75,4.56,"133,532","33,286,400"
"Jun 16, 2017",4.12,4.46,3.85,4.46,"107,977","26,572,600"
"Jun 15, 2017",3.86,4.24,3.51,4.12,"172,906","20,993,400"
"Jun 14, 2017",5.36,6.32,3.51,3.86,"411,420","25,523,000"
"Jun 13, 2017",5.45,5.55,4.88,5.36,"155,967","25,751,100"
"Jun 12, 2017",6.64,7.15,4.15,5.47,"484,846","30,861,300"
"Jun 11, 2017",7.31,7.38,6.57,6.65,"151,134","33,719,000"
"Jun 10, 2017",6.08,7.50,6.08,7.31,"304,322","27,726,300"
"Jun 09, 2017",7.12,7.54,6.06,6.07,"159,196","32,294,900"
"Jun 08, 2017",7.00,7.47,6.31,7.26,"473,267","31,534,400"
"Jun 07, 2017",7.63,7.67,6.87,7.06,"87,020","33,882,100"
"Jun 06, 2017",7.29,7.88,6.97,7.62,"92,041","31,692,100"
"Jun 05, 2017",6.50,7.27,6.36,7.26,"115,173","28,292,500"
"Jun 04, 2017",6.86,7.16,6.35,6.50,"61,978","29,843,700"
"Jun 03, 2017",6.55,7.03,6.48,6.88,"75,256","65,508"
"Jun 02, 2017",6.13,6.65,6.13,6.55,"109,819","61,316"
"Jun 01, 2017",5.94,6.84,5.85,6.13,"236,132",-
"May 31, 2017",6.57,7.80,5.67,5.94,"4,641",-
"May 30, 2017",6.76,6.81,5.62,6.54,"3,797",-
