Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",65.44,76.15,58.07,76.15,"473,864","39,223,400"
"Jun 26, 2017",80.72,81.58,55.32,62.52,"685,232","48,384,500"
"Jun 25, 2017",87.53,88.86,78.09,80.73,"315,976","52,467,200"
"Jun 24, 2017",91.24,93.28,84.66,87.79,"321,798","54,691,600"
"Jun 23, 2017",85.34,92.28,82.98,91.13,"476,077","51,154,400"
"Jun 22, 2017",80.31,88.38,80.26,85.44,"435,803","48,140,700"
"Jun 21, 2017",86.11,86.85,76.93,80.15,"475,543","51,615,400"
"Jun 20, 2017",82.85,89.14,80.83,86.13,"820,397","49,660,200"
"Jun 19, 2017",81.63,85.27,79.96,83.67,"634,811","48,931,500"
"Jun 18, 2017",84.72,91.35,81.66,82.62,"348,239","50,780,100"
"Jun 17, 2017",92.07,92.07,79.45,84.74,"527,369","55,185,100"
"Jun 16, 2017",85.90,93.20,82.37,92.00,"337,028","51,486,600"
"Jun 15, 2017",86.18,89.91,67.30,85.05,"726,780","51,659,200"
"Jun 14, 2017",105.18,108.48,81.76,86.54,"743,791","63,042,500"
"Jun 13, 2017",83.35,117.90,83.05,105.21,"1,167,120","49,961,900"
"Jun 12, 2017",93.26,99.62,69.65,85.06,"702,812","55,898,700"
"Jun 11, 2017",99.45,107.35,87.69,93.33,"627,648","59,607,800"
"Jun 10, 2017",113.70,115.00,99.43,99.43,"693,849","68,154,200"
"Jun 09, 2017",103.57,115.15,101.53,113.61,"916,329","62,079,900"
"Jun 08, 2017",89.36,109.44,87.57,103.63,"1,337,300","53,563,600"
"Jun 07, 2017",81.03,117.22,79.62,88.97,"1,791,320","48,567,700"
"Jun 06, 2017",66.63,81.37,66.63,80.94,"585,693","39,939,400"
"Jun 05, 2017",61.84,66.68,61.84,66.51,"291,545","37,067,000"
"Jun 04, 2017",59.08,62.71,57.08,61.55,"328,818","35,414,000"
"Jun 03, 2017",56.76,59.25,56.07,57.94,"248,349","34,022,500"
"Jun 02, 2017",54.35,57.15,52.82,57.15,"278,220","32,577,000"
"Jun 01, 2017",56.64,59.23,52.59,54.32,"500,566","33,948,400"
"May 31, 2017",51.80,57.99,49.08,57.20,"416,814","31,046,000"
"May 30, 2017",55.65,57.82,51.28,51.28,"354,884","33,355,600"
"May 29, 2017",54.56,57.84,53.40,55.58,"314,540","32,706,300"
"May 28, 2017",48.55,61.61,48.55,53.87,"258,243","29,100,200"
"May 27, 2017",58.31,60.61,43.48,48.41,"445,276","34,953,800"
"May 26, 2017",51.38,68.94,51.38,57.45,"443,889","30,799,100"
"May 25, 2017",58.80,66.52,52.90,53.91,"412,817","35,242,400"
"May 24, 2017",60.27,64.81,58.06,58.70,"557,679","36,127,000"
"May 23, 2017",51.49,61.08,50.77,61.05,"477,576","30,863,300"
"May 22, 2017",61.73,62.83,48.20,51.54,"688,974","36,999,900"
"May 21, 2017",57.27,67.87,52.47,60.66,"855,254","34,325,900"
"May 20, 2017",41.52,57.31,41.40,56.02,"656,474","24,887,600"
"May 19, 2017",39.82,43.75,38.79,41.60,"374,557","23,866,300"
"May 18, 2017",34.97,39.74,34.86,39.67,"296,720","20,960,700"
"May 17, 2017",35.55,37.21,34.18,34.99,"320,505","21,307,100"
"May 16, 2017",37.23,38.17,35.52,35.55,"262,490","22,316,400"
"May 15, 2017",38.86,39.18,35.23,37.03,"233,455","23,290,700"
"May 14, 2017",39.96,40.21,38.28,38.85,"153,705","23,949,600"
"May 13, 2017",40.08,40.48,38.34,39.61,"208,255","24,025,300"
"May 12, 2017",41.61,42.48,39.37,40.14,"219,290","24,938,800"
"May 11, 2017",41.11,43.84,39.35,42.44,"240,182","24,640,300"
"May 10, 2017",33.56,44.21,31.93,41.04,"595,571","20,113,400"
"May 09, 2017",38.87,39.59,32.74,33.54,"312,838","23,296,300"
"May 08, 2017",40.63,41.67,36.88,38.68,"296,106","24,355,300"
"May 07, 2017",39.10,43.75,38.46,40.85,"272,717","23,433,800"
"May 06, 2017",43.08,43.90,38.70,38.70,"202,496","25,824,400"
"May 05, 2017",44.72,47.26,41.81,42.97,"300,941","26,807,600"
"May 04, 2017",42.06,45.15,40.96,44.70,"261,218","25,211,600"
"May 03, 2017",38.13,42.42,38.10,42.39,"247,754","22,853,500"
"May 02, 2017",37.30,39.68,33.21,38.11,"239,255","22,358,300"
"May 01, 2017",38.11,39.48,34.93,37.24,"272,410","22,841,900"
"Apr 30, 2017",35.94,38.55,35.43,38.05,"205,173","21,540,700"
"Apr 29, 2017",34.34,36.89,32.41,35.92,"209,104","20,583,000"
"Apr 28, 2017",31.79,35.80,31.79,34.16,"269,375","19,054,500"
"Apr 27, 2017",31.66,33.29,30.83,31.77,"250,670","18,975,000"
"Apr 26, 2017",30.86,31.84,30.84,31.63,"147,626","18,497,800"
"Apr 25, 2017",30.53,31.18,29.48,30.85,"262,351","18,298,200"
"Apr 24, 2017",29.58,30.90,29.01,30.68,"135,664","17,729,900"
"Apr 23, 2017",30.63,30.63,28.97,29.45,"168,218","18,359,300"
"Apr 22, 2017",29.23,30.71,27.50,30.48,"186,802","17,518,000"
"Apr 21, 2017",26.36,30.67,26.04,29.23,"183,910","15,802,900"
