Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",1.90,1.93,1.63,1.69,"531,160","133,115,000"
"Jun 28, 2017",1.97,1.98,1.82,1.90,"485,531","137,826,000"
"Jun 27, 2017",1.90,1.97,1.62,1.95,"479,990","133,166,000"
"Jun 26, 2017",2.05,2.12,1.65,1.86,"591,650","143,677,000"
"Jun 25, 2017",2.20,2.31,1.98,2.06,"560,898","154,057,000"
"Jun 24, 2017",2.50,2.57,2.04,2.19,"1,073,790","175,164,000"
"Jun 23, 2017",2.19,2.67,2.08,2.50,"2,421,370","153,027,000"
"Jun 22, 2017",1.65,2.26,1.63,2.18,"1,682,630","115,806,000"
"Jun 21, 2017",1.68,1.74,1.58,1.67,"566,234","117,583,000"
"Jun 20, 2017",1.51,1.68,1.51,1.68,"772,775","105,690,000"
"Jun 19, 2017",1.49,1.61,1.44,1.50,"827,185","104,283,000"
"Jun 18, 2017",1.48,1.50,1.32,1.49,"603,616","103,803,000"
"Jun 17, 2017",1.51,1.52,1.38,1.47,"521,890","105,571,000"
"Jun 16, 2017",1.46,1.60,1.39,1.51,"715,272","102,340,000"
"Jun 15, 2017",1.52,1.64,1.21,1.47,"890,866","106,062,000"
"Jun 14, 2017",1.97,2.11,1.49,1.52,"1,046,410","138,153,000"
"Jun 13, 2017",1.37,2.23,1.37,1.99,"934,554",-
"Jun 12, 2017",2.68,3.30,1.33,1.37,"186,015",-
"Jun 11, 2017",2.45,4.41,1.63,2.69,"187,166",-
