Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",43.49,44.05,38.51,43.57,"12,171,600","638,919,000"
"Jun 26, 2017",45.90,48.20,39.39,43.49,"17,033,600","674,032,000"
"Jun 25, 2017",47.84,48.73,45.28,45.89,"9,156,060","702,334,000"
"Jun 24, 2017",51.43,51.81,47.30,48.03,"7,786,220","754,764,000"
"Jun 23, 2017",47.45,52.51,46.75,51.41,"11,033,000","696,116,000"
"Jun 22, 2017",46.80,47.80,46.64,47.28,"7,443,100","686,351,000"
"Jun 21, 2017",48.17,48.91,45.54,46.59,"12,133,900","706,159,000"
"Jun 20, 2017",49.03,50.91,47.60,48.08,"15,178,600","718,495,000"
"Jun 19, 2017",49.62,50.67,48.52,49.09,"12,502,400","726,891,000"
"Jun 18, 2017",50.49,51.70,48.98,49.60,"10,122,000","739,370,000"
"Jun 17, 2017",48.19,51.20,48.09,50.46,"15,646,500","705,427,000"
"Jun 16, 2017",45.97,48.24,44.17,48.11,"8,711,820","672,698,000"
"Jun 15, 2017",46.24,47.02,38.75,46.02,"14,252,000","676,380,000"
"Jun 14, 2017",51.98,53.56,44.37,46.30,"12,407,600","760,132,000"
"Jun 13, 2017",49.80,52.87,49.73,51.80,"13,362,700","727,975,000"
"Jun 12, 2017",59.09,59.80,45.78,50.04,"25,425,000","863,418,000"
"Jun 11, 2017",52.37,58.70,51.95,58.70,"15,485,200","764,939,000"
"Jun 10, 2017",55.59,56.25,51.92,52.28,"14,465,400","811,671,000"
"Jun 09, 2017",56.13,57.23,55.29,55.62,"11,941,600","819,313,000"
"Jun 08, 2017",52.91,56.46,51.45,56.19,"14,708,500","771,963,000"
"Jun 07, 2017",55.29,62.38,52.06,52.54,"50,623,800","806,489,000"
"Jun 06, 2017",48.37,55.57,47.12,55.57,"34,918,400","705,243,000"
"Jun 05, 2017",42.88,48.50,42.88,48.26,"16,780,900","625,055,000"
"Jun 04, 2017",42.34,43.42,41.70,42.90,"9,805,040","616,914,000"
"Jun 03, 2017",43.99,44.42,42.16,42.37,"9,819,610","640,642,000"
"Jun 02, 2017",43.74,44.65,43.00,44.00,"9,539,580","636,754,000"
"Jun 01, 2017",41.84,45.52,41.84,43.70,"12,849,800","608,922,000"
"May 31, 2017",39.83,43.11,39.23,41.83,"15,027,900","579,429,000"
"May 30, 2017",41.29,45.65,39.66,39.79,"23,048,100","600,461,000"
