Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",1.76,1.83,1.67,1.67,"430,202","34,212,300"
"Jun 28, 2017",1.92,1.94,1.71,1.78,"644,797","37,386,400"
"Jun 27, 2017",1.65,1.90,1.45,1.90,"441,063","32,058,900"
"Jun 26, 2017",1.88,1.97,1.33,1.58,"590,138","36,441,500"
"Jun 25, 2017",2.15,2.18,1.80,1.88,"892,047","41,720,200"
"Jun 24, 2017",2.20,2.52,2.06,2.13,"1,485,300","42,816,900"
"Jun 23, 2017",2.00,2.35,1.90,2.20,"1,771,010","38,905,500"
"Jun 22, 2017",2.00,2.37,1.98,2.00,"1,352,570","38,946,800"
"Jun 21, 2017",2.68,2.84,1.85,1.99,"1,753,020","52,103,800"
"Jun 20, 2017",3.29,4.56,2.53,2.65,"5,779,950","63,920,700"
"Jun 19, 2017",2.21,3.25,2.13,3.25,"1,762,160","42,991,400"
"Jun 18, 2017",2.29,2.60,2.06,2.22,"562,960","44,573,100"
"Jun 17, 2017",2.17,2.38,2.05,2.28,"435,850",-
"Jun 16, 2017",2.11,2.40,2.00,2.17,"575,647",-
"Jun 15, 2017",2.14,2.16,1.65,2.08,"833,425",-
"Jun 14, 2017",2.45,2.65,2.15,2.19,"1,632,900",-
