Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",0.981692,1.02,0.916807,0.979092,"199,762","49,612,600"
"Jun 28, 2017",0.913619,1.00,0.868392,0.981915,"195,957","46,149,500"
"Jun 27, 2017",0.864918,0.920670,0.760289,0.907703,"130,262","43,665,800"
"Jun 26, 2017",0.912267,0.942040,0.722810,0.864918,"182,682","46,035,300"
"Jun 25, 2017",0.926444,0.994191,0.895214,0.911918,"84,529","46,727,300"
"Jun 24, 2017",0.973932,1.01,0.928266,0.928266,"109,735","49,096,700"
"Jun 23, 2017",0.965849,1.11,0.912685,0.980792,"164,614","48,663,600"
"Jun 22, 2017",0.879457,1.08,0.801382,0.965873,"232,286","44,288,600"
"Jun 21, 2017",0.850483,0.896795,0.799402,0.879457,"40,094","42,807,900"
"Jun 20, 2017",0.912132,0.949020,0.792375,0.850483,"146,892","45,888,100"
"Jun 19, 2017",0.979808,0.999465,0.860631,0.904150,"188,903","49,267,900"
"Jun 18, 2017",0.972705,1.04,0.941483,0.978571,"216,481","48,886,300"
"Jun 17, 2017",0.904739,0.972703,0.904739,0.972703,"75,736","45,447,300"
"Jun 16, 2017",0.873953,0.954546,0.825447,0.954389,"111,335","43,878,700"
"Jun 15, 2017",0.800917,0.948887,0.711733,0.901940,"354,510","40,191,500"
"Jun 14, 2017",0.873597,0.946869,0.766664,0.800977,"82,636","43,816,400"
"Jun 13, 2017",0.736090,0.959041,0.736090,0.874108,"163,073","36,900,900"
"Jun 12, 2017",1.00,1.02,0.743569,0.765298,"209,839","50,317,000"
"Jun 11, 2017",1.01,1.04,0.936918,1.02,"174,959","50,675,700"
"Jun 10, 2017",0.963529,1.02,0.920536,1.01,"158,366","48,228,700"
"Jun 09, 2017",0.703496,0.996485,0.701206,0.962084,"471,352","35,195,000"
"Jun 08, 2017",0.672920,0.744513,0.662220,0.705534,"74,622","33,647,900"
"Jun 07, 2017",0.770578,0.772959,0.653179,0.669555,"114,399","38,509,300"
"Jun 06, 2017",0.681812,0.789461,0.605204,0.770354,"190,706","34,055,400"
"Jun 05, 2017",0.548516,0.696356,0.529401,0.679753,"171,676","27,354,400"
"Jun 04, 2017",0.481698,0.618668,0.476908,0.548239,"100,636","24,022,200"
"Jun 03, 2017",0.510472,0.542683,0.483002,0.483002,"103,213","25,457,200"
"Jun 02, 2017",0.537118,0.537509,0.484197,0.510697,"87,354","26,772,400"
"Jun 01, 2017",0.43461,,,,,
