Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.181129,0.181129,0.148365,0.166896,"12,830,300","180,948,000"
"Jun 26, 2017",0.185603,0.200747,0.151375,0.181129,"19,615,500","185,417,000"
"Jun 25, 2017",0.179295,0.220132,0.174728,0.184299,"29,516,600","179,116,000"
"Jun 24, 2017",0.176910,0.193693,0.174757,0.179186,"12,266,700","176,733,000"
"Jun 23, 2017",0.170355,0.180748,0.168049,0.176062,"6,488,460","170,184,000"
"Jun 22, 2017",0.171177,0.175297,0.165101,0.170363,"5,750,750","171,006,000"
"Jun 21, 2017",0.173315,0.182426,0.167138,0.171692,"9,024,110","173,142,000"
"Jun 20, 2017",0.179486,0.184276,0.168672,0.173800,"14,347,800","179,307,000"
"Jun 19, 2017",0.158885,0.186900,0.158556,0.179066,"23,588,300","158,726,000"
"Jun 18, 2017",0.165691,0.168904,0.157122,0.159246,"7,226,620","165,525,000"
"Jun 17, 2017",0.170604,0.177451,0.159536,0.165881,"12,780,600","170,433,000"
"Jun 16, 2017",0.180674,0.182599,0.163215,0.170814,"14,035,300","180,493,000"
"Jun 15, 2017",0.170768,0.184830,0.136208,0.178862,"22,383,800","170,597,000"
"Jun 14, 2017",0.198648,0.211024,0.169548,0.172472,"23,573,800","198,449,000"
"Jun 13, 2017",0.166995,0.249438,0.166995,0.197164,"72,025,200","166,828,000"
"Jun 12, 2017",0.145483,0.200229,0.132783,0.166462,"49,554,400","145,338,000"
"Jun 11, 2017",0.119674,0.153634,0.118316,0.146333,"16,359,800","119,554,000"
"Jun 10, 2017",0.123885,0.159302,0.120540,0.120540,"36,078,100","123,761,000"
"Jun 09, 2017",0.098987,0.139039,0.098987,0.123902,"26,223,000","98,887,900"
"Jun 08, 2017",0.087407,0.098774,0.080644,0.098774,"5,477,890","87,320,000"
"Jun 07, 2017",0.083506,0.094101,0.083103,0.087441,"6,071,780","83,422,300"
"Jun 06, 2017",0.082431,0.084314,0.074344,0.083430,"4,980,300","82,348,300"
"Jun 05, 2017",0.068845,0.088311,0.068845,0.082481,"7,229,600","68,776,600"
"Jun 04, 2017",0.066386,0.070094,0.064304,0.068759,"2,207,880","66,319,600"
"Jun 03, 2017",0.069567,0.070538,0.065223,0.065885,"3,274,130","69,497,100"
"Jun 02, 2017",0.058684,0.072232,0.058684,0.069865,"4,061,940","58,625,100"
"Jun 01, 2017",0.055477,0.060682,0.055477,0.059195,"2,902,730","55,421,500"
"May 31, 2017",0.052614,0.057509,0.047836,0.055493,"2,721,540","52,561,300"
"May 30, 2017",0.057738,0.061682,0.052505,0.052570,"3,126,010","57,680,100"
