Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",2.47,2.67,2.21,2.51,"3,984,360","59,670,200"
"Jun 26, 2017",2.93,2.99,2.07,2.47,"6,466,690","70,834,600"
"Jun 25, 2017",3.00,3.26,2.90,2.93,"4,489,910","72,388,400"
"Jun 24, 2017",3.37,3.43,2.88,2.98,"6,201,310","81,541,300"
"Jun 23, 2017",2.75,3.52,2.72,3.38,"15,579,700","66,508,500"
"Jun 22, 2017",2.32,3.09,2.29,2.78,"8,269,330","56,134,200"
"Jun 21, 2017",2.60,2.60,2.28,2.32,"4,366,580","62,763,100"
"Jun 20, 2017",2.33,2.61,2.30,2.56,"4,983,790","56,203,600"
"Jun 19, 2017",2.28,2.38,2.26,2.33,"3,826,260","55,096,400"
"Jun 18, 2017",2.31,2.79,2.20,2.26,"8,849,500","55,698,700"
"Jun 17, 2017",2.01,2.29,1.98,2.29,"3,983,690","48,524,100"
"Jun 16, 2017",1.86,2.02,1.79,1.99,"2,079,620","44,986,000"
"Jun 15, 2017",1.94,1.99,1.69,1.87,"2,024,010","46,920,500"
"Jun 14, 2017",2.05,2.13,1.88,1.94,"1,979,070","49,488,100"
"Jun 13, 2017",1.97,2.06,1.96,2.06,"1,636,750","47,562,800"
"Jun 12, 2017",2.24,2.27,1.87,1.98,"3,065,470","54,146,900"
"Jun 11, 2017",2.15,2.28,2.09,2.23,"2,037,550","51,853,500"
"Jun 10, 2017",2.18,2.31,2.11,2.14,"2,729,930","52,658,300"
"Jun 09, 2017",2.09,2.24,2.09,2.18,"2,428,690","50,380,500"
"Jun 08, 2017",2.02,2.11,1.93,2.10,"1,917,550","48,715,700"
"Jun 07, 2017",2.04,2.19,1.99,2.02,"2,688,890","49,278,700"
"Jun 06, 2017",2.19,2.19,1.94,2.05,"3,259,320","52,847,100"
"Jun 05, 2017",2.18,2.31,2.11,2.18,"6,142,430","52,553,000"
"Jun 04, 2017",1.72,2.51,1.68,2.18,"8,201,280","41,387,700"
"Jun 03, 2017",1.69,1.73,1.65,1.71,"1,182,030","40,883,100"
"Jun 02, 2017",1.60,1.69,1.57,1.69,"1,326,930","38,537,300"
"Jun 01, 2017",1.49,1.62,1.48,1.60,"1,411,810","35,870,000"
"May 31, 2017",1.46,1.52,1.42,1.49,"888,708","35,249,000"
"May 30, 2017",1.54,1.62,1.44,1.45,"1,206,680","37,227,400"
