Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",1.71,1.85,1.59,1.84,"804,362","91,792,000"
"Jun 26, 2017",1.81,1.89,1.53,1.71,"743,913","97,110,800"
"Jun 25, 2017",1.96,1.97,1.73,1.80,"717,465","105,507,000"
"Jun 24, 2017",1.90,2.00,1.85,1.97,"977,280","101,826,000"
"Jun 23, 2017",1.68,1.92,1.65,1.89,"652,917","90,384,900"
"Jun 22, 2017",1.66,1.75,1.65,1.68,"528,555","89,122,800"
"Jun 21, 2017",1.74,1.79,1.55,1.66,"481,711","93,572,300"
"Jun 20, 2017",1.78,1.83,1.62,1.74,"637,379","95,662,300"
"Jun 19, 2017",1.75,1.90,1.63,1.78,"1,171,960","93,807,500"
"Jun 18, 2017",1.66,1.75,1.55,1.75,"460,349","89,146,200"
"Jun 17, 2017",1.72,1.74,1.60,1.65,"581,214","92,064,300"
"Jun 16, 2017",1.43,1.77,1.35,1.72,"1,217,220","76,836,300"
"Jun 15, 2017",1.39,1.43,1.23,1.43,"452,954","74,745,700"
"Jun 14, 2017",1.52,1.60,1.32,1.39,"472,004","81,564,800"
"Jun 13, 2017",1.41,1.67,1.40,1.52,"810,037","75,370,600"
"Jun 12, 2017",1.68,1.70,1.36,1.42,"618,989","90,002,600"
"Jun 11, 2017",1.51,1.75,1.49,1.68,"779,509","80,699,400"
"Jun 10, 2017",1.63,1.66,1.51,1.51,"806,869","87,353,800"
"Jun 09, 2017",1.62,1.73,1.51,1.63,"1,052,730","86,576,600"
"Jun 08, 2017",1.54,1.70,1.52,1.61,"742,229","82,708,500"
"Jun 07, 2017",1.48,1.78,1.48,1.53,"1,291,380","79,331,300"
"Jun 06, 2017",1.55,1.68,1.44,1.48,"1,150,270","83,020,700"
"Jun 05, 2017",1.64,1.64,1.51,1.55,"1,415,360","87,591,400"
"Jun 04, 2017",1.63,1.70,1.49,1.62,"958,906","87,404,800"
"Jun 03, 2017",1.65,1.76,1.49,1.64,"1,297,030","88,338,700"
"Jun 02, 2017",1.69,1.73,1.60,1.64,"973,967","90,284,900"
"Jun 01, 2017",1.53,1.73,1.49,1.68,"1,015,590","81,979,300"
"May 31, 2017",1.73,1.81,1.45,1.51,"2,120,580","92,717,300"
"May 30, 2017",1.69,1.90,1.64,1.71,"2,994,420","90,331,600"
