Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",0.894184,0.905853,0.805591,0.820824,"612,359","46,497,600"
"Jun 28, 2017",0.868928,0.983198,0.844174,0.895470,"843,976","45,184,300"
"Jun 27, 2017",0.870386,0.870386,0.757053,0.863674,"548,840","45,260,100"
"Jun 26, 2017",0.928788,1.01,0.737330,0.830104,"513,440","48,297,000"
"Jun 25, 2017",1.01,1.07,0.783123,0.944330,"805,992","52,503,800"
"Jun 24, 2017",1.23,1.28,1.00,1.01,"929,713","63,894,200"
"Jun 23, 2017",1.13,1.28,1.07,1.25,"1,569,260","58,648,800"
"Jun 22, 2017",0.809350,1.22,0.805721,1.12,"3,933,640","42,086,200"
"Jun 21, 2017",0.847430,0.872671,0.784694,0.820200,"788,674","44,066,400"
"Jun 20, 2017",0.862012,0.912587,0.778552,0.847655,"893,201","44,824,600"
"Jun 19, 2017",1.07,1.09,0.764169,0.833073,"2,394,520","55,817,300"
"Jun 18, 2017",1.22,1.29,1.03,1.07,"2,119,760","63,192,500"
"Jun 17, 2017",1.52,1.54,1.16,1.22,"3,335,700","78,941,200"
"Jun 16, 2017",1.69,1.76,1.41,1.52,"2,895,490","87,937,700"
"Jun 15, 2017",1.67,2.39,1.17,1.73,"11,961,500","87,088,600"
"Jun 14, 2017",1.37,1.77,1.13,1.67,"4,528,530","71,244,700"
"Jun 13, 2017",0.661201,1.46,0.661201,1.36,"3,277,890","34,382,500"
"Jun 12, 2017",0.667699,0.757701,0.472784,0.711283,"1,062,110","34,720,300"
"Jun 11, 2017",0.722817,0.739984,0.571693,0.669980,"1,087,610","37,586,500"
"Jun 10, 2017",0.734457,0.992519,0.550558,0.740533,"2,971,120",-
