Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",0.272958,0.300155,0.271198,0.298984,"138,863","22,506,500"
"Jun 28, 2017",0.262401,0.281611,0.257004,0.271905,"160,678","21,636,000"
"Jun 27, 2017",0.263591,0.267045,0.241540,0.260992,"94,346","21,734,100"
"Jun 26, 2017",0.255832,0.270202,0.232216,0.257914,"79,548","21,094,300"
"Jun 25, 2017",0.275805,0.279818,0.250548,0.255849,"21,868","22,741,300"
"Jun 24, 2017",0.289348,0.293329,0.258628,0.276179,"68,922","23,857,900"
"Jun 23, 2017",0.271575,0.293003,0.265262,0.289366,"39,156","22,392,500"
"Jun 22, 2017",0.265900,0.273286,0.253374,0.271497,"24,376","21,924,500"
"Jun 21, 2017",0.261105,0.288904,0.254703,0.264763,"58,240","21,529,200"
"Jun 20, 2017",0.277559,0.282749,0.250363,0.260811,"66,218","22,885,900"
"Jun 19, 2017",0.287148,0.287353,0.255766,0.277245,"78,194","23,676,500"
"Jun 18, 2017",0.297214,0.311054,0.267587,0.287156,"40,530","24,506,500"
"Jun 17, 2017",0.285949,0.296451,0.252017,0.296451,"23,878","23,577,600"
"Jun 16, 2017",0.291462,0.291462,0.204068,0.285849,"111,053","24,032,200"
"Jun 15, 2017",0.334216,0.340675,0.237217,0.291307,"71,685","27,557,500"
"Jun 14, 2017",0.311414,0.381919,0.268182,0.372175,"208,791","25,677,300"
"Jun 13, 2017",0.308627,0.339151,0.243296,0.310033,"61,432",-
"Jun 12, 2017",0.244340,0.407749,0.234880,0.309371,"93,985",-
"Jun 11, 2017",0.255581,0.256246,0.209503,0.244630,"21,770",-
"Jun 10, 2017",0.373839,0.377565,0.208477,0.255770,"49,479",-
"Jun 09, 2017",0.336086,0.379301,0.276499,0.353856,"84,076",-
"Jun 08, 2017",0.161983,0.490324,0.161850,0.336619,"136,233",-
