Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.611838,0.661637,0.524266,0.661637,"390,182","48,378,500"
"Jun 26, 2017",0.663344,0.699813,0.532267,0.589588,"423,027","52,451,200"
"Jun 25, 2017",0.744338,0.745512,0.626864,0.663885,"432,244","58,855,400"
"Jun 24, 2017",0.791799,0.827004,0.669428,0.737831,"422,419","62,608,200"
"Jun 23, 2017",0.802962,0.852874,0.715587,0.799435,"491,825","63,490,900"
"Jun 22, 2017",0.679066,0.810233,0.630499,0.810233,"618,389","53,694,300"
"Jun 21, 2017",0.682701,0.689392,0.636978,0.677986,"412,124","53,981,700"
"Jun 20, 2017",0.651727,0.708252,0.644067,0.677899,"593,132","51,532,600"
"Jun 19, 2017",0.691081,0.693411,0.616307,0.653204,"721,762","54,644,300"
"Jun 18, 2017",0.724655,0.741403,0.673731,0.684380,"403,145","57,299,000"
"Jun 17, 2017",0.774799,0.779370,0.686852,0.716659,"498,107","61,264,000"
"Jun 16, 2017",0.636530,0.787986,0.608864,0.774632,"610,770","49,694,400"
"Jun 15, 2017",0.639297,0.662536,0.539688,0.636479,"565,984","49,910,400"
"Jun 14, 2017",0.711624,0.762586,0.633225,0.639060,"916,212","55,557,100"
"Jun 13, 2017",0.780967,0.810318,0.688036,0.711139,"1,195,150","60,970,700"
"Jun 12, 2017",0.766371,0.838209,0.649178,0.781605,"908,450","59,831,200"
"Jun 11, 2017",0.839162,0.839162,0.719440,0.774310,"829,072","65,514,000"
"Jun 10, 2017",0.938093,0.943112,0.776557,0.820963,"1,224,530","73,237,700"
"Jun 09, 2017",1.09,1.10,0.899218,0.936784,"1,383,220","84,872,300"
"Jun 08, 2017",1.16,1.18,1.02,1.08,"783,389","90,598,800"
"Jun 07, 2017",1.21,1.32,1.13,1.15,"1,128,920","94,473,500"
"Jun 06, 2017",1.15,1.23,1.05,1.21,"1,148,770","89,688,500"
"Jun 05, 2017",1.09,1.16,0.982870,1.16,"1,430,170","84,923,100"
"Jun 04, 2017",0.869552,1.12,0.825559,1.09,"1,179,180","67,886,600"
"Jun 03, 2017",0.866976,0.972974,0.826316,0.871738,"1,559,520","67,685,500"
"Jun 02, 2017",0.663380,0.856869,0.596269,0.850954,"839,220","51,790,600"
"Jun 01, 2017",0.567939,0.669229,0.560601,0.668666,"534,894","44,339,400"
"May 31, 2017",0.529761,0.608483,0.438862,0.568729,"637,982","41,358,900"
"May 30, 2017",0.491403,0.548265,0.466043,0.528554,"420,089","38,364,200"
"May 29, 2017",0.462229,0.516640,0.434963,0.490615,"441,114","36,086,600"
"May 28, 2017",0.476924,0.505041,0.441804,0.461028,"349,582","37,233,800"
"May 27, 2017",0.546162,0.564406,0.383898,0.474007,"313,964","42,639,300"
"May 26, 2017",0.591340,0.664309,0.475515,0.545000,"446,650","46,166,400"
"May 25, 2017",0.636769,0.754663,0.572026,0.585280,"521,613","49,713,100"
"May 24, 2017",0.493491,0.719828,0.465279,0.638351,"816,791","38,527,200"
"May 23, 2017",0.439060,0.500205,0.422359,0.493677,"303,059","34,277,800"
"May 22, 2017",0.421107,0.496783,0.383499,0.440839,"463,924","32,876,200"
"May 21, 2017",0.483760,0.484434,0.406133,0.419883,"507,339","37,767,500"
"May 20, 2017",0.478760,0.509707,0.462441,0.484052,"363,961","37,377,200"
"May 19, 2017",0.426171,0.495924,0.414208,0.487668,"590,724","33,271,500"
"May 18, 2017",0.469229,0.513537,0.394801,0.428299,"665,266","36,633,100"
"May 17, 2017",0.495516,0.499515,0.457499,0.468532,"284,500","38,685,300"
"May 16, 2017",0.484022,0.499208,0.435136,0.498967,"204,899","37,788,000"
"May 15, 2017",0.488541,0.498013,0.418709,0.484957,"278,640","38,140,800"
"May 14, 2017",0.507546,0.513589,0.474912,0.488873,"197,021","39,624,500"
"May 13, 2017",0.511383,0.534048,0.484969,0.513903,"134,973","39,924,100"
"May 12, 2017",0.531629,0.533888,0.498230,0.511842,"210,643","41,504,700"
"May 11, 2017",0.568117,0.580193,0.482816,0.531188,"209,688","44,353,300"
"May 10, 2017",0.523548,0.579879,0.462571,0.567711,"267,991","40,873,800"
"May 09, 2017",0.585307,0.599366,0.458823,0.523330,"464,741","45,695,400"
"May 08, 2017",0.640262,0.656280,0.531591,0.582897,"530,352","49,985,800"
"May 07, 2017",0.659948,0.672037,0.604465,0.640310,"451,835","51,522,700"
"May 06, 2017",0.698247,0.709773,0.641229,0.660432,"377,730","54,512,700"
"May 05, 2017",0.758666,0.807097,0.608827,0.707649,"617,178","59,229,700"
"May 04, 2017",0.744824,0.795925,0.694944,0.754950,"796,313","58,149,000"
"May 03, 2017",0.610264,0.740926,0.592603,0.732022,"517,199","47,643,800"
"May 02, 2017",0.565891,0.654011,0.550117,0.607033,"502,731","44,179,600"
"May 01, 2017",0.638825,0.686970,0.533965,0.587530,"990,585","49,873,600"
"Apr 30, 2017",0.529962,0.662203,0.505016,0.638347,"615,634","41,374,600"
"Apr 29, 2017",0.458145,0.549532,0.449520,0.529804,"270,099","35,767,700"
"Apr 28, 2017",0.479778,0.508458,0.436622,0.456423,"419,816","37,456,600"
"Apr 27, 2017",0.316651,0.492577,0.311686,0.483114,"755,524","22,798,800"
"Apr 26, 2017",0.309527,0.326245,0.300041,0.316405,"146,677","22,285,900"
"Apr 25, 2017",0.287036,0.316588,0.260106,0.308081,"208,858","20,666,500"
"Apr 24, 2017",0.282324,0.307573,0.235380,0.286895,"85,724","20,327,300"
"Apr 23, 2017",0.347589,0.349149,0.279377,0.281218,"133,169","25,026,300"
"Apr 22, 2017",0.297496,0.354220,0.294833,0.347460,"233,124","21,419,600"
"Apr 21, 2017",0.284611,0.308875,0.276370,0.297616,"120,323",-
"Apr 20, 2017",0.283100,0.295189,0.256380,0.283555,"151,637",-
