Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",0.073732,0.074266,0.066503,0.066607,"402,516","62,671,800"
"Jun 28, 2017",0.077718,0.077718,0.073208,0.073804,"343,842","66,060,100"
"Jun 27, 2017",0.068012,0.077252,0.066337,0.077252,"359,139","57,809,700"
"Jun 26, 2017",0.068936,0.071858,0.061891,0.066186,"374,691","58,595,500"
"Jun 25, 2017",0.078796,0.078956,0.067077,0.068940,"387,658","66,976,200"
"Jun 24, 2017",0.082563,0.084072,0.078076,0.078982,"390,874","70,178,700"
"Jun 23, 2017",0.078153,0.086211,0.076365,0.082581,"414,030","66,430,200"
"Jun 22, 2017",0.087264,0.090638,0.076140,0.078178,"412,880","74,174,400"
"Jun 21, 2017",0.090852,0.091186,0.081971,0.087083,"415,109","77,224,300"
"Jun 20, 2017",0.109403,0.109403,0.090338,0.090874,"370,124","92,992,600"
"Jun 19, 2017",0.101297,0.114283,0.093282,0.109406,"339,687","86,102,400"
"Jun 18, 2017",0.108110,0.112158,0.100943,0.101041,"339,099","91,893,500"
"Jun 17, 2017",0.110584,0.110612,0.107452,0.108061,"222,874","93,996,400"
"Jun 16, 2017",0.099189,0.112406,0.093304,0.110567,"237,567","84,310,600"
"Jun 15, 2017",0.109636,0.111179,0.089163,0.098499,"244,669","93,190,600"
"Jun 14, 2017",0.125674,0.130850,0.106591,0.109787,"282,973","106,823,000"
"Jun 13, 2017",0.117609,0.130299,0.117609,0.127566,"437,267","99,967,600"
"Jun 12, 2017",0.138997,0.142057,0.107455,0.118610,"375,207","118,147,000"
"Jun 11, 2017",0.145724,0.146583,0.134716,0.139132,"423,849","123,865,000"
"Jun 10, 2017",0.163927,0.166345,0.144574,0.145803,"424,373","139,338,000"
"Jun 09, 2017",0.149697,0.164891,0.146930,0.164891,"436,646","127,242,000"
"Jun 08, 2017",0.154280,0.163028,0.148545,0.149958,"417,616","131,138,000"
"Jun 07, 2017",0.153928,0.183111,0.150734,0.153620,"439,400","130,839,000"
"Jun 06, 2017",0.177662,0.182712,0.150282,0.153901,"452,282","151,013,000"
"Jun 05, 2017",0.142661,0.179507,0.142638,0.176610,"477,034","121,262,000"
"Jun 04, 2017",0.116550,0.144945,0.116550,0.142549,"401,835","99,067,500"
"Jun 03, 2017",0.107938,0.121839,0.103771,0.117230,"410,589","91,747,300"
"Jun 02, 2017",0.105980,0.108787,0.102059,0.107285,"370,652","90,083,000"
"Jun 01, 2017",0.097865,0.116651,0.097865,0.105930,"367,964","83,185,400"
"May 31, 2017",0.112417,0.113984,0.095104,0.097702,"368,182","95,554,400"
"May 30, 2017",0.116800,0.120424,0.110720,0.112164,"355,984","99,280,000"
"May 29, 2017",0.119169,0.122223,0.109265,0.116643,"351,704","101,294,000"
"May 28, 2017",0.122256,0.140388,0.113465,0.119462,"331,055","103,918,000"
"May 27, 2017",0.130861,0.133065,0.100293,0.121592,"295,083","111,232,000"
"May 26, 2017",0.130308,0.150711,0.121688,0.130564,"324,673","110,762,000"
"May 25, 2017",0.175195,0.183430,0.128682,0.131175,"402,723","148,916,000"
"May 24, 2017",0.141357,0.183610,0.141357,0.175833,"578,542","120,153,000"
"May 23, 2017",0.133815,0.149292,0.132978,0.141262,"306,087","113,743,000"
"May 22, 2017",0.146301,0.153789,0.127601,0.134444,"564,951","124,356,000"
"May 21, 2017",0.140889,0.146737,0.135968,0.145945,"563,470","119,756,000"
"May 20, 2017",0.118738,0.145689,0.118267,0.140951,"624,798","100,927,000"
"May 19, 2017",0.139371,0.141537,0.113593,0.118842,"658,619","118,465,000"
"May 18, 2017",0.138053,0.143148,0.134914,0.139282,"799,736","117,345,000"
"May 17, 2017",0.149812,0.153280,0.137027,0.138872,"1,034,180","127,340,000"
"May 16, 2017",0.169399,0.176418,0.143246,0.149832,"969,105","143,989,000"
"May 15, 2017",0.175425,0.187277,0.153371,0.169655,"948,961","149,111,000"
