Date,Open,High,Low,Close,Volume,Market Cap
"Jun 30, 2017",16.40,16.45,11.82,12.83,180251,16463900
"Jun 29, 2017",11.81,16.69,11.48,16.37,36062,11851000
"Jun 28, 2017",11.19,15.48,10.37,11.82,21034,11227500
"Jun 27, 2017",11.23,11.37,9.62,11.11,3756,11269300
"Jun 26, 2017",15.95,16.44,9.35,11.23,25723,16012100
"Jun 25, 2017",12.62,20.31,10.11,16.21,116791,12669000
"Jun 24, 2017",12.72,13.40,10.45,12.65,11372,12771300
"Jun 23, 2017",10.71,13.08,9.85,12.73,7612,10746000
"Jun 22, 2017",8.88,11.25,8.47,10.71,17743,8915340
"Jun 21, 2017",9.56,11.31,7.57,8.88,17260,9598250
"Jun 20, 2017",8.27,9.56,7.36,9.56,10920,8298530
"Jun 19, 2017",8.23,8.69,8.23,8.69,6876,8259370
"Jun 18, 2017",7.75,8.67,7.75,8.23,7335,7781670
"Jun 17, 2017",7.51,8.32,7.36,7.75,17746,7533000
"Jun 16, 2017",7.11,7.64,7.03,7.51,6246,7139330
"Jun 15, 2017",7.91,8.15,5.79,7.12,9117,7938160
"Jun 14, 2017",8.67,8.85,7.56,7.91,7934,8696820
"Jun 13, 2017",7.87,8.92,7.86,8.67,14218,7901330
"Jun 12, 2017",9.39,9.76,7.77,7.90,18232,9421720
"Jun 11, 2017",8.39,10.13,8.32,9.40,31250,8420940
"Jun 10, 2017",8.24,8.55,6.77,8.48,30368,8271630
"Jun 09, 2017",8.27,8.36,8.12,8.23,5867,8298450
"Jun 08, 2017",8.67,8.88,7.47,8.28,33543,8703150
"Jun 07, 2017",8.34,9.29,7.98,8.63,3972,8368830
"Jun 06, 2017",8.15,10.28,7.31,8.34,31219,8179010
"Jun 05, 2017",7.84,8.29,7.44,8.13,14711,7867350
"Jun 04, 2017",7.70,7.91,7.43,7.84,8614,7731600
"Jun 03, 2017",7.80,8.44,7.49,7.73,13843,7823400
"Jun 02, 2017",8.11,9.50,7.53,7.80,38066,8139520
"Jun 01, 2017",4.77,11.82,4.26,7.57,111180,4790090
"May 31, 2017",3.44,4.87,3.44,4.77,5133,3453700
"May 30, 2017",4.49,4.70,3.40,3.43,5033,4509560
"May 29, 2017",4.36,4.63,3.39,4.49,12986,4370330
"May 28, 2017",4.15,4.67,3.20,4.36,3745,4169090
"May 27, 2017",4.65,4.65,3.31,4.13,8464,4665390
"May 26, 2017",6.24,6.88,4.62,4.63,2269,6260990
"May 25, 2017",6.61,7.90,4.72,6.29,34470,6635540
"May 24, 2017",6.56,7.44,6.20,6.63,18104,6582380
"May 23, 2017",5.80,6.62,5.80,6.55,3791,5816260
"May 22, 2017",6.33,6.75,5.65,5.81,6946,6351930
"May 21, 2017",6.30,6.46,5.85,6.31,14516,6325030
"May 20, 2017",5.91,6.31,5.74,6.31,17236,5929480
"May 19, 2017",5.49,5.97,5.49,5.92,5134,5511780
"May 18, 2017",5.56,6.42,5.23,5.49,7557,5576010
"May 17, 2017",5.91,6.28,3.81,5.56,15227,5927880
"May 16, 2017",5.08,6.19,4.76,5.91,21164,5095760
"May 15, 2017",3.39,5.18,2.77,5.09,19568,3403360
"May 14, 2017",1.95,3.75,1.94,3.39,18736,1952280
"May 13, 2017",2.07,2.08,1.70,1.94,2479,2080550
"May 12, 2017",2.36,2.59,1.83,2.08,4563,2369560
"May 11, 2017",2.40,2.78,2.24,2.36,3768,2408280
"May 10, 2017",1.83,2.67,1.82,2.40,3085,1833710
"May 09, 2017",2.24,2.43,1.83,1.83,914,2248560
"May 08, 2017",2.08,2.45,2.08,2.24,13275,2082930
"May 07, 2017",2.21,2.25,2.03,2.08,3363,2218620
"May 06, 2017",1.87,2.21,1.87,2.21,1240,1874320
"May 05, 2017",1.63,1.99,1.62,1.87,755,1638700
"May 04, 2017",2.12,2.28,1.49,1.63,1486,2122140
"May 03, 2017",2.06,2.12,1.90,2.11,958,2071220
"May 02, 2017",1.99,2.27,1.98,2.06,120,1996030
"May 01, 2017",2.14,2.23,1.97,1.99,275,2144490
"Apr 30, 2017",2.10,2.23,2.09,2.14,780,2102440
"Apr 29, 2017",2.31,2.31,2.09,2.10,4023,2315330
"Apr 28, 2017",2.39,2.39,2.10,2.31,1721,2397740
"Apr 27, 2017",2.31,2.65,2.31,2.39,1259,2321320
"Apr 26, 2017",2.33,2.56,2.31,2.31,2120,2336980
"Apr 25, 2017",2.33,2.44,2.27,2.33,3889,2332920
"Apr 24, 2017",2.35,2.48,2.08,2.32,194,2361950
"Apr 23, 2017",2.22,2.39,2.21,2.35,1567,2224860
"Apr 22, 2017",2.23,2.42,2.14,2.22,3257,2236020
"Apr 21, 2017",2.60,2.63,2.22,2.23,1940,2611890
"Apr 20, 2017",2.78,3.19,1.93,2.60,10605,2789330
"Apr 19, 2017",2.02,5.95,1.44,3.38,83608,2023740
"Apr 18, 2017",1.73,2.02,1.73,2.02,4050,1740110
"Apr 17, 2017",2.00,2.01,1.45,1.74,1802,2005500
"Apr 16, 2017",1.96,2.01,1.78,2.00,1796,1964110
"Apr 15, 2017",1.69,1.99,1.69,1.96,1478,1699510
"Apr 14, 2017",1.40,1.96,1.40,1.69,4711,1408640
"Apr 13, 2017",1.66,2.02,1.40,1.40,4220,1668880
"Apr 12, 2017",1.85,1.95,1.66,1.66,4863,1859020
"Apr 11, 2017",1.66,1.86,1.30,1.85,66,1666680
"Apr 10, 2017",1.57,1.77,1.54,1.66,922,1572560
"Apr 09, 2017",1.78,1.78,1.57,1.57,1541,1784350
"Apr 08, 2017",1.48,1.81,1.47,1.78,1903,1484510
"Apr 07, 2017",2.01,2.04,1.48,1.49,2544,2016020
"Apr 06, 2017",1.45,2.02,1.44,2.02,2848,1454210
"Apr 05, 2017",1.70,1.94,1.35,1.45,905,1705380
"Apr 04, 2017",1.94,1.94,1.41,1.70,1697,1945500
"Apr 03, 2017",1.37,1.95,1.37,1.94,1926,1374010
"Apr 02, 2017",1.09,1.42,1.08,1.37,273,1091840
"Apr 01, 2017",0.924667,1.41,0.763040,1.09,9710,927419
"Mar 31, 2017",0.866484,0.927436,0.819252,0.924736,1011,869060
"Mar 30, 2017",0.880918,0.889564,0.862179,0.866307,1346,883535
"Mar 29, 2017",0.884189,0.894227,0.858662,0.879024,22,886813
"Mar 28, 2017",0.755802,0.913717,0.719442,0.885093,4003,758043
"Mar 27, 2017",0.798305,0.877706,0.569967,0.756663,226,800670
"Mar 26, 2017",0.830153,0.830153,0.718661,0.793928,161,832610
"Mar 25, 2017",0.811981,0.831641,0.657181,0.829100,2421,814381
"Mar 24, 2017",0.739252,0.857960,0.635530,0.812831,1813,741435
"Mar 23, 2017",0.747368,0.750635,0.563182,0.739351,2569,749571
"Mar 22, 2017",0.626124,0.749575,0.575873,0.746721,1922,627967
"Mar 21, 2017",0.502139,0.705318,0.502139,0.626062,36,503616
"Mar 20, 2017",0.401028,0.685627,0.400812,0.501602,2152,402206
"Mar 19, 2017",0.400508,0.479927,0.383750,0.400835,1247,401683
"Mar 18, 2017",0.410723,0.417102,0.371188,0.399314,4153,411927
"Mar 17, 2017",0.471663,0.471663,0.410678,0.410925,86,473044
"Mar 16, 2017",0.436189,0.534856,0.436090,0.474720,26,437464
"Mar 15, 2017",0.607666,0.607710,0.430010,0.435589,277,609439
"Mar 14, 2017",0.406563,0.607808,0.376635,0.607588,3859,407747
"Mar 13, 2017",0.351969,0.407824,0.307147,0.406484,1503,352992
"Mar 12, 2017",0.352423,0.353929,0.335901,0.351854,10,353445
"Mar 11, 2017",0.223415,0.354199,0.223415,0.352187,1887,224061
"Mar 10, 2017",0.375082,0.392567,0.215682,0.223495,296,376163
"Mar 09, 2017",0.322121,0.660304,0.319567,0.374808,2011,323045
"Mar 08, 2017",0.415597,0.418631,0.321872,0.322023,9,416783
"Mar 07, 2017",0.428035,0.434845,0.354480,0.415702,1299,429248
"Mar 06, 2017",0.382880,0.439372,0.359382,0.427907,3078,383959
"Mar 05, 2017",0.354738,0.382826,0.350187,0.382775,895,355728
"Mar 04, 2017",0.358731,0.359487,0.344831,0.354981,2703,359712
"Mar 03, 2017",0.354976,0.444963,0.354976,0.358046,134,355945
"Mar 02, 2017",0.459231,0.468159,0.353906,0.355062,934,460481
"Mar 01, 2017",0.427174,0.458413,0.425576,0.458413,2023,428333
"Feb 28, 2017",0.443406,0.448112,0.396950,0.427149,2843,444595
"Feb 27, 2017",0.430921,0.443125,0.430773,0.443125,73,432073
"Feb 26, 2017",0.401880,0.440835,0.383833,0.431447,4321,402949
"Feb 25, 2017",0.394510,0.421759,0.387333,0.401729,1220,395556
"Feb 24, 2017",0.432495,0.442704,0.394797,0.395612,1984,433639
"Feb 23, 2017",0.404005,0.433937,0.404005,0.430286,3969,405068
"Feb 22, 2017",0.424661,0.425251,0.404066,0.404066,1520,425774
"Feb 21, 2017",0.437051,0.546692,0.417893,0.424851,16,438196
"Feb 20, 2017",0.409618,0.437541,0.407822,0.437335,814,410689
"Feb 19, 2017",0.438874,0.443025,0.407575,0.409298,713,440020
"Feb 18, 2017",0.433186,0.439374,0.412827,0.438733,3,434314
"Feb 17, 2017",0.424518,0.446878,0.424319,0.431917,2418,425621
"Feb 16, 2017",0.428429,0.533674,0.428429,0.530611,0,429540
"Feb 15, 2017",0.424621,0.428935,0.422667,0.428357,343,425721
"Feb 14, 2017",0.434806,0.438820,0.395925,0.423920,2659,435931
"Feb 13, 2017",0.438753,0.439428,0.427984,0.434327,703,439888
"Feb 12, 2017",0.435899,0.476697,0.413680,0.438883,3216,437025
"Feb 11, 2017",0.462744,0.462921,0.412323,0.436303,88,463938
"Feb 10, 2017",0.456000,0.464849,0.433585,0.462639,1848,457144
"Feb 09, 2017",0.416244,0.455428,0.383409,0.455428,639,417287
"Feb 08, 2017",0.401581,0.418512,0.399278,0.415607,1757,402586
"Feb 07, 2017",0.411651,0.476731,0.399881,0.401215,962,412680
"Feb 06, 2017",0.416958,0.417307,0.395213,0.410863,1642,417999
"Feb 05, 2017",0.497833,0.524671,0.416528,0.416528,4994,499075
"Feb 04, 2017",0.502525,0.536516,0.453647,0.497550,3149,503778
"Feb 03, 2017",0.540342,0.627285,0.453753,0.501795,1031,541687
"Feb 02, 2017",0.652090,0.655589,0.523376,0.540524,3873,653711
"Feb 01, 2017",0.592182,0.653095,0.575628,0.652150,1223,593652
"Jan 31, 2017",0.693710,0.700999,0.582178,0.592274,1396,695430
"Jan 30, 2017",0.619347,0.694585,0.561813,0.693971,3209,620880
"Jan 29, 2017",0.588396,0.698847,0.557288,0.619362,2287,589851
"Jan 28, 2017",0.617411,0.635490,0.588239,0.588392,204,618937
