Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.015333,0.016256,0.013040,0.015304,"22,702,200","417,768,000"
"Jun 26, 2017",0.016160,0.016781,0.012761,0.015333,"27,113,100","439,867,000"
"Jun 25, 2017",0.016837,0.018413,0.015563,0.016173,"19,935,300","457,829,000"
"Jun 24, 2017",0.018914,0.019343,0.016771,0.016932,"9,400,220","513,770,000"
"Jun 23, 2017",0.019378,0.020091,0.018372,0.018969,"35,910,700","525,836,000"
"Jun 22, 2017",0.018790,0.019420,0.017986,0.019345,"26,403,300","509,362,000"
"Jun 21, 2017",0.018875,0.019935,0.017883,0.018817,"27,763,200","511,098,000"
"Jun 20, 2017",0.019511,0.022364,0.018400,0.018842,"75,255,900","527,770,000"
"Jun 19, 2017",0.015906,0.020173,0.015473,0.019446,"58,745,100","429,819,000"
"Jun 18, 2017",0.016509,0.017139,0.015147,0.015913,"21,656,800","445,594,000"
"Jun 17, 2017",0.015681,0.017573,0.015011,0.016550,"39,052,300","422,802,000"
"Jun 16, 2017",0.014472,0.016091,0.013474,0.015742,"28,864,200","389,793,000"
"Jun 15, 2017",0.014089,0.014800,0.012088,0.014413,"20,135,300","379,086,000"
"Jun 14, 2017",0.015761,0.015983,0.013488,0.014094,"17,277,000","423,649,000"
"Jun 13, 2017",0.014019,0.016346,0.013144,0.015787,"33,813,100","376,404,000"
"Jun 12, 2017",0.015223,0.016333,0.012811,0.013958,"29,227,000","408,262,000"
"Jun 11, 2017",0.015344,0.016671,0.014820,0.015240,"28,378,600","411,032,000"
"Jun 10, 2017",0.018536,0.018547,0.015406,0.015435,"40,792,200","495,932,000"
"Jun 09, 2017",0.014874,0.018624,0.014823,0.018624,"56,713,200","397,410,000"
"Jun 08, 2017",0.013986,0.015210,0.013348,0.014899,"29,928,200","373,208,000"
"Jun 07, 2017",0.015661,0.016735,0.013346,0.013905,"32,680,300","417,322,000"
"Jun 06, 2017",0.015418,0.016630,0.013850,0.015663,"45,840,900","410,288,000"
"Jun 05, 2017",0.014369,0.017244,0.014304,0.015390,"54,687,500","381,911,000"
"Jun 04, 2017",0.014459,0.017676,0.013428,0.014407,"113,518,000","383,845,000"
"Jun 03, 2017",0.010089,0.017093,0.009614,0.014981,"122,253,000","267,588,000"
"Jun 02, 2017",0.008513,0.010634,0.008436,0.010058,"39,687,800","225,553,000"
"Jun 01, 2017",0.007472,0.008527,0.007402,0.008492,"20,168,700","197,803,000"
"May 31, 2017",0.007782,0.007842,0.007145,0.007476,"15,261,900","205,818,000"
"May 30, 2017",0.008091,0.008810,0.007686,0.007797,"21,492,800","213,820,000"
