Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.175383,0.202047,0.161972,0.201823,"441,507","105,230,000"
"Jun 26, 2017",0.193157,0.198721,0.156030,0.167869,"368,102","115,894,000"
"Jun 25, 2017",0.217497,0.217497,0.186657,0.193553,"329,813","130,498,000"
"Jun 24, 2017",0.205632,0.239221,0.205632,0.217824,"636,859","123,379,000"
"Jun 23, 2017",0.190086,0.213423,0.185783,0.205547,"533,127","114,052,000"
"Jun 22, 2017",0.187515,0.194887,0.185110,0.190536,"461,963","112,509,000"
"Jun 21, 2017",0.199367,0.201334,0.182629,0.186606,"411,368","119,620,000"
"Jun 20, 2017",0.204484,0.211379,0.194356,0.199244,"448,409","122,690,000"
"Jun 19, 2017",0.205739,0.211352,0.198305,0.204395,"648,867","123,443,000"
"Jun 18, 2017",0.223321,0.230680,0.204039,0.206830,"504,806","133,993,000"
"Jun 17, 2017",0.214990,0.224510,0.210375,0.223182,"413,302","128,994,000"
"Jun 16, 2017",0.210999,0.220767,0.197080,0.214701,"439,413","126,599,000"
"Jun 15, 2017",0.205073,0.214728,0.176936,0.211354,"605,386","123,044,000"
"Jun 14, 2017",0.233476,0.250227,0.197646,0.206808,"457,180","140,086,000"
"Jun 13, 2017",0.231455,0.257613,0.213796,0.233669,"322,773","138,873,000"
"Jun 12, 2017",0.261686,0.274391,0.196804,0.228099,"465,761","157,012,000"
"Jun 11, 2017",0.247641,0.268000,0.216199,0.261975,"350,691","148,585,000"
"Jun 10, 2017",0.291971,0.296675,0.249286,0.251142,"547,232","175,183,000"
"Jun 09, 2017",0.255118,0.308997,0.255118,0.291858,"2,046,620","153,071,000"
"Jun 08, 2017",0.215247,0.233817,0.206647,0.233817,"574,264","129,148,000"
"Jun 07, 2017",0.195861,0.216884,0.189452,0.213678,"486,659","117,517,000"
"Jun 06, 2017",0.195070,0.208348,0.189575,0.195823,"303,982","117,042,000"
"Jun 05, 2017",0.180541,0.195493,0.175981,0.194524,"296,383","108,325,000"
"Jun 04, 2017",0.193467,0.193467,0.173483,0.180977,"338,421","116,080,000"
"Jun 03, 2017",0.201099,0.207995,0.178682,0.193952,"310,609","120,659,000"
"Jun 02, 2017",0.190205,0.216203,0.176365,0.201133,"221,113","114,123,000"
"Jun 01, 2017",0.186313,0.193553,0.171029,0.190110,"320,605","111,788,000"
"May 31, 2017",0.196077,0.213201,0.176375,0.186167,"405,349","117,646,000"
"May 30, 2017",0.171790,0.200703,0.167560,0.195456,"329,057","103,074,000"
