Date,Open,High,Low,Close,Volume,Market Cap
"Jun 30, 2017",3.62,4.16,3.57,3.85,156179,20810800
"Jun 29, 2017",3.64,3.84,3.49,3.61,111950,20932300
"Jun 28, 2017",3.75,3.85,3.24,3.65,85866,21573600
"Jun 27, 2017",3.23,3.87,2.94,3.73,80317,18579900
"Jun 26, 2017",3.60,3.61,2.72,3.27,76740,20711600
"Jun 25, 2017",3.19,3.72,3.15,3.60,35168,18341600
"Jun 24, 2017",3.90,3.96,3.08,3.20,21317,22406000
"Jun 23, 2017",3.74,4.11,3.15,3.90,34995,21496300
"Jun 22, 2017",3.24,4.25,3.18,3.74,27584,18580700
"Jun 21, 2017",4.18,4.33,3.17,3.23,55609,23995300
"Jun 20, 2017",4.49,4.64,3.98,4.38,71358,25076600
"Jun 19, 2017",3.98,4.49,3.79,4.49,97039,22138000
"Jun 18, 2017",3.42,4.01,3.07,3.98,48308,19035900
"Jun 17, 2017",2.75,4.01,2.38,3.52,90390,15251300
"Jun 16, 2017",1.80,2.99,1.72,2.99,42757,9962320
"Jun 15, 2017",1.79,1.99,1.55,1.80,9162,9915700
"Jun 14, 2017",1.75,2.20,1.74,1.79,26717,9700300
"Jun 13, 2017",1.71,2.04,1.59,1.76,44879,9475400
"Jun 12, 2017",2.00,2.05,1.51,1.69,9988,11039400
"Jun 11, 2017",1.99,2.00,1.69,2.00,14389,10969300
"Jun 10, 2017",1.96,1.99,1.75,1.99,18395,10726100
"Jun 09, 2017",1.87,2.03,1.55,1.95,31838,10269700
"Jun 08, 2017",1.66,2.10,1.56,1.88,8896,9095070
"Jun 07, 2017",2.20,2.21,1.41,1.65,19466,12029800
"Jun 06, 2017",1.62,2.21,1.62,2.20,14070,8865530
"Jun 05, 2017",1.66,1.93,1.50,1.62,14872,9088370
"Jun 04, 2017",1.73,1.89,1.56,1.67,11097,9477210
"Jun 03, 2017",1.49,1.92,1.46,1.74,17217,8171040
"Jun 02, 2017",1.67,1.68,1.35,1.50,33135,9084790
"Jun 01, 2017",1.61,1.94,1.35,1.57,67272,8791970
"May 31, 2017",1.56,1.81,1.50,1.61,67103,8484180
"May 30, 2017",1.79,1.92,1.49,1.55,23070,9704640
"May 29, 2017",1.63,1.86,1.59,1.79,21710,8865050
"May 28, 2017",1.74,1.82,1.49,1.64,30713,9443170
"May 27, 2017",1.85,1.90,1.16,1.73,31944,10032200
"May 26, 2017",1.85,2.51,1.70,1.84,59853,10026100
"May 25, 2017",1.73,2.99,1.63,1.86,15646,9388220
"May 24, 2017",1.51,2.02,1.51,1.73,4816,8185390
"May 23, 2017",1.52,1.83,1.25,1.51,2378,8237610
"May 22, 2017",1.43,1.80,1.22,1.52,8335,7757820
"May 21, 2017",1.46,1.63,1.01,1.43,56496,7928270
"May 20, 2017",1.34,1.72,1.07,1.46,9409,7266570
"May 19, 2017",1.27,1.68,1.21,1.34,11269,6862210
"May 18, 2017",1.27,1.63,1.25,1.27,5730,6879510
"May 17, 2017",1.41,1.60,1.16,1.27,18019,7635030
"May 16, 2017",1.40,1.62,1.37,1.41,15208,7595230
"May 15, 2017",1.45,1.68,1.37,1.40,19431,7831930
"May 14, 2017",1.39,1.62,1.39,1.45,13358,7516270
"May 13, 2017",1.17,1.49,1.12,1.38,17457,6354960
"May 12, 2017",1.59,1.59,1.15,1.18,15309,8610050
"May 11, 2017",1.51,1.93,1.49,1.59,30248,8150300
"May 10, 2017",1.49,1.82,1.49,1.50,1308,8086880
"May 09, 2017",1.73,2.16,1.49,1.49,3963,9364680
"May 08, 2017",3.03,3.30,1.51,1.73,8431,16404900
"May 07, 2017",1.43,3.07,1.42,3.03,30722,7717670
"May 06, 2017",1.02,1.90,1.02,1.42,22599,5499670
"May 05, 2017",0.794134,1.33,0.624057,1.01,11549,4297300
"May 04, 2017",0.874069,1.25,0.602384,0.792961,11433,4729850
"May 03, 2017",0.996334,1.27,0.873699,0.873699,2742,5391460
"May 02, 2017",0.971175,1.29,0.826513,0.995603,14493,5255320
"May 01, 2017",0.964479,1.16,0.961285,0.971962,39759,5219080
"Apr 30, 2017",1.07,1.13,0.927739,0.964712,11160,5798150
"Apr 29, 2017",1.04,1.26,1.04,1.07,8786,5639280
"Apr 28, 2017",1.05,1.19,0.918863,1.04,10179,5704540
"Apr 27, 2017",1.19,1.41,0.905697,0.923702,13845,6450680
"Apr 26, 2017",1.27,1.34,1.02,1.19,10014,6848730
"Apr 25, 2017",0.952430,1.39,0.952297,1.27,11478,5148170
"Apr 24, 2017",0.967994,1.39,0.734598,0.952564,13612,5232300
"Apr 23, 2017",1.45,1.45,0.917897,0.966130,10439,7712150
"Apr 22, 2017",1.34,1.47,1.10,1.45,3406,7135520
"Apr 21, 2017",1.65,1.65,0.844531,1.34,9706,-
"Apr 20, 2017",1.45,1.67,0.920407,1.65,6513,-
"Apr 19, 2017",1.21,1.64,1.21,1.45,5050,-
"Apr 18, 2017",1.07,1.33,0.812100,1.33,11299,-
"Apr 17, 2017",0.831500,1.07,0.796905,1.07,3733,-
