Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",6.62,6.85,5.40,6.68,"8,249,570","651,371,000"
"Jun 26, 2017",7.10,7.23,5.32,6.36,"9,864,730","698,652,000"
"Jun 25, 2017",7.67,7.68,6.66,7.08,"5,651,070","754,894,000"
"Jun 24, 2017",8.41,8.56,7.47,7.69,"9,579,230","828,315,000"
"Jun 23, 2017",7.14,8.49,6.90,8.35,"8,762,870","702,458,000"
"Jun 22, 2017",6.99,7.27,6.85,7.12,"6,066,790","687,720,000"
"Jun 21, 2017",7.07,7.67,6.64,6.98,"13,564,400","695,668,000"
"Jun 20, 2017",7.72,7.84,6.86,7.03,"13,751,300","759,460,000"
"Jun 19, 2017",7.45,8.18,7.30,7.70,"14,198,200","733,745,000"
"Jun 18, 2017",7.76,7.85,7.31,7.42,"7,625,120","763,324,000"
"Jun 17, 2017",7.97,7.97,7.63,7.76,"8,056,000","784,488,000"
"Jun 16, 2017",7.97,8.20,7.51,8.09,"10,005,000","784,397,000"
"Jun 15, 2017",8.09,8.40,6.58,7.96,"11,399,100","796,567,000"
"Jun 14, 2017",9.38,10.08,7.64,8.07,"18,743,800","922,947,000"
"Jun 13, 2017",7.40,9.55,7.40,9.46,"24,455,300","727,868,000"
"Jun 12, 2017",8.64,9.61,6.98,7.49,"19,884,300","850,720,000"
"Jun 11, 2017",7.00,9.61,6.46,8.70,"40,501,000","688,678,000"
"Jun 10, 2017",8.60,8.83,6.97,7.11,"37,558,500","846,058,000"
"Jun 09, 2017",9.33,10.54,8.54,8.60,"25,801,700","917,966,000"
"Jun 08, 2017",9.47,9.76,8.89,9.36,"17,328,100","931,815,000"
"Jun 07, 2017",10.45,11.13,8.94,9.39,"22,802,600","1,028,700,000"
"Jun 06, 2017",10.48,11.10,9.87,10.62,"24,926,500","1,031,430,000"
"Jun 05, 2017",10.56,11.26,10.03,10.40,"29,752,700","1,039,320,000"
"Jun 04, 2017",9.02,10.85,8.13,10.48,"40,558,300","887,171,000"
"Jun 03, 2017",8.62,11.68,8.61,9.30,"76,687,700","848,350,000"
"Jun 02, 2017",6.00,9.21,5.85,8.68,"61,652,500","590,322,000"
"Jun 01, 2017",5.20,6.12,5.04,6.00,"17,263,800","511,918,000"
"May 31, 2017",6.00,6.39,4.93,5.09,"38,378,600","590,175,000"
"May 30, 2017",3.80,5.99,3.76,5.87,"29,487,300","374,312,000"
