Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.203107,0.203107,0.162181,0.190576,"1,810,250","106,777,000"
"Jun 26, 2017",0.216036,0.219409,0.170291,0.203107,"3,884,670","113,570,000"
"Jun 25, 2017",0.226086,0.242112,0.200399,0.214394,"2,806,090","118,848,000"
"Jun 24, 2017",0.239278,0.244743,0.222140,0.226106,"3,158,090","125,777,000"
"Jun 23, 2017",0.222455,0.252728,0.215998,0.237608,"3,715,500","116,929,000"
"Jun 22, 2017",0.219032,0.228552,0.212799,0.222279,"3,196,760","115,125,000"
"Jun 21, 2017",0.215142,0.231963,0.200571,0.216512,"4,562,020","113,076,000"
"Jun 20, 2017",0.229831,0.245686,0.210464,0.215615,"8,343,280","120,791,000"
"Jun 19, 2017",0.180375,0.250917,0.179325,0.232926,"17,002,500","94,794,400"
"Jun 18, 2017",0.178755,0.184346,0.176613,0.180604,"1,509,520","93,939,000"
"Jun 17, 2017",0.191446,0.191446,0.177281,0.178279,"2,353,700","100,604,000"
"Jun 16, 2017",0.181803,0.196275,0.177657,0.190844,"2,893,600","95,532,600"
"Jun 15, 2017",0.187500,0.201439,0.150555,0.183603,"4,726,840","98,522,000"
"Jun 14, 2017",0.206554,0.230082,0.176512,0.185410,"5,257,990","108,529,000"
"Jun 13, 2017",0.190304,0.227793,0.188035,0.206887,"6,284,700","99,986,800"
"Jun 12, 2017",0.202220,0.202674,0.168850,0.195979,"4,338,980","106,243,000"
"Jun 11, 2017",0.191257,0.204022,0.184142,0.193037,"2,564,390","100,479,000"
"Jun 10, 2017",0.215025,0.220464,0.190617,0.191397,"3,738,910","112,961,000"
"Jun 09, 2017",0.201306,0.225063,0.201306,0.212913,"5,353,740","105,749,000"
"Jun 08, 2017",0.187329,0.204018,0.185307,0.201585,"2,939,920","98,402,700"
"Jun 07, 2017",0.236201,0.246908,0.186141,0.186304,"6,774,280","124,070,000"
"Jun 06, 2017",0.192236,0.231502,0.172783,0.231502,"9,529,000","100,972,000"
"Jun 05, 2017",0.192039,0.238293,0.189913,0.193392,"17,545,700","100,864,000"
"Jun 04, 2017",0.157408,0.197177,0.146929,0.191307,"8,685,970","82,671,200"
"Jun 03, 2017",0.138932,0.164786,0.138343,0.157271,"8,900,280","72,964,400"
"Jun 02, 2017",0.107739,0.137871,0.106580,0.137871,"4,463,960","56,580,100"
"Jun 01, 2017",0.105052,0.112850,0.102409,0.107597,"1,537,910","55,166,600"
"May 31, 2017",0.098869,0.105598,0.093217,0.105084,"1,225,950","51,917,400"
"May 30, 2017",0.117395,0.117395,0.098185,0.098888,"2,142,450","61,643,100"
