Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",1.01,1.06,0.988021,1.01,"171,805,000","146,156,000"
"Jun 26, 2017",1.01,1.06,0.970667,1.01,"195,886,000","146,480,000"
"Jun 25, 2017",1.02,1.04,0.998245,1.01,"102,005,000","147,510,000"
"Jun 24, 2017",1.01,1.04,1.00,1.02,"79,286,600","145,582,000"
"Jun 23, 2017",0.972496,1.01,0.969362,1.01,"41,182,300","140,714,000"
"Jun 22, 2017",0.981174,0.995994,0.967955,0.972902,"63,105,300","141,970,000"
"Jun 21, 2017",0.975087,0.997024,0.951189,0.981361,"108,254,000","141,089,000"
"Jun 20, 2017",0.986156,0.990411,0.956381,0.975272,"88,767,300","125,729,000"
"Jun 19, 2017",1.00,1.01,0.982742,0.986406,"75,733,700","127,821,000"
"Jun 18, 2017",0.988674,1.04,0.976657,1.00,"114,519,000","126,050,000"
"Jun 17, 2017",1.02,1.03,0.978804,0.988584,"104,554,000","130,158,000"
"Jun 16, 2017",1.01,1.05,1.01,1.02,"109,032,000","129,124,000"
"Jun 15, 2017",1.03,1.06,0.995499,1.02,"243,107,000","131,306,000"
"Jun 14, 2017",1.01,1.06,1.01,1.03,"139,975,000","128,630,000"
"Jun 13, 2017",1.03,1.04,1.00,1.01,"105,293,000","131,201,000"
"Jun 12, 2017",1.01,1.09,1.00,1.02,"211,119,000","128,293,000"
"Jun 11, 2017",1.02,1.03,0.996783,1.01,"84,910,500","130,666,000"
"Jun 10, 2017",0.999158,1.03,0.998310,1.02,"80,163,300","127,386,000"
"Jun 09, 2017",1.00,1.01,0.998157,1.00,"58,031,200","127,906,000"
"Jun 08, 2017",1.02,1.03,1.00,1.00,"65,560,000","106,791,000"
"Jun 07, 2017",1.00,1.03,0.996593,1.01,"97,386,100","105,220,000"
"Jun 06, 2017",1.02,1.04,0.995467,1.00,"152,408,000","106,682,000"
"Jun 05, 2017",1.01,1.03,1.01,1.02,"49,132,500","106,012,000"
"Jun 04, 2017",1.02,1.03,1.01,1.01,"49,194,800","107,470,000"
"Jun 03, 2017",1.03,1.04,1.02,1.02,"43,629,000","107,827,000"
"Jun 02, 2017",1.03,1.05,1.02,1.02,"49,197,100","108,350,000"
"Jun 01, 2017",1.04,1.05,1.02,1.03,"100,614,000","108,739,000"
"May 31, 2017",1.01,1.06,1.01,1.04,"84,739,900","106,342,000"
"May 30, 2017",1.02,1.04,1.00,1.01,"108,331,000","107,170,000"
