Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.264282,0.283306,0.224465,0.275827,"385,082","24,352,900"
"Jun 26, 2017",0.307194,0.312437,0.242318,0.254047,"389,974","28,307,200"
"Jun 25, 2017",0.301232,0.313256,0.283711,0.307338,"406,811","27,757,800"
"Jun 24, 2017",0.328270,0.331964,0.293628,0.303895,"365,931","30,249,200"
"Jun 23, 2017",0.314363,0.341615,0.308858,0.328277,"348,881","28,967,800"
"Jun 22, 2017",0.315374,0.324380,0.298732,0.318233,"473,584","29,061,000"
"Jun 21, 2017",0.316074,0.333262,0.296526,0.314844,"480,232","29,125,400"
"Jun 20, 2017",0.284655,0.316369,0.274154,0.316044,"565,546","26,230,200"
"Jun 19, 2017",0.299654,0.314307,0.270002,0.282527,"505,211","27,612,400"
"Jun 18, 2017",0.323248,0.325003,0.294768,0.299919,"373,636","29,786,500"
"Jun 17, 2017",0.337609,0.349267,0.316213,0.323233,"326,710","31,109,800"
"Jun 16, 2017",0.306018,0.355588,0.291768,0.337710,"342,729","28,198,800"
"Jun 15, 2017",0.303292,0.318120,0.252083,0.306026,"374,259","27,947,600"
"Jun 14, 2017",0.375666,0.376088,0.286081,0.302514,"421,976","34,616,700"
"Jun 13, 2017",0.334009,0.411542,0.323268,0.375435,"753,738","30,778,100"
"Jun 12, 2017",0.370857,0.406972,0.310490,0.334737,"499,255","34,173,500"
"Jun 11, 2017",0.374420,0.411448,0.365379,0.371581,"541,320","34,501,900"
"Jun 10, 2017",0.378047,0.469413,0.365887,0.374673,"785,440","34,836,100"
"Jun 09, 2017",0.444444,0.462217,0.376183,0.378310,"1,542,910","40,954,400"
"Jun 08, 2017",0.440220,0.466118,0.397334,0.445008,"557,456","40,565,200"
"Jun 07, 2017",0.491362,0.505638,0.431862,0.439314,"690,540","45,277,800"
"Jun 06, 2017",0.463742,0.503838,0.366019,0.489436,"1,366,540","42,732,700"
