Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",1.83,1.88,1.40,1.78,"654,992","68,311,800"
"Jun 26, 2017",2.00,2.03,1.46,1.83,"670,580","74,745,500"
"Jun 25, 2017",2.08,2.15,1.89,1.98,"405,325","77,446,800"
"Jun 24, 2017",2.28,2.34,2.00,2.08,"570,038","84,913,300"
"Jun 23, 2017",2.12,2.36,2.03,2.28,"736,205","79,080,700"
"Jun 22, 2017",1.96,2.15,1.81,2.11,"1,182,750","72,978,500"
"Jun 21, 2017",1.72,1.99,1.65,1.97,"784,132","63,966,400"
"Jun 20, 2017",1.87,2.06,1.65,1.69,"896,831","69,569,200"
"Jun 19, 2017",2.16,2.23,1.79,1.90,"1,324,850","80,415,500"
"Jun 18, 2017",2.36,2.36,2.09,2.15,"719,973","87,942,600"
"Jun 17, 2017",2.23,2.40,2.15,2.30,"927,764","82,829,200"
"Jun 16, 2017",2.05,2.22,1.96,2.22,"527,127","76,169,800"
"Jun 15, 2017",2.16,2.18,1.75,2.05,"670,618","80,176,900"
"Jun 14, 2017",2.30,2.43,2.05,2.15,"858,336","85,628,100"
"Jun 13, 2017",2.30,2.42,2.15,2.30,"1,261,890","85,358,800"
"Jun 12, 2017",2.70,2.88,2.02,2.29,"1,882,250","100,475,000"
"Jun 11, 2017",2.32,2.74,2.04,2.74,"1,407,090","86,253,800"
"Jun 10, 2017",2.35,2.72,1.87,2.34,"1,815,540","87,217,500"
"Jun 09, 2017",1.96,2.43,1.86,2.35,"1,082,850","72,816,100"
"Jun 08, 2017",2.02,2.21,1.85,1.93,"957,565","74,905,900"
"Jun 07, 2017",2.01,2.26,1.99,2.01,"1,050,850","74,631,400"
"Jun 06, 2017",1.69,2.14,1.49,2.01,"1,133,170","62,759,000"
"Jun 05, 2017",1.76,1.91,1.60,1.68,"1,169,150","65,398,400"
"Jun 04, 2017",2.00,2.13,1.56,1.76,"1,441,410","74,128,100"
"Jun 03, 2017",1.68,2.25,1.52,2.00,"2,908,980","62,396,800"
"Jun 02, 2017",0.978207,1.71,0.978207,1.67,"1,634,670","36,284,600"
"Jun 01, 2017",0.846043,1.28,0.836419,1.00,"1,527,110","31,375,500"
"May 31, 2017",0.657104,0.899269,0.558692,0.854819,"846,622","24,363,700"
"May 30, 2017",0.586721,0.665038,0.557498,0.654602,"472,152","21,749,600"
