Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",101.95,195.47,27.05,87.19,"403,049","200,574,000"
"Jun 28, 2017",91.63,538.97,70.25,102.19,"474,827","180,253,000"
"Jun 27, 2017",79.69,92.05,68.18,91.12,"660,872","156,778,000"
"Jun 26, 2017",88.64,104.08,64.75,73.60,"365,080","174,386,000"
"Jun 25, 2017",81.98,137.37,76.89,87.86,"448,249","161,284,000"
"Jun 24, 2017",91.33,101.99,65.10,91.28,"533,137","179,678,000"
"Jun 23, 2017",96.25,109.77,81.78,88.08,"648,668","189,303,000"
"Jun 22, 2017",102.20,112.83,72.42,101.09,"595,125","201,008,000"
"Jun 21, 2017",125.79,425.01,69.71,101.43,"196,939","247,407,000"
"Jun 20, 2017",182.19,182.19,34.75,125.65,"875,154","358,237,000"
"Jun 19, 2017",71.05,355.37,70.46,153.59,"1,782,450","139,690,000"
"Jun 18, 2017",74.44,120.16,57.11,80.06,"460,199","143,643,000"
"Jun 17, 2017",48.57,214.17,42.36,74.51,"598,619","93,724,400"
"Jun 16, 2017",46.21,85.20,28.25,47.63,"664,325",-
"Jun 15, 2017",47.99,143.87,28.58,78.91,"681,138",-
"Jun 14, 2017",38.68,106.85,11.68,48.00,"725,719",-
"Jun 13, 2017",38.43,252.32,15.39,54.15,"386,655",-
"Jun 12, 2017",34.22,329.42,11.91,23.30,"209,633",-
"Jun 11, 2017",3.35,112.39,0.000337,0.000338,"311,346",-
"Jun 10, 2017",58.58,84.49,3.16,3.16,"379,805",-
"Jun 09, 2017",49.18,259.75,47.15,58.61,"202,187",-
"Jun 08, 2017",48.96,253.27,33.71,48.56,"450,758",-
