Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",0.944339,1.04,0.864610,1.04,"267,114","31,531,900"
"Jun 28, 2017",0.851379,0.969402,0.817202,0.950178,"272,284","28,428,000"
"Jun 27, 2017",0.694285,0.963464,0.690867,0.851081,"295,780","23,182,500"
"Jun 26, 2017",0.823510,0.946906,0.587592,0.635678,"322,426","27,497,400"
"Jun 25, 2017",0.834211,0.920466,0.748727,0.822442,"384,914","27,854,700"
"Jun 24, 2017",0.951744,0.968844,0.803499,0.836280,"240,055","31,779,200"
"Jun 23, 2017",0.899000,0.957001,0.822625,0.951744,"236,741","30,018,100"
"Jun 22, 2017",0.885365,0.921970,0.799720,0.898680,"283,978","29,562,800"
"Jun 21, 2017",0.876960,1.02,0.872268,0.881444,"294,155","29,282,100"
"Jun 20, 2017",0.908409,0.951835,0.843629,0.861932,"219,490","30,332,200"
"Jun 19, 2017",0.974893,0.985795,0.764745,0.905522,"538,365","32,552,200"
"Jun 18, 2017",0.790154,0.979995,0.784962,0.971079,"424,616","26,383,600"
"Jun 17, 2017",0.749779,0.812223,0.737257,0.792918,"148,457","25,035,500"
"Jun 16, 2017",0.629284,0.799309,0.560773,0.747979,"304,670","21,012,100"
"Jun 15, 2017",0.527376,0.686847,0.466298,0.629990,"351,056","17,609,300"
"Jun 14, 2017",0.498364,0.711638,0.491561,0.527012,"701,675","16,640,600"
"Jun 13, 2017",0.373042,0.561392,0.373042,0.501912,"467,150","12,456,100"
"Jun 12, 2017",0.365529,0.418425,0.309096,0.371936,"471,021","12,205,200"
"Jun 11, 2017",0.374488,0.379817,0.349647,0.365665,"165,441","12,504,300"
"Jun 10, 2017",0.358930,0.388241,0.357994,0.377910,"284,093","11,984,800"
"Jun 09, 2017",0.355524,0.391504,0.343961,0.358673,"185,381","11,871,100"
"Jun 08, 2017",0.375374,0.379707,0.342179,0.357117,"155,356","12,533,900"
"Jun 07, 2017",0.411938,0.412145,0.369877,0.374025,"227,363","13,754,800"
"Jun 06, 2017",0.329478,0.412073,0.327160,0.411905,"225,844","11,001,400"
"Jun 05, 2017",0.300834,0.333467,0.288491,0.329066,"217,897","10,045,000"
"Jun 04, 2017",0.250811,0.308638,0.248712,0.301813,"168,924","8,374,700"
"Jun 03, 2017",0.281841,0.284571,0.245544,0.251218,"153,710","9,410,810"
"Jun 02, 2017",0.269694,0.284427,0.262564,0.281840,"132,756","9,005,220"
"Jun 01, 2017",0.295550,0.300659,0.248913,0.268760,"198,988","9,868,560"
"May 31, 2017",0.270653,0.317094,0.221410,0.296370,"311,499","9,037,240"
"May 30, 2017",0.298994,0.299265,0.246072,0.270132,"162,213","9,983,560"
"May 29, 2017",0.269857,0.306592,0.261482,0.298711,"161,505","9,010,660"
"May 28, 2017",0.248680,0.282215,0.248680,0.270213,"154,985","8,303,550"
"May 27, 2017",0.268234,0.282492,0.223809,0.247207,"136,870","8,956,470"
"May 26, 2017",0.315409,0.343542,0.257269,0.269658,"272,381","10,531,700"
"May 25, 2017",0.343140,0.359661,0.225126,0.316724,"248,994","11,457,600"
"May 24, 2017",0.333566,0.362863,0.329205,0.345305,"1,130,730","11,137,900"
"May 23, 2017",0.318368,0.335646,0.318368,0.334569,"139,694","10,630,500"
"May 22, 2017",0.309323,0.332191,0.299651,0.316467,"239,357","10,328,400"
"May 21, 2017",0.298453,0.317121,0.290398,0.309010,"239,057","9,965,490"
"May 20, 2017",0.301499,0.319005,0.293028,0.298646,"200,324","10,067,200"
"May 19, 2017",0.283075,0.314563,0.278595,0.301966,"202,166","9,452,020"
"May 18, 2017",0.267886,0.283316,0.265374,0.279491,"140,945","8,944,850"
"May 17, 2017",0.265619,0.277360,0.252636,0.268581,"116,710","8,869,150"
"May 16, 2017",0.258657,0.272514,0.246305,0.265859,"121,708","8,636,690"
"May 15, 2017",0.270145,0.290167,0.251822,0.262111,"139,564","9,020,280"
"May 14, 2017",0.302114,0.318919,0.262206,0.270105,"148,367","10,087,700"
"May 13, 2017",0.317242,0.317708,0.272433,0.315445,"118,145","10,592,900"
"May 12, 2017",0.271519,0.317249,0.249455,0.317249,"143,900","9,066,150"
"May 11, 2017",0.247248,0.290686,0.246835,0.272162,"132,135","8,255,730"
"May 10, 2017",0.238360,0.246855,0.229256,0.246020,"107,632","7,958,960"
"May 09, 2017",0.236559,0.245605,0.232589,0.237930,"111,263","7,898,820"
"May 08, 2017",0.230558,0.243396,0.221060,0.236458,"148,528","7,698,450"
"May 07, 2017",0.222996,0.238889,0.218583,0.233353,"115,497","7,445,950"
"May 06, 2017",0.207364,0.237782,0.203612,0.222496,"158,111","6,923,990"
"May 05, 2017",0.217196,0.237984,0.206503,0.207034,"132,671","7,252,280"
"May 04, 2017",0.222741,0.235052,0.201002,0.217981,"178,092","7,437,430"
"May 03, 2017",0.212353,0.245898,0.208745,0.222486,"223,722","7,090,570"
"May 02, 2017",0.209365,0.224574,0.189161,0.211749,"100,302","6,990,800"
"May 01, 2017",0.204119,0.222016,0.204119,0.209329,"71,039","6,815,630"
"Apr 30, 2017",0.201400,0.211294,0.187181,0.203831,"51,704","6,724,850"
"Apr 29, 2017",0.205019,0.210533,0.196219,0.203357,"39,968","6,845,690"
