Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",3.95,4.31,3.66,4.29,"2,439,380","395,139,000"
"Jun 26, 2017",4.64,4.65,3.53,3.83,"6,562,970","464,448,000"
"Jun 25, 2017",4.88,4.96,4.45,4.62,"3,048,820","488,443,000"
"Jun 24, 2017",5.21,5.34,4.73,4.86,"2,400,890","521,488,000"
"Jun 23, 2017",4.91,5.36,4.81,5.21,"2,166,710","491,211,000"
"Jun 22, 2017",4.91,5.05,4.80,4.92,"2,058,720","490,781,000"
"Jun 21, 2017",5.06,5.12,4.87,4.89,"2,505,130","506,126,000"
"Jun 20, 2017",5.15,5.33,4.93,5.07,"3,440,970","514,943,000"
"Jun 19, 2017",5.02,5.30,4.93,5.15,"3,298,260","502,246,000"
"Jun 18, 2017",5.17,5.33,4.98,4.99,"1,459,430","517,299,000"
"Jun 17, 2017",5.16,5.38,5.03,5.18,"2,057,140","516,262,000"
"Jun 16, 2017",5.28,5.42,4.95,5.16,"1,920,540","527,868,000"
"Jun 15, 2017",5.09,5.36,4.34,5.28,"3,132,730","508,817,000"
"Jun 14, 2017",5.82,6.00,4.99,5.09,"2,377,380","582,270,000"
"Jun 13, 2017",5.33,5.86,5.23,5.77,"2,666,350","532,627,000"
"Jun 12, 2017",6.31,6.49,4.94,5.36,"2,913,670","631,105,000"
"Jun 11, 2017",5.67,6.40,5.63,6.32,"2,939,820","566,858,000"
"Jun 10, 2017",6.34,7.01,5.50,5.82,"5,124,700","634,469,000"
"Jun 09, 2017",5.82,7.00,5.74,6.34,"3,963,370","581,550,000"
"Jun 08, 2017",5.29,5.92,5.09,5.82,"2,984,740","528,517,000"
"Jun 07, 2017",5.48,5.48,4.86,5.27,"2,448,950","548,427,000"
"Jun 06, 2017",5.69,5.69,4.94,5.51,"4,467,540","568,531,000"
"Jun 05, 2017",5.33,5.69,5.24,5.64,"3,095,220","533,405,000"
"Jun 04, 2017",5.16,5.58,4.44,5.35,"4,447,070","516,357,000"
"Jun 03, 2017",4.69,6.51,4.61,5.19,"10,124,100","468,617,000"
"Jun 02, 2017",3.40,4.64,3.40,4.53,"4,988,350","340,371,000"
"Jun 01, 2017",2.94,3.53,2.93,3.44,"3,224,130","294,035,000"
"May 31, 2017",2.43,3.08,2.39,2.95,"2,233,740","242,799,000"
"May 30, 2017",2.70,2.76,2.38,2.38,"2,066,020","269,773,000"
