Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.440395,0.458625,0.361432,0.458625,"370,649","39,507,100"
"Jun 26, 2017",0.526791,0.536051,0.372124,0.422809,"833,222","47,257,600"
"Jun 25, 2017",0.544116,0.566198,0.503202,0.527003,"505,133","48,811,700"
"Jun 24, 2017",0.581537,0.609193,0.528642,0.545051,"584,582","52,168,700"
"Jun 23, 2017",0.520157,0.626423,0.512762,0.581810,"654,147","46,662,400"
"Jun 22, 2017",0.545924,0.577277,0.489889,0.530782,"749,960","48,973,900"
"Jun 21, 2017",0.584205,0.586215,0.527702,0.546048,"604,548","52,408,100"
"Jun 20, 2017",0.605812,0.621834,0.573431,0.579795,"555,325","54,346,400"
"Jun 19, 2017",0.588478,0.637903,0.580247,0.606254,"740,527","52,791,400"
"Jun 18, 2017",0.620606,0.628523,0.573473,0.582374,"509,929","55,673,500"
"Jun 17, 2017",0.629000,0.666257,0.603858,0.624929,"476,990","56,426,500"
"Jun 16, 2017",0.629294,0.692838,0.603026,0.627561,"545,876","56,452,900"
"Jun 15, 2017",0.643198,0.664244,0.521169,0.664244,"773,662","57,700,200"
"Jun 14, 2017",0.724999,0.768916,0.616185,0.632368,"666,887","65,038,500"
"Jun 13, 2017",0.594660,0.780698,0.580090,0.719665,"1,087,250","53,346,000"
"Jun 12, 2017",0.705048,0.761823,0.558914,0.599043,"1,394,910","63,248,700"
"Jun 11, 2017",0.757840,0.782805,0.626991,0.705971,"1,139,700","67,984,600"
"Jun 10, 2017",0.866364,0.871053,0.744980,0.758415,"1,405,000","77,720,100"
"Jun 09, 2017",0.818498,0.891604,0.812963,0.840565,"1,693,790","73,426,100"
"Jun 08, 2017",0.801078,0.977518,0.764978,0.818223,"2,920,940","71,863,400"
"Jun 07, 2017",0.860735,1.08,0.824134,0.846760,"3,786,070","77,215,100"
"Jun 06, 2017",0.683270,0.914370,0.635113,0.868932,"2,527,870","61,295,000"
"Jun 05, 2017",0.598331,0.717654,0.594031,0.677211,"1,340,930","53,675,300"
"Jun 04, 2017",0.597586,0.629358,0.528887,0.598775,"899,918","53,608,400"
"Jun 03, 2017",0.513867,0.655768,0.463328,0.618170,"1,977,610","46,098,200"
"Jun 02, 2017",0.436297,0.552227,0.414950,0.516090,"1,480,500","39,139,500"
"Jun 01, 2017",0.303531,0.437372,0.303531,0.437372,"1,358,370","27,229,300"
"May 31, 2017",0.277783,0.304490,0.263339,0.299617,"297,214","24,919,400"
"May 30, 2017",0.285387,0.314108,0.271879,0.277700,"421,546","25,601,600"
"May 29, 2017",0.263591,0.369742,0.249413,0.285005,"189,804","23,646,300"
