Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",8.42,8.48,7.80,8.15,"1,275,190","25,426,800"
"Jun 28, 2017",7.74,8.42,7.64,8.38,"1,807,390","23,364,700"
"Jun 27, 2017",8.36,8.36,6.74,7.62,"1,781,410","25,249,400"
"Jun 26, 2017",9.31,9.48,7.61,8.36,"2,624,070","28,133,200"
"Jun 25, 2017",9.99,9.99,8.76,9.29,"2,804,700","30,161,200"
"Jun 24, 2017",9.98,10.60,9.74,10.19,"4,350,850","30,143,000"
"Jun 23, 2017",10.07,10.41,9.74,10.04,"3,239,950","30,428,100"
"Jun 22, 2017",9.68,10.24,9.60,10.13,"2,934,680","29,245,800"
"Jun 21, 2017",9.85,10.26,9.03,9.68,"2,887,320","29,760,600"
"Jun 20, 2017",8.99,10.02,8.96,9.83,"2,692,970","27,165,200"
"Jun 19, 2017",9.31,10.24,8.92,9.00,"3,684,230","28,112,000"
"Jun 18, 2017",10.07,10.14,8.63,9.31,"2,772,230","30,427,300"
"Jun 17, 2017",7.86,10.67,7.84,10.06,"5,496,900","23,736,200"
"Jun 16, 2017",7.93,8.05,7.64,7.87,"1,607,550","23,956,900"
"Jun 15, 2017",8.00,8.01,7.21,7.93,"2,626,430","24,148,300"
"Jun 14, 2017",8.54,8.76,7.82,7.99,"5,644,420","25,785,000"
"Jun 13, 2017",7.88,8.64,7.80,8.49,"4,783,460","23,797,600"
"Jun 12, 2017",8.58,8.61,7.51,7.78,"3,337,330","25,900,000"
"Jun 11, 2017",7.74,9.06,7.67,8.55,"2,834,100","23,377,200"
"Jun 10, 2017",7.76,8.03,7.52,7.74,"1,453,180","23,434,800"
"Jun 09, 2017",7.42,7.71,7.39,7.71,"1,313,100","22,415,100"
"Jun 08, 2017",7.24,7.56,6.68,7.45,"1,143,130","21,859,000"
"Jun 07, 2017",8.13,8.21,7.25,7.25,"1,178,600","24,559,700"
"Jun 06, 2017",7.64,8.44,7.41,8.15,"2,565,980","23,069,900"
"Jun 05, 2017",6.93,7.83,6.93,7.58,"1,406,300","20,929,800"
"Jun 04, 2017",7.48,7.52,6.74,6.93,"568,313","22,583,300"
"Jun 03, 2017",7.41,7.61,6.58,7.48,"1,886,250","22,375,400"
"Jun 02, 2017",7.17,7.45,6.83,7.37,"2,834,580","21,646,900"
"Jun 01, 2017",6.47,7.25,6.45,7.12,"2,053,120","19,551,900"
"May 31, 2017",6.35,6.63,5.88,6.47,"1,217,810","19,174,300"
"May 30, 2017",6.32,6.83,6.20,6.22,"836,294","19,098,500"
"May 29, 2017",6.12,6.42,5.79,6.25,"512,447","18,478,100"
"May 28, 2017",6.28,6.88,5.55,6.11,"1,170,310","18,969,600"
"May 27, 2017",5.89,6.50,4.44,6.33,"1,994,830","17,775,400"
"May 26, 2017",7.56,8.36,5.34,5.99,"2,193,870","22,822,600"
"May 25, 2017",10.10,10.24,7.03,7.43,"3,602,270","30,515,600"
"May 24, 2017",8.30,13.64,8.25,10.03,"13,222,800","25,054,000"
